,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Marginatocereus marginatus,160793,-100.9761111,22.1511111,,False,3,15.25,Equisetopsida,Caryophyllales,Cactaceae,1881,Terrestre,1878,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=74bdf7e4eaa4d9dc756c289ef9373804,74bdf7e4eaa4d9dc756c289ef9373804,No,
1,Marginatocereus marginatus,160793,-100.97611,22.15111,,False,3,15.25,Equisetopsida,Caryophyllales,Cactaceae,1881,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=83461fd1d703c171bc496f1eebe19d81,83461fd1d703c171bc496f1eebe19d81,No,
2,Marginatocereus marginatus,160793,-100.97611,22.15111,,False,3,15.25,Equisetopsida,Caryophyllales,Cactaceae,1881,Terrestre,1878,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=eb05907f023d13c2cb4cedc4ca9282a9,eb05907f023d13c2cb4cedc4ca9282a9,No,
3,Marginatocereus marginatus,189858,-97.40428,18.703268,,False,3,21.64,Equisetopsida,Caryophyllales,Cactaceae,2332,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01eab4f0aa0d9240e6a3e541f48d1172,01eab4f0aa0d9240e6a3e541f48d1172,No,
4,Marginatocereus marginatus,151095,-101.9416667,21.2416667,,False,3,18.43,Equisetopsida,Caryophyllales,Cactaceae,1893,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0db749b4f196c9645ac7bba3ee0bdb4b,0db749b4f196c9645ac7bba3ee0bdb4b,No,
5,Marginatocereus marginatus,189776,-97.4747222,18.3280556,,False,3,27.4,Equisetopsida,Caryophyllales,Cactaceae,1461,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d2cecba8def2f3206fd6241f268bb1cc,d2cecba8def2f3206fd6241f268bb1cc,No,
6,Marginatocereus marginatus,189776,-97.4747222,18.3275,,False,3,27.4,Equisetopsida,Caryophyllales,Cactaceae,1461,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cf691447938e5d22a6be7591310d9c0,1cf691447938e5d22a6be7591310d9c0,No,
7,Marginatocereus marginatus,189776,-97.4566944,18.3092222,,False,3,27.4,Equisetopsida,Caryophyllales,Cactaceae,1499,Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=137f72252e8c5bd4330634d4139cb1a1,137f72252e8c5bd4330634d4139cb1a1,No,
8,Marginatocereus marginatus,189776,-97.4547778,18.3251111,,False,3,27.4,Equisetopsida,Caryophyllales,Cactaceae,1412,Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=71151f1a6ec9be53c6a85ad71e4f088b,71151f1a6ec9be53c6a85ad71e4f088b,No,
9,Marginatocereus marginatus,189776,-97.4633333,18.3151111,,False,3,27.4,Equisetopsida,Caryophyllales,Cactaceae,1648,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ef439417240f02fc506e9402f5514874,ef439417240f02fc506e9402f5514874,No,
10,Marginatocereus marginatus,189776,-97.5172222,18.3094444,,False,3,27.4,Equisetopsida,Caryophyllales,Cactaceae,1522,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a156b55c960f5e9957a7e4d51440e50b,a156b55c960f5e9957a7e4d51440e50b,No,
11,Marginatocereus marginatus,189776,-97.5094444,18.3138889,,False,3,27.4,Equisetopsida,Caryophyllales,Cactaceae,1517,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11989987bff8614c7e9287c2e1fa1515,11989987bff8614c7e9287c2e1fa1515,No,
12,Marginatocereus marginatus,189776,-97.475,18.325,,False,3,27.4,Equisetopsida,Caryophyllales,Cactaceae,1451,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=da65eea8d432b5af6bf105e03f8aa5c7,da65eea8d432b5af6bf105e03f8aa5c7,No,
13,Marginatocereus marginatus,189776,-97.475,18.325,,False,3,27.4,Equisetopsida,Caryophyllales,Cactaceae,1451,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fd13533b32656ea451aee1e6182b87b5,fd13533b32656ea451aee1e6182b87b5,No,
14,Marginatocereus marginatus,189776,-97.475,18.3416667,,False,3,27.4,Equisetopsida,Caryophyllales,Cactaceae,1668,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=baca16ecd0d3bdc3d99b4c9d8ba81643,baca16ecd0d3bdc3d99b4c9d8ba81643,No,
