,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
5,Neobuxbaumia euphorbioides,194928,-96.6416667,19.3916667,,False,2,27.12,Equisetopsida,Caryophyllales,Cactaceae,329,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06be1af7ade5ca7402bb8602609a68a3,06be1af7ade5ca7402bb8602609a68a3,No,,NoDisponible,,,,,,
14,Neobuxbaumia euphorbioides,175522,-99.125,23.025,,False,2,26.91,Equisetopsida,Caryophyllales,Cactaceae,145,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b04a55eb20614836bc70b77af805515,0b04a55eb20614836bc70b77af805515,No,,NoDisponible,,,,,,
0,Neobuxbaumia euphorbioides,194928,-96.6358333,19.39,,False,2,27.12,Equisetopsida,Caryophyllales,Cactaceae,347,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bf1c6ea51e6bd0955cb91d931c89795,0bf1c6ea51e6bd0955cb91d931c89795,No,,NoDisponible,,,,,,
17,Neobuxbaumia euphorbioides,175522,-99.1583333,23.0416667,,False,2,26.91,Equisetopsida,Caryophyllales,Cactaceae,347,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14b20c5fb51543bfd0398f481b384ba7,14b20c5fb51543bfd0398f481b384ba7,No,,NoDisponible,,,,,,
11,Neobuxbaumia euphorbioides,194892,-96.91,19.3088889,,False,2,30.99,Equisetopsida,Caryophyllales,Cactaceae,997,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15f4ee748be1a5ecef25d3948400acf2,15f4ee748be1a5ecef25d3948400acf2,Si,No,NoDisponible,Si,Si,,,,
31,Neobuxbaumia euphorbioides,175518,-99.275,23.4416667,,False,2,22,Equisetopsida,Caryophyllales,Cactaceae,571,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2bd7d1e3026ab00c31e3f43de6102681,2bd7d1e3026ab00c31e3f43de6102681,No,,NoDisponible,,,,,,
21,Neobuxbaumia euphorbioides,194932,-96.7433333,19.5366667,,False,2,38.91,Equisetopsida,Caryophyllales,Cactaceae,529,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2cf5a40f7b6c095833c85cba8895c9cd,2cf5a40f7b6c095833c85cba8895c9cd,No,,NoDisponible,,,,,,
15,Neobuxbaumia euphorbioides,175522,-99.1416667,23.0416667,,False,2,26.91,Equisetopsida,Caryophyllales,Cactaceae,442,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f435376c5e067ec5b2eba55783a3e29,3f435376c5e067ec5b2eba55783a3e29,No,,NoDisponible,,,,,,
22,Neobuxbaumia euphorbioides,194932,-96.7433333,19.5366667,,False,2,38.91,Equisetopsida,Caryophyllales,Cactaceae,529,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=47078ee7e5962fa3622010137b66bf14,47078ee7e5962fa3622010137b66bf14,No,,NoDisponible,,,,,,
23,Neobuxbaumia euphorbioides,194932,-96.7433333,19.5366667,,False,2,38.91,Equisetopsida,Caryophyllales,Cactaceae,529,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5288920773e633fa5d352d88921e49a9,5288920773e633fa5d352d88921e49a9,No,,NoDisponible,,,,,,
24,Neobuxbaumia euphorbioides,194926,-96.7,19.4316667,,False,2,38.18,Equisetopsida,Caryophyllales,Cactaceae,575,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5f9d4cc19d62eb0e72235db38cc47556,5f9d4cc19d62eb0e72235db38cc47556,No,,NoDisponible,,,,,,
6,Neobuxbaumia euphorbioides,194938,-96.6941667,19.5341667,,False,2,47.67,Equisetopsida,Caryophyllales,Cactaceae,385,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=75c52aac23142201891dc4ce6a9841f7,75c52aac23142201891dc4ce6a9841f7,No,,NoDisponible,,,,,,
26,Neobuxbaumia euphorbioides,194939,-96.61,19.4983333,,False,2,38.54,Equisetopsida,Caryophyllales,Cactaceae,218,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7651a203dc98e46e8aa134f29300dc41,7651a203dc98e46e8aa134f29300dc41,No,,NoDisponible,,,,,,
1,Neobuxbaumia euphorbioides,194928,-96.63583,19.39,,False,2,27.12,Equisetopsida,Caryophyllales,Cactaceae,347,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7f6f770a718c5f6c647cf920a457fdbc,7f6f770a718c5f6c647cf920a457fdbc,No,,NoDisponible,,,,,,
13,Neobuxbaumia euphorbioides,199764,-96.475,19.525,,False,2,37.7,Equisetopsida,Caryophyllales,Cactaceae,243,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=800733ffaa3fc419808000c7611f6969,800733ffaa3fc419808000c7611f6969,No,,NoDisponible,,,,,,
2,Neobuxbaumia euphorbioides,194928,-96.63583,19.39,,False,2,27.12,Equisetopsida,Caryophyllales,Cactaceae,347,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=80a13b80008fbaea99f0b1b28dcb308d,80a13b80008fbaea99f0b1b28dcb308d,No,,NoDisponible,,,,,,
19,Neobuxbaumia euphorbioides,175512,-99.3516667,23.4066667,,False,1,9.65,Equisetopsida,Caryophyllales,Cactaceae,703,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8537aa2b8824e5d41c366844a7e03e0c,8537aa2b8824e5d41c366844a7e03e0c,No,,NoDisponible,,,,,,
25,Neobuxbaumia euphorbioides,194926,-96.7,19.4316667,,False,2,38.18,Equisetopsida,Caryophyllales,Cactaceae,575,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8966719fce6d875b4069356293c97f10,8966719fce6d875b4069356293c97f10,No,,NoDisponible,,,,,,
12,Neobuxbaumia euphorbioides,194933,-96.8083333,19.5916667,,False,2,32.06,Equisetopsida,Caryophyllales,Cactaceae,741,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8ae8413bb2866382ae1de64cda2fc9d4,8ae8413bb2866382ae1de64cda2fc9d4,No,,NoDisponible,,,,,,
3,Neobuxbaumia euphorbioides,194928,-96.63583,19.39,,False,2,27.12,Equisetopsida,Caryophyllales,Cactaceae,347,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=95c7e76cc1c9551c49c69a08bc0378a4,95c7e76cc1c9551c49c69a08bc0378a4,No,,NoDisponible,,,,,,
18,Neobuxbaumia euphorbioides,194940,-96.6083333,19.525,,False,2,44.44,Equisetopsida,Caryophyllales,Cactaceae,446,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=97aab58fea3e88446dccb796c2419c37,97aab58fea3e88446dccb796c2419c37,No,,NoDisponible,,,,,,
7,Neobuxbaumia euphorbioides,194938,-96.6941667,19.5341667,,False,2,47.67,Equisetopsida,Caryophyllales,Cactaceae,385,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9e483a2e5e3ad47f4dd654bdcb705dd6,9e483a2e5e3ad47f4dd654bdcb705dd6,No,,NoDisponible,,,,,,
28,Neobuxbaumia euphorbioides,175498,-99.25,23.0336111,,False,2,23.08,Equisetopsida,Caryophyllales,Cactaceae,1543,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a39298060cb551805c84de193614dce7,a39298060cb551805c84de193614dce7,No,,NoDisponible,,,,,,
27,Neobuxbaumia euphorbioides,180061,-98.725,20.1416667,,True,0,-151.24,Equisetopsida,Caryophyllales,Cactaceae,2597,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a522bf7084ea18cc323532ddae68b4d4,a522bf7084ea18cc323532ddae68b4d4,Si,No,NoDisponible,No,No,,,,
9,Neobuxbaumia euphorbioides,194930,-96.8083333,19.5583333,,False,2,33.89,Equisetopsida,Caryophyllales,Cactaceae,829,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=aa7c2b04efc67be7bfc4b6eae7fab7f9,aa7c2b04efc67be7bfc4b6eae7fab7f9,No,,NoDisponible,,,,,,
16,Neobuxbaumia euphorbioides,175522,-99.1416667,23.0416667,,False,2,26.91,Equisetopsida,Caryophyllales,Cactaceae,442,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c1a737450018aaa851454078c92cd115,c1a737450018aaa851454078c92cd115,No,,NoDisponible,,,,,,
30,Neobuxbaumia euphorbioides,199698,-96.5675324,19.0215533,,False,2,24.31,Equisetopsida,Caryophyllales,Cactaceae,265,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ca70a04d86c60f3ec0a771589570b9a8,ca70a04d86c60f3ec0a771589570b9a8,Si,No,NoDisponible,Si,Si,,,,
4,Neobuxbaumia euphorbioides,194928,-96.6358333,19.39,,False,2,27.12,Equisetopsida,Caryophyllales,Cactaceae,347,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d745f1b8a6e506b95cc504b5ea2a3fc7,d745f1b8a6e506b95cc504b5ea2a3fc7,No,,NoDisponible,,,,,,
8,Neobuxbaumia euphorbioides,194930,-96.8083333,19.5583333,,False,2,33.89,Equisetopsida,Caryophyllales,Cactaceae,829,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=db21a5682bc8c8becbea18fa12cd89f3,db21a5682bc8c8becbea18fa12cd89f3,No,,NoDisponible,,,,,,
29,Neobuxbaumia euphorbioides,175498,-99.25,23.0336111,,False,2,23.08,Equisetopsida,Caryophyllales,Cactaceae,1543,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ddef5a3064afe6ee38caec44677e9b79,ddef5a3064afe6ee38caec44677e9b79,No,,NoDisponible,,,,,,
20,Neobuxbaumia euphorbioides,194932,-96.7416667,19.5416667,,False,2,38.91,Equisetopsida,Caryophyllales,Cactaceae,491,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e37427aff01d4eb984b8cfa718556e5a,e37427aff01d4eb984b8cfa718556e5a,No,,NoDisponible,,,,,,
10,Neobuxbaumia euphorbioides,199692,-96.3283333,18.745,,False,1,1.42,Equisetopsida,Caryophyllales,Cactaceae,61,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ed1ef69af09eccfde6613827893cf497,ed1ef69af09eccfde6613827893cf497,Si,No,NoDisponible,Si,Si,,,,
