,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Neobuxbaumia polylopha,175261,-99.3083333,21.2583333,,False,1,28.37,Equisetopsida,Caryophyllales,Cactaceae,1113,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=813c2633179a6d0e74ca837e24a1611d,813c2633179a6d0e74ca837e24a1611d,No,
1,Neobuxbaumia polylopha,170372,-99.9219444,20.9066667,,False,1,20.07,Equisetopsida,Caryophyllales,Cactaceae,1626,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b0cf848aafab82b44387144629721bd7,b0cf848aafab82b44387144629721bd7,No,
2,Neobuxbaumia polylopha,180114,-98.8416667,20.6416667,,False,3,52.16,Equisetopsida,Caryophyllales,Cactaceae,1594,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c704868d797562c3923906597b2292bb,c704868d797562c3923906597b2292bb,No,
3,Neobuxbaumia polylopha,180114,-98.8672533,20.6160444,,False,3,52.16,Equisetopsida,Caryophyllales,Cactaceae,1812,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3b0a5eeb1f70f49b5a20149ef069d346,3b0a5eeb1f70f49b5a20149ef069d346,No,
4,Neobuxbaumia polylopha,180235,-98.6611111,21.3602778,,True,0,-112.21,Equisetopsida,Caryophyllales,Cactaceae,315,Terrestre,1991,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f51b4a9876c3a901473059604e544d69,f51b4a9876c3a901473059604e544d69,Si,aunque fuera del polígono dentro del Estado citado en Literatura
5,Neobuxbaumia polylopha,175226,-98.975,20.6416667,,False,3,50.35,Equisetopsida,Caryophyllales,Cactaceae,1186,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=025771264bcee8b8ccdf0fbda3dbfcfe,025771264bcee8b8ccdf0fbda3dbfcfe,No,
6,Neobuxbaumia polylopha,170427,-99.475,21.125,,False,3,50.26,Equisetopsida,Caryophyllales,Cactaceae,1619,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d281c72d32aca944186d1fa17f1ad815,d281c72d32aca944186d1fa17f1ad815,No,
7,Neobuxbaumia polylopha,170427,-99.5258844,21.1306411,,False,3,50.26,Equisetopsida,Caryophyllales,Cactaceae,1579,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6803c3f484884d2f8e4a58b4e99b9e2d,6803c3f484884d2f8e4a58b4e99b9e2d,No,
8,Neobuxbaumia polylopha,175252,-99.325,21.175,,False,3,45.37,Equisetopsida,Caryophyllales,Cactaceae,1128,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ebd3043f1008dccae8eda70d0e58d625,ebd3043f1008dccae8eda70d0e58d625,No,
9,Neobuxbaumia polylopha,171199,-99.486599,27.5343,,False,1,11.95,Equisetopsida,Caryophyllales,Cactaceae,134,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e8162cf17df276857d39357249f06ebd,e8162cf17df276857d39357249f06ebd,Si,aunque fuera del polígono dentro del Estado citado en Literatura
