,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Opuntia atropes,175016,-99.0630556,18.8836111,,False,2,14.19,Equisetopsida,Caryophyllales,Cactaceae,1198,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=41171a2262f142f15e3684654eba8320,41171a2262f142f15e3684654eba8320,,
1,Opuntia atropes,175016,-99.0666667,18.8855556,,False,2,14.19,Equisetopsida,Caryophyllales,Cactaceae,1203,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0790b4b05d4da46a2dd4d071e3b1c6d6,0790b4b05d4da46a2dd4d071e3b1c6d6,,
2,Opuntia atropes,175016,-99.0666667,18.8855556,,False,2,14.19,Equisetopsida,Caryophyllales,Cactaceae,1203,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2587d1ddbdada019099fe8a0825e75de,2587d1ddbdada019099fe8a0825e75de,,
3,Opuntia atropes,175016,-99.0666667,18.8855556,,False,2,14.19,Equisetopsida,Caryophyllales,Cactaceae,1203,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=330d833ab990c6fceb7c49669fd42a8e,330d833ab990c6fceb7c49669fd42a8e,,
4,Opuntia atropes,175016,-99.0666667,18.8855556,,False,2,14.19,Equisetopsida,Caryophyllales,Cactaceae,1203,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f32336ee15e15a88454b6c77c7dd525,3f32336ee15e15a88454b6c77c7dd525,,
5,Opuntia atropes,175016,-99.0663889,18.8830556,,False,2,14.19,Equisetopsida,Caryophyllales,Cactaceae,1215,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e25cb008c2bb313e8cbf505f1b25cd6,2e25cb008c2bb313e8cbf505f1b25cd6,,
6,Opuntia atropes,175016,-99.0663889,18.8830556,,False,2,14.19,Equisetopsida,Caryophyllales,Cactaceae,1215,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5d4c8355c59e002938e5e54d25ad1c12,5d4c8355c59e002938e5e54d25ad1c12,,
7,Opuntia atropes,175016,-99.0663889,18.8830556,,False,2,14.19,Equisetopsida,Caryophyllales,Cactaceae,1215,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ee5fb590dd60aaf9f4d37754ec632c5f,ee5fb590dd60aaf9f4d37754ec632c5f,,
8,Opuntia atropes,175016,-99.0663889,18.8830556,,False,2,14.19,Equisetopsida,Caryophyllales,Cactaceae,1215,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f2d683c510a9086909b752f816e69a02,f2d683c510a9086909b752f816e69a02,,
9,Opuntia atropes,175016,-99.0663889,18.8830556,,False,2,14.19,Equisetopsida,Caryophyllales,Cactaceae,1215,Terrestre,1913,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f60d5b018ef0e1a3eab2f8d3c4793588,f60d5b018ef0e1a3eab2f8d3c4793588,,
10,Opuntia atropes,175016,-99.0631,18.8836,,False,2,14.19,Equisetopsida,Caryophyllales,Cactaceae,1198,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1083ae8ccff6189a91a910972a1eda91,1083ae8ccff6189a91a910972a1eda91,,
11,Opuntia atropes,175016,-99.0631,18.8836,,False,2,14.19,Equisetopsida,Caryophyllales,Cactaceae,1198,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=749fa80b6c7c013db0164bf6c18a6d65,749fa80b6c7c013db0164bf6c18a6d65,,
12,Opuntia atropes,175016,-99.0631,18.8836,,False,2,14.19,Equisetopsida,Caryophyllales,Cactaceae,1198,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=863aa18bc8a0f3b212fb235271fa0440,863aa18bc8a0f3b212fb235271fa0440,,
13,Opuntia atropes,175016,-99.0631,18.8836,,False,2,14.19,Equisetopsida,Caryophyllales,Cactaceae,1198,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d5f94cfc73b3481ea8acdba10a71821b,d5f94cfc73b3481ea8acdba10a71821b,,
14,Opuntia atropes,155885,-101.314192,20.97721,,False,2,14.59,Equisetopsida,Caryophyllales,Cactaceae,1910,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d7bd83350efb003dc48edaeadf15ba2d,d7bd83350efb003dc48edaeadf15ba2d,,
15,Opuntia atropes,141427,-103.0586111,20.0166667,,False,2,16.39,Equisetopsida,Caryophyllales,Cactaceae,1880,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2423d177cd038f5fde3399e8efdc414b,2423d177cd038f5fde3399e8efdc414b,,
16,Opuntia atropes,141382,-103.445,19.9616667,,False,2,19.18,Equisetopsida,Caryophyllales,Cactaceae,1815,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d5405c573851fd1ae35f4aaee3e23d84,d5405c573851fd1ae35f4aaee3e23d84,,
17,Opuntia atropes,141382,-103.445,19.9616667,,False,2,19.18,Equisetopsida,Caryophyllales,Cactaceae,1815,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=585d3a63410ae07a662277b4de7c116b,585d3a63410ae07a662277b4de7c116b,,
18,Opuntia atropes,141382,-103.4475,19.9616667,,False,2,19.18,Equisetopsida,Caryophyllales,Cactaceae,1810,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f17b31a166ed55be29cd04e898425151,f17b31a166ed55be29cd04e898425151,,
19,Opuntia atropes,141441,-103.425,20.2916667,,False,2,22.87,Equisetopsida,Caryophyllales,Cactaceae,1581,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f2da2aad0c0122425b076bd1037e4704,f2da2aad0c0122425b076bd1037e4704,,
20,Opuntia atropes,141441,-103.4166667,20.2833333,,False,2,22.87,Equisetopsida,Caryophyllales,Cactaceae,1529,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=203691991a74ad93d1049730cff60b68,203691991a74ad93d1049730cff60b68,,
