,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
243,Opuntia cantabrigiensis,165514,-100.4202803,20.9099997,,False,6,23.6,Equisetopsida,Caryophyllales,Cactaceae,2178,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00c59154aaa9aba8f7fdc6db37e09db7,00c59154aaa9aba8f7fdc6db37e09db7,No,
54,Opuntia cantabrigiensis,165775,-100.3908333,23.1191667,,False,6,27.27,Equisetopsida,Caryophyllales,Cactaceae,1581,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01dbb6ef9dc485058272030758cc0651,01dbb6ef9dc485058272030758cc0651,No,
548,Opuntia cantabrigiensis,165634,-100.604854,21.996875,,False,6,22.19,Equisetopsida,Caryophyllales,Cactaceae,2291,Terrestre,1987,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0273980a32ca1f54e242aadad154635f,0273980a32ca1f54e242aadad154635f,No,
346,Opuntia cantabrigiensis,161158,-101.175,25.2583333,,False,6,18.25,Equisetopsida,Caryophyllales,Cactaceae,1863,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02c2d9fe4a065aed5017ce33eb87f2cc,02c2d9fe4a065aed5017ce33eb87f2cc,Si,aunque fuera del polígono potencial dentro del Estado citado en Literatura
334,Opuntia cantabrigiensis,146416,-102.3397222,22.0863889,,False,6,14.86,Equisetopsida,Caryophyllales,Cactaceae,1962,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02e1aea01e2f017f99d11c4aff731ed3,02e1aea01e2f017f99d11c4aff731ed3,Si,aunque fuera del polígono potencial dentro del Estado citado en Literatura
9,Opuntia cantabrigiensis,160779,-100.9102778,21.9202778,,False,6,19.32,Equisetopsida,Caryophyllales,Cactaceae,1843,Terrestre,1957,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02efde01e84d592e53db49af535ca379,02efde01e84d592e53db49af535ca379,Si,aunque fuera del polígono potencial dentro del Estado citado en Literatura
254,Opuntia cantabrigiensis,151190,-102.2969444,22.3655556,,False,6,18.27,Equisetopsida,Caryophyllales,Cactaceae,2013,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0367414cf768f43114c5e22ded0905b5,0367414cf768f43114c5e22ded0905b5,Si,aunque fuera del polígono potencial dentro del Estado citado en Literatura
483,Opuntia cantabrigiensis,160965,-101.1394422,23.6574992,,False,6,13.44,Equisetopsida,Caryophyllales,Cactaceae,1917,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03e482f11abbfa08f6d35b05d67c4c0e,03e482f11abbfa08f6d35b05d67c4c0e,Si,aunque fuera del polígono potencial dentro del Estado citado en Literatura
262,Opuntia cantabrigiensis,165838,-100.45,23.7,,False,6,18.2,Equisetopsida,Caryophyllales,Cactaceae,1663,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=051b5e4d92887efef8a4aaa891e1f125,051b5e4d92887efef8a4aaa891e1f125,Si,aunque fuera del polígono potencial dentro del Estado citado en Literatura
188,Opuntia cantabrigiensis,165637,-100.6091667,22.0561111,,False,6,23.63,Equisetopsida,Caryophyllales,Cactaceae,2216,Terrestre,1957,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=066d3937b643e4bf67efd976d9da5a18,066d3937b643e4bf67efd976d9da5a18,No,
118,Opuntia cantabrigiensis,165802,-100.1691667,23.0472222,,False,6,16.93,Equisetopsida,Caryophyllales,Cactaceae,1429,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0673115176a20e0963e0ee12521f6aa9,0673115176a20e0963e0ee12521f6aa9,Si,aunque fuera del polígono potencial dentro del Estado citado en Literatura
