,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
33,Opuntia chlorotica,38079,-116.1666667,32.5,,False,4,11.85,Equisetopsida,Caryophyllales,Cactaceae,1228,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01e48c06c731fc415eb5ac1c7293911a,01e48c06c731fc415eb5ac1c7293911a,No,,NoDisponible,,,,,,
104,Opuntia chlorotica,69141,-112.625,27.5083333,,False,3,-3.26,Equisetopsida,Caryophyllales,Cactaceae,413,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=025d425f7dcccffca1c9568a9752bca3,025d425f7dcccffca1c9568a9752bca3,No,,NoDisponible,,,,,,
56,Opuntia chlorotica,42338,-115.7966694,32.215,,False,4,8.55,Equisetopsida,Caryophyllales,Cactaceae,349,Terrestre,1951,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0443b661da02f1c313ab147a8ddb1758,0443b661da02f1c313ab147a8ddb1758,No,,NoDisponible,,,,,,
101,Opuntia chlorotica,86939,-110.125,23.2416667,,True,2,-11.36,Equisetopsida,Caryophyllales,Cactaceae,41,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0772373c50eee8fe60d8433b8fb02625,0772373c50eee8fe60d8433b8fb02625,Si,No,NoDisponible,No,Si,,,,
15,Opuntia chlorotica,46691,-115.1333333,30.1333333,,False,4,7.21,Equisetopsida,Caryophyllales,Cactaceae,693,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07ad384fdbf6bf787d5614a6a77471f2,07ad384fdbf6bf787d5614a6a77471f2,No,,NoDisponible,,,,,,
46,Opuntia chlorotica,69143,-112.6,27.5,,False,3,-4.58,Equisetopsida,Caryophyllales,Cactaceae,779,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07b731aa2fd0d26e08725655e5696c60,07b731aa2fd0d26e08725655e5696c60,No,,NoDisponible,,,,,,
9,Opuntia chlorotica,60793,-113.364647,31.862584,,False,3,-1.04,Equisetopsida,Caryophyllales,Cactaceae,221,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08fbf3d4fc0d3ceade36d6df0840d479,08fbf3d4fc0d3ceade36d6df0840d479,No,,NoDisponible,,,,,,
25,Opuntia chlorotica,65192,-112.85,31.8516667,,False,3,1.43,Equisetopsida,Caryophyllales,Cactaceae,415,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bd64b7e49339da7d4abef479edb3060,0bd64b7e49339da7d4abef479edb3060,No,,NoDisponible,,,,,,
13,Opuntia chlorotica,189945,-97.2633333,19.485,,True,2,-18.89,Equisetopsida,Caryophyllales,Cactaceae,2539,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cba3d943764d7e4cd8d08e1bd5b43ef,0cba3d943764d7e4cd8d08e1bd5b43ef,Si,No,NoDisponible,No,No,,,,
7,Opuntia chlorotica,42243,-116.0083333,31.6416667,,False,4,10.61,Equisetopsida,Caryophyllales,Cactaceae,1130,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f181ec7dca16fa9ab4f7aa10af9bef8,0f181ec7dca16fa9ab4f7aa10af9bef8,No,,NoDisponible,,,,,,
122,Opuntia chlorotica,82936,-110.53361,28.06722,,False,3,-8.63,Equisetopsida,Caryophyllales,Cactaceae,62,Terrestre,1904,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=117282cdcb3fbf5c2a020a850de6120d,117282cdcb3fbf5c2a020a850de6120d,Si,No,NoDisponible,No,Si,,,,
42,Opuntia chlorotica,46702,-115.1083333,30.375,,False,4,10.61,Equisetopsida,Caryophyllales,Cactaceae,1406,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1550563b8017d4c82197dc7d0c07e523,1550563b8017d4c82197dc7d0c07e523,No,,NoDisponible,,,,,,
11,Opuntia chlorotica,189945,-97.2638889,19.4838889,,True,2,-18.89,Equisetopsida,Caryophyllales,Cactaceae,2542,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=156d6cb2b83ae297d3c680bbae1f78a8,156d6cb2b83ae297d3c680bbae1f78a8,Si,No,NoDisponible,No,No,,,,
35,Opuntia chlorotica,38079,-116.1666667,32.5,,False,4,11.85,Equisetopsida,Caryophyllales,Cactaceae,1228,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=169a9bc2f2225213aaa638c57cbeddc6,169a9bc2f2225213aaa638c57cbeddc6,No,,NoDisponible,,,,,,
70,Opuntia chlorotica,83327,-110.409602,31.009457,,False,3,-8.56,Equisetopsida,Caryophyllales,Cactaceae,1678,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19c036b8e6ebecbd86c370e5d9fc2b2f,19c036b8e6ebecbd86c370e5d9fc2b2f,No,,NoDisponible,,,,,,
44,Opuntia chlorotica,37926,-116.4,31.3172222,,False,3,1.44,Equisetopsida,Caryophyllales,Cactaceae,81,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c0c85bc0f04157e5e3f73f8468dabf9,1c0c85bc0f04157e5e3f73f8468dabf9,No,,NoDisponible,,,,,,
105,Opuntia chlorotica,69141,-112.625,27.5083333,,False,3,-3.26,Equisetopsida,Caryophyllales,Cactaceae,413,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d17e24a499b6730949f7650626f29b4,1d17e24a499b6730949f7650626f29b4,No,,NoDisponible,,,,,,
0,Opuntia chlorotica,46751,-115.2916667,31.025,,False,3,1.49,Equisetopsida,Caryophyllales,Cactaceae,557,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20b00d756c9d877e1c1a0a5378f5f50e,20b00d756c9d877e1c1a0a5378f5f50e,No,,NoDisponible,,,,,,
106,Opuntia chlorotica,69141,-112.625,27.5083333,,False,3,-3.26,Equisetopsida,Caryophyllales,Cactaceae,413,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=21f6d6820daae575989ef13882a67a74,21f6d6820daae575989ef13882a67a74,No,,NoDisponible,,,,,,
20,Opuntia chlorotica,46681,-115.35,30.4166667,,False,4,10.54,Equisetopsida,Caryophyllales,Cactaceae,1162,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=238887a4dfb67df2eefd7c0003a6adf6,238887a4dfb67df2eefd7c0003a6adf6,No,,NoDisponible,,,,,,
57,Opuntia chlorotica,46969,-115.1,32.375,,False,3,-3.58,Equisetopsida,Caryophyllales,Cactaceae,21,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=244e38a758fe59a63abe1f634b7ba777,244e38a758fe59a63abe1f634b7ba777,No,,NoDisponible,,,,,,
49,Opuntia chlorotica,42242,-116.1333333,31.7,,False,4,9.96,Equisetopsida,Caryophyllales,Cactaceae,910,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2786e7344a7be74191e8acac013e0337,2786e7344a7be74191e8acac013e0337,No,,NoDisponible,,,,,,
100,Opuntia chlorotica,165710,-100.4277778,22.6641667,,False,3,-2.11,Equisetopsida,Caryophyllales,Cactaceae,2008,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=27b0fc474b482b074c332adbabf7fcdc,27b0fc474b482b074c332adbabf7fcdc,Si,No,NoDisponible,No,No,,,,
8,Opuntia chlorotica,60793,-113.364647,31.862584,,False,3,-1.04,Equisetopsida,Caryophyllales,Cactaceae,221,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2b02e107b344710e7d371727cfc06bfe,2b02e107b344710e7d371727cfc06bfe,No,,NoDisponible,,,,,,
125,Opuntia chlorotica,46657,-115.5416667,30.1583333,,False,4,6.55,Equisetopsida,Caryophyllales,Cactaceae,120,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e85fafa6ca5c4a94f254102a81cfa78,2e85fafa6ca5c4a94f254102a81cfa78,No,,NoDisponible,,,,,,
19,Opuntia chlorotica,194901,-97.1527778,19.6502778,,True,1,-24.07,Equisetopsida,Caryophyllales,Cactaceae,2376,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2fb146526e8115665b40dee5fb18de23,2fb146526e8115665b40dee5fb18de23,Si,No,NoDisponible,No,No,,,,
