,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
38,Opuntia decumbens,179811,-98.4911111,17.6013889,,False,3,17.61,Equisetopsida,Caryophyllales,Cactaceae,1109,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0053a32e59e5632f0d784e63aeb07e4d,0053a32e59e5632f0d784e63aeb07e4d,No,,NoDisponible,,,,,,
426,Opuntia decumbens,213491,-94.4869444,16.2013889,,False,3,13.83,Equisetopsida,Caryophyllales,Cactaceae,13,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a9f222f11d8c0f2a0d4a2682717ee0,00a9f222f11d8c0f2a0d4a2682717ee0,Si,No,NoDisponible,Si,Si,,,,
282,Opuntia decumbens,194711,-97.0688324,17.9555606,,False,3,19.34,Equisetopsida,Caryophyllales,Cactaceae,1134,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01c8f03fde07871ae0610bce043a1c0f,01c8f03fde07871ae0610bce043a1c0f,No,,NoDisponible,,,,,,
598,Opuntia decumbens,114069,-106.93,24.9491666,,False,3,11.44,Equisetopsida,Caryophyllales,Cactaceae,279,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02ad517322d2e81ea9cfbe60bd5baeeb,02ad517322d2e81ea9cfbe60bd5baeeb,Si,No,NoDisponible,No,Si,,,,
503,Opuntia decumbens,222471,-93.5749999,16.6249999,,False,3,16.12,Equisetopsida,Caryophyllales,Cactaceae,539,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02b0abe269b5bb0f23c86defc8c0ab85,02b0abe269b5bb0f23c86defc8c0ab85,No,,NoDisponible,,,,,,
348,Opuntia decumbens,199764,-96.475,19.525,,False,3,19.5,Equisetopsida,Caryophyllales,Cactaceae,243,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02c92f08f51c0adc6836038a82321205,02c92f08f51c0adc6836038a82321205,Si,No,NoDisponible,No,Si,,,,
543,Opuntia decumbens,179905,-98.8313889,18.6472222,,False,3,13.95,Equisetopsida,Caryophyllales,Cactaceae,1244,Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02e4af8435aa4c83bdf852a22bfc3b8f,02e4af8435aa4c83bdf852a22bfc3b8f,No,,NoDisponible,,,,,,
604,Opuntia decumbens,175014,-99.1355555,18.8541666,,False,3,15.72,Equisetopsida,Caryophyllales,Cactaceae,1548,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=030ad1b692f80a189ad66954c5e040fe,030ad1b692f80a189ad66954c5e040fe,No,,NoDisponible,,,,,,
229,Opuntia decumbens,189773,-97.54775,18.2908611,,False,2,5.02,Equisetopsida,Caryophyllales,Cactaceae,1629,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03850dc719f80e8ce104386f651d264d,03850dc719f80e8ce104386f651d264d,No,,NoDisponible,,,,,,
80,Opuntia decumbens,208876,-94.8669028,16.5733306,,False,3,13.23,Equisetopsida,Caryophyllales,Cactaceae,23,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03aec6a54981ee642878afce5ce2448e,03aec6a54981ee642878afce5ce2448e,No,,NoDisponible,,,,,,
330,Opuntia decumbens,208792,-95.3077778,16.3811111,,False,3,22.3,Equisetopsida,Caryophyllales,Cactaceae,129,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03e5b08aa9e3b54adec309ae46e68f4b,03e5b08aa9e3b54adec309ae46e68f4b,No,,NoDisponible,,,,,,
483,Opuntia decumbens,155462,-101.7430556,17.805,,False,3,18.39,Equisetopsida,Caryophyllales,Cactaceae,20,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0536fc87ae89350803d7531b52c6a443,0536fc87ae89350803d7531b52c6a443,Si,No,NoDisponible,Si,Si,,,,
546,Opuntia decumbens,113970,-106.5869444,23.7997222,,False,3,11.05,Equisetopsida,Caryophyllales,Cactaceae,105,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0541413c5decb30e0b750e1a9d5fa67c,0541413c5decb30e0b750e1a9d5fa67c,Si,No,NoDisponible,No,Si,,,,
647,Opuntia decumbens,170018,-99.7038889,17.6747222,,False,3,21.77,Equisetopsida,Caryophyllales,Cactaceae,1101,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05b5da80213b3f31624998666f1de3d7,05b5da80213b3f31624998666f1de3d7,Si,No,NoDisponible,Si,Si,,,,
448,Opuntia decumbens,218107,-93.7216667,16.7311111,,False,3,15.97,Equisetopsida,Caryophyllales,Cactaceae,681,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06190eceadedb96bcfa8eff60938d28d,06190eceadedb96bcfa8eff60938d28d,No,,NoDisponible,,,,,,
561,Opuntia decumbens,113914,-106.4429999,23.2989999,,False,3,11.81,Equisetopsida,Caryophyllales,Cactaceae,29,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06248fcc41db443f3a3247624f654380,06248fcc41db443f3a3247624f654380,Si,No,NoDisponible,No,Si,,,,
643,Opuntia decumbens,184752,-97.775,17.8083333,,False,3,9.53,Equisetopsida,Caryophyllales,Cactaceae,1569,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0631fd4e0e1d9c48c6e5fab35193bd0a,0631fd4e0e1d9c48c6e5fab35193bd0a,No,,NoDisponible,,,,,,
545,Opuntia decumbens,174922,-99.25,18.1663889,,False,3,14.53,Equisetopsida,Caryophyllales,Cactaceae,983,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07b10acd0147ac418cd6915d4fd5d20d,07b10acd0147ac418cd6915d4fd5d20d,No,,NoDisponible,,,,,,
50,Opuntia decumbens,189776,-97.4512778,18.3431111,,False,2,5.05,Equisetopsida,Caryophyllales,Cactaceae,1492,Terrestre,1993,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08d85a9f4208fe391da907d61c81ded2,08d85a9f4208fe391da907d61c81ded2,No,,NoDisponible,,,,,,
44,Opuntia decumbens,194753,-97.1016667,18.1538889,,False,3,12.86,Equisetopsida,Caryophyllales,Cactaceae,878,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=098197309f474ae5911d6ff76a10eb6e,098197309f474ae5911d6ff76a10eb6e,No,,NoDisponible,,,,,,
612,Opuntia decumbens,122970,-105.64,22.76,,False,3,16.47,Equisetopsida,Caryophyllales,Cactaceae,164,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09aaf3758acddd9f6fd4da4340292544,09aaf3758acddd9f6fd4da4340292544,Si,No,NoDisponible,No,Si,,,,
145,Opuntia decumbens,194702,-96.954444,17.7836111,,False,3,20.97,Equisetopsida,Caryophyllales,Cactaceae,610,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09c711e81bbe9f9eae11c081970942f7,09c711e81bbe9f9eae11c081970942f7,No,,NoDisponible,,,,,,
166,Opuntia decumbens,194703,-96.9056389,17.7226389,,False,3,23.93,Equisetopsida,Caryophyllales,Cactaceae,1004,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a8d6793d59a59d79ac46e3e3609d233,0a8d6793d59a59d79ac46e3e3609d233,No,,NoDisponible,,,,,,
69,Opuntia decumbens,189810,-97.3919444,18.4605556,,False,3,6.32,Equisetopsida,Caryophyllales,Cactaceae,1637,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0aec86c1edcc88410131562990f4b192,0aec86c1edcc88410131562990f4b192,No,,NoDisponible,,,,,,
298,Opuntia decumbens,113904,-106.4144806,23.17385,,False,3,8.43,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b00c439f8702318f0a8c9fe35888b46,0b00c439f8702318f0a8c9fe35888b46,Si,Si,NoDisponible,Si,Si,No,BufferCosteroMarinoContinental,,
494,Opuntia decumbens,204150,-95.6663889,16.4163889,,False,3,21.69,Equisetopsida,Caryophyllales,Cactaceae,326,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b4acfa0196eb29ccb641fa9f3620796,0b4acfa0196eb29ccb641fa9f3620796,No,,NoDisponible,,,,,,
