,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Opuntia excelsa,122652,-105.5408333,20.0980556,,False,2,17.54,Equisetopsida,Caryophyllales,Cactaceae,19,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e4780f3539a4bf9c229b6740ec15f4b8,e4780f3539a4bf9c229b6740ec15f4b8,No,
1,Opuntia excelsa,127248,-104.9888889,19.4041667,,False,2,21.06,Equisetopsida,Caryophyllales,Cactaceae,74,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4e4da6dbd12ab322762848c5ccc7df4f,4e4da6dbd12ab322762848c5ccc7df4f,No,
2,Opuntia excelsa,127248,-104.9875,19.3875,,False,2,21.06,Equisetopsida,Caryophyllales,Cactaceae,21,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4c08821b4dd6499b2ed8958706027d68,4c08821b4dd6499b2ed8958706027d68,No,
3,Opuntia excelsa,127248,-104.9947222,19.4286111,,False,2,21.06,Equisetopsida,Caryophyllales,Cactaceae,30,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2982bab0497f6e2cc432695f22503513,2982bab0497f6e2cc432695f22503513,No,
4,Opuntia excelsa,127248,-104.9825,19.425,,False,2,21.06,Equisetopsida,Caryophyllales,Cactaceae,52,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=412551e9efbeee7efa08edb015f13da3,412551e9efbeee7efa08edb015f13da3,No,
5,Opuntia excelsa,127269,-104.9086111,19.3655556,,False,2,22.75,Equisetopsida,Caryophyllales,Cactaceae,114,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9d702746476fcb95c94eae217dd5abf7,9d702746476fcb95c94eae217dd5abf7,No,
6,Opuntia excelsa,127269,-104.9125,19.3636111,,False,2,22.75,Equisetopsida,Caryophyllales,Cactaceae,99,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01caed049f9c461a1574dd8b7bad56b2,01caed049f9c461a1574dd8b7bad56b2,No,
7,Opuntia excelsa,127269,-104.9125,19.3636111,,False,2,22.75,Equisetopsida,Caryophyllales,Cactaceae,99,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25374f8e9c78c8df8243f1bf03e69e04,25374f8e9c78c8df8243f1bf03e69e04,No,
8,Opuntia excelsa,127257,-105.0658333,19.5166667,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,36,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=937e61574684eeff9a3e3b9df9c017de,937e61574684eeff9a3e3b9df9c017de,No,
9,Opuntia excelsa,127257,-105.0583306,19.4816694,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,43,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=912ace3d16444a550259ed703ce91be2,912ace3d16444a550259ed703ce91be2,No,
10,Opuntia excelsa,127257,-105.0497222,19.5,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,55,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=487d51153d457f91ee9ed3a2a95f93b5,487d51153d457f91ee9ed3a2a95f93b5,No,
11,Opuntia excelsa,127257,-105.05,19.5,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,54,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=73e6f10be57b2264497d4e4d9366d67f,73e6f10be57b2264497d4e4d9366d67f,No,
12,Opuntia excelsa,127257,-105.0394444,19.4955556,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,60,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a51dc10f5207ee0d06db17af4e74f72b,a51dc10f5207ee0d06db17af4e74f72b,No,
13,Opuntia excelsa,127257,-105.0433333,19.5077778,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,44,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dd444b5b3f72ede0c420a2a4f00eece0,dd444b5b3f72ede0c420a2a4f00eece0,No,
14,Opuntia excelsa,127257,-105.0352778,19.4841667,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,80,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=203c3279f422597c8b88988087711ff0,203c3279f422597c8b88988087711ff0,No,
15,Opuntia excelsa,127257,-105.0502778,19.5,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,53,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=108e6ed0abe2d3cbd498a05b4ccc02f9,108e6ed0abe2d3cbd498a05b4ccc02f9,No,
16,Opuntia excelsa,127257,-105.0502778,19.5,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,53,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7ddf872732ddcc71b7c3963c600fdcd9,7ddf872732ddcc71b7c3963c600fdcd9,No,
17,Opuntia excelsa,127257,-105.0444444,19.4983333,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,101,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07b2c546329bb41b3d7511f3a8ed9040,07b2c546329bb41b3d7511f3a8ed9040,No,
18,Opuntia excelsa,127257,-105.0608333,19.4802778,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=82755250520249efd9a839fc9f0162a8,82755250520249efd9a839fc9f0162a8,No,
19,Opuntia excelsa,127257,-105.0608333,19.4802778,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d6ee135043c2b5a343759ffe63cf8b70,d6ee135043c2b5a343759ffe63cf8b70,No,
20,Opuntia excelsa,127257,-105.0397222,19.4955556,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,59,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=28042e1924d0ff0289dd2e4174d43e31,28042e1924d0ff0289dd2e4174d43e31,No,
21,Opuntia excelsa,127257,-105.0411111,19.4958333,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,81,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09c8a07b1d870909ae699af372f1c1a6,09c8a07b1d870909ae699af372f1c1a6,No,
22,Opuntia excelsa,127257,-105.0411111,19.4958333,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,81,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3971ebd0ed52ac975ccf57351d263bb2,3971ebd0ed52ac975ccf57351d263bb2,No,
23,Opuntia excelsa,127257,-105.03825,19.50225,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,42,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cfb58bba84b51f21e69798f67f4c5a7,0cfb58bba84b51f21e69798f67f4c5a7,No,
24,Opuntia excelsa,127257,-105.0430556,19.4955556,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,92,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f9cc8864d619f0fe3e8acfcc71c7daea,f9cc8864d619f0fe3e8acfcc71c7daea,No,
25,Opuntia excelsa,127257,-105.04175,19.4985833,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,71,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=99f75ef1e3212748c1dac7887e2a9ba0,99f75ef1e3212748c1dac7887e2a9ba0,No,
26,Opuntia excelsa,127257,-105.0322222,19.5027778,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,131,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=457c214b66bf89a2040dfbb31de7b0ca,457c214b66bf89a2040dfbb31de7b0ca,No,
27,Opuntia excelsa,127257,-105.0459167,19.4951944,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,81,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c49e57abaffe7d1505b95a411c03c778,c49e57abaffe7d1505b95a411c03c778,No,
28,Opuntia excelsa,127257,-105.0583333,19.5083333,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,16,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=69bd4a8786eaf804a844e0a2f0cbdfa5,69bd4a8786eaf804a844e0a2f0cbdfa5,No,
29,Opuntia excelsa,127257,-105.0490833,19.5064167,,False,2,22.43,Equisetopsida,Caryophyllales,Cactaceae,57,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ff0df264d98290258b8c24db6a59ecd7,ff0df264d98290258b8c24db6a59ecd7,No,
