,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Opuntia feracantha,136563,-103.666944,18.9308334,,False,2,11.64,Equisetopsida,Caryophyllales,Cactaceae,123,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=eb17af6bc73e0330ba126438a52819c5,eb17af6bc73e0330ba126438a52819c5,Si,debe marcarse ubicados en un Estado no referido en Literatura y en vegetación ajena a la especie
1,Opuntia feracantha,136563,-103.6713889,18.9188889,,False,2,11.64,Equisetopsida,Caryophyllales,Cactaceae,65,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=45dff23d041f3b775a9825d63ae13d62,45dff23d041f3b775a9825d63ae13d62,Si,debe marcarse ubicados en un Estado no referido en Literatura y en vegetación ajena a la especie
2,Opuntia feracantha,96360,-108.8365,25.7805556,,False,2,8.54,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3a3ae09827565779fc7225774eddebab,3a3ae09827565779fc7225774eddebab,No,
3,Opuntia feracantha,136571,-103.511667,18.9625,,False,3,15.98,Equisetopsida,Caryophyllales,Cactaceae,241,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4ac436a5ca4b47d5745ab4679707bc29,4ac436a5ca4b47d5745ab4679707bc29,Si,debe marcarse ubicados en un Estado no referido en Literatura y en vegetación ajena a la especie
4,Opuntia feracantha,136571,-103.5116667,18.9625,,False,3,15.98,Equisetopsida,Caryophyllales,Cactaceae,241,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1649158b08ecd1f553075187470356c2,1649158b08ecd1f553075187470356c2,Si,debe marcarse ubicados en un Estado no referido en Literatura y en vegetación ajena a la especie
5,Opuntia feracantha,136609,-103.708611,19.1994444,,False,2,11.79,Equisetopsida,Caryophyllales,Cactaceae,424,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ce60db45feaf7d14b4ffd5507ab7016f,ce60db45feaf7d14b4ffd5507ab7016f,Si,debe marcarse ubicados en un Estado no referido en Literatura y en vegetación ajena a la especie
6,Opuntia feracantha,136609,-103.7083333,19.1991667,,False,2,11.79,Equisetopsida,Caryophyllales,Cactaceae,424,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=84df93fb05a800eb0eb34f4fdcf71484,84df93fb05a800eb0eb34f4fdcf71484,Si,debe marcarse ubicados en un Estado no referido en Literatura y en vegetación ajena a la especie
7,Opuntia feracantha,96323,-109.10475,25.5893333,,True,1,-4.56,Equisetopsida,Caryophyllales,Cactaceae,15,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f434b2b7f973def48ea0c5d5629ca925,f434b2b7f973def48ea0c5d5629ca925,No,
8,Opuntia feracantha,127536,-104.684722,21.5797223,,False,2,7.14,Equisetopsida,Caryophyllales,Cactaceae,725,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8f54a8ea4d288145518a9fad3e737bfb,8f54a8ea4d288145518a9fad3e737bfb,No,
9,Opuntia feracantha,127536,-104.6847222,21.5797222,,False,2,7.14,Equisetopsida,Caryophyllales,Cactaceae,725,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=755987e41c6935c563b39bd02de78f43,755987e41c6935c563b39bd02de78f43,No,
10,Opuntia feracantha,132166,-104.62,21.5963889,,False,3,16.02,Equisetopsida,Caryophyllales,Cactaceae,379,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c674ab60e6c32b965e944e69aaae9a48,c674ab60e6c32b965e944e69aaae9a48,No,
11,Opuntia feracantha,132166,-104.6183333,21.5694444,,False,3,16.02,Equisetopsida,Caryophyllales,Cactaceae,442,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8e9776f9f91735d609271efac14451ab,8e9776f9f91735d609271efac14451ab,No,
12,Opuntia feracantha,109587,-107.3938889,24.8027778,,False,2,10.63,Equisetopsida,Caryophyllales,Cactaceae,43,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=55fa7a6d07e4324d36e1ef07e9f617fd,55fa7a6d07e4324d36e1ef07e9f617fd,No,
13,Opuntia feracantha,96336,-108.9672222,25.8008333,,False,2,10.85,Equisetopsida,Caryophyllales,Cactaceae,19,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4c33fc2ab31656ea31c7d8853c1fe764,4c33fc2ab31656ea31c7d8853c1fe764,No,
14,Opuntia feracantha,100918,-108.3013889,26.5686111,,False,2,6.84,Equisetopsida,Caryophyllales,Cactaceae,592,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=af8e2b4d44462ac074fc48943a017c32,af8e2b4d44462ac074fc48943a017c32,No,
15,Opuntia feracantha,113947,-106.7105556,23.7613889,,False,3,13.54,Equisetopsida,Caryophyllales,Cactaceae,21,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17eb622c54d52bd83555ddc9f24f7e76,17eb622c54d52bd83555ddc9f24f7e76,No,
16,Opuntia feracantha,113947,-106.7105556,23.7613889,,False,3,13.54,Equisetopsida,Caryophyllales,Cactaceae,21,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=951897f9302486bb7342667fe30b2e79,951897f9302486bb7342667fe30b2e79,No,
17,Opuntia feracantha,105239,-108,26,,True,1,-5.29,Equisetopsida,Caryophyllales,Cactaceae,405,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=daf655dc33eb68c270e2dbae139056f0,daf655dc33eb68c270e2dbae139056f0,No,
18,Opuntia feracantha,136790,-104.0338889,21.2780556,,True,0,-18.4,Equisetopsida,Caryophyllales,Cactaceae,1705,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d827dadfa0c6b8c8e96d523bfaabe624,d827dadfa0c6b8c8e96d523bfaabe624,No,
19,Opuntia feracantha,118455,-105.9441667,23.3916667,,False,2,10.28,Equisetopsida,Caryophyllales,Cactaceae,452,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20bf2a00b83b0ea7c2351c9f5dff4e28,20bf2a00b83b0ea7c2351c9f5dff4e28,No,
20,Opuntia feracantha,96409,-109.0233333,26.3352778,,False,2,8.51,Equisetopsida,Caryophyllales,Cactaceae,38,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=59433bf462cb95a02b95c7c5290e46c9,59433bf462cb95a02b95c7c5290e46c9,No,
21,Opuntia feracantha,96413,-109.0861111,26.5,,False,2,9.15,Equisetopsida,Caryophyllales,Cactaceae,61,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bfd855d8f2de11ad8827b2f8dcf9f9a9,bfd855d8f2de11ad8827b2f8dcf9f9a9,Si,"aunque fuera del Estado citado en Literatura muy cerca del borde y en mismo tipo de vegetación de los registros aledaños, queda dentro con margen de tolerancia"
22,Opuntia feracantha,96331,-109.0113889,25.5705556,,False,2,8.99,Equisetopsida,Caryophyllales,Cactaceae,40,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=145f9f0862405dc5f47f351a302615cf,145f9f0862405dc5f47f351a302615cf,No,
23,Opuntia feracantha,118435,-105.9416667,22.9416667,,False,3,15.21,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=689c70fc7a211ac1ba6d85a017afc12f,689c70fc7a211ac1ba6d85a017afc12f,No,
