,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
72,Opuntia fuliginosa,155818,-101.3166667,20.35,,False,4,19.27,Equisetopsida,Caryophyllales,Cactaceae,1799,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00fc625cd0cdf9d7003c4b926dfe4580,00fc625cd0cdf9d7003c4b926dfe4580,Si,aunque fuera del polígono dentro del potencial
159,Opuntia fuliginosa,170018,-99.6891783,17.6449908,,False,4,15.27,Equisetopsida,Caryophyllales,Cactaceae,1341,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02d5f6526c7815036b7958f63cd90463,02d5f6526c7815036b7958f63cd90463,No,
125,Opuntia fuliginosa,169983,-99.4691667,17.4583333,,False,5,23.01,Equisetopsida,Caryophyllales,Cactaceae,1366,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02ed55113b4e48504c0342fe89f44037,02ed55113b4e48504c0342fe89f44037,No,
29,Opuntia fuliginosa,170045,-99.5344444,17.9994444,,False,2,0.12,Equisetopsida,Caryophyllales,Cactaceae,578,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=031a8b1214c265da8b4551ed2dbbf900,031a8b1214c265da8b4551ed2dbbf900,No,
2,Opuntia fuliginosa,141441,-103.4166667,20.2833333,,False,4,21.19,Equisetopsida,Caryophyllales,Cactaceae,1529,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=031dfb4401256ebd3ea037d2d1aef66a,031dfb4401256ebd3ea037d2d1aef66a,No,
201,Opuntia fuliginosa,136968,-103.9833297,22.6680546,,False,3,7.88,Equisetopsida,Caryophyllales,Cactaceae,1382,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=041c9571a91a0527af4926777d08d6c6,041c9571a91a0527af4926777d08d6c6,Si,aunque fuera del polígono y también fuera del potencial dentro del Estado citado en Literatura
257,Opuntia fuliginosa,151030,-102.0155556,20.7761111,,False,4,15.56,Equisetopsida,Caryophyllales,Cactaceae,1863,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0664076092cf8f7647a1ed7d952d4da5,0664076092cf8f7647a1ed7d952d4da5,No,
105,Opuntia fuliginosa,175286,-99.1091667,21.2763889,,False,4,14.34,Equisetopsida,Caryophyllales,Cactaceae,1569,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07e36c80a7a71d15b520e70b203e1844,07e36c80a7a71d15b520e70b203e1844,Si,aunque fuera del polígono y también fuera del potencial dentro del Estado citado en Literatura
190,Opuntia fuliginosa,165456,-100.338,20.5299167,,False,4,15.56,Equisetopsida,Caryophyllales,Cactaceae,2190,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07e89e7efa2ed361cc8a38812c0ecf05,07e89e7efa2ed361cc8a38812c0ecf05,Si,aunque fuera del polígono dentro del potencial
156,Opuntia fuliginosa,165724,-100.3897222,22.7380556,,False,3,7.92,Equisetopsida,Caryophyllales,Cactaceae,2108,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0917063ee827a195038ae7ba322987b1,0917063ee827a195038ae7ba322987b1,Si,aunque fuera del polígono y también fuera del potencial dentro del Estado citado en Literatura
136,Opuntia fuliginosa,146139,-102.6425,20.0105556,,False,4,13.38,Equisetopsida,Caryophyllales,Cactaceae,1554,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=097d7916b1e961490b29b8c35b007a04,097d7916b1e961490b29b8c35b007a04,No,
132,Opuntia fuliginosa,96678,-108.9013889,28.3522222,,True,1,-13.49,Equisetopsida,Caryophyllales,Cactaceae,1650,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09f166e395935c21d798bbc4438af7fe,09f166e395935c21d798bbc4438af7fe,Si,debe marcarse completamente fuera del área de distribución de la especie
59,Opuntia fuliginosa,165337,-100.4475,19.4866667,,False,4,15.3,Equisetopsida,Caryophyllales,Cactaceae,1914,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a7c042b38e7e807bb71a83ad789e6a2,0a7c042b38e7e807bb71a83ad789e6a2,No,
112,Opuntia fuliginosa,170382,-99.866972,21.04025,,False,4,12.82,Equisetopsida,Caryophyllales,Cactaceae,1390,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ee537363cb8548b720c762cfde9db4a,0ee537363cb8548b720c762cfde9db4a,Si,aunque fuera del polígono dentro del potencial
49,Opuntia fuliginosa,141463,-103.3461,20.6764,,False,4,11.53,Equisetopsida,Caryophyllales,Cactaceae,1561,Terrestre,1909,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=114f97ff337c943fff389ef80e7b716a,114f97ff337c943fff389ef80e7b716a,No,
124,Opuntia fuliginosa,141260,-103.2105556,18.7555556,,False,4,13.87,Equisetopsida,Caryophyllales,Cactaceae,1117,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11d9a6b9333c8ec28646ba88a7c0f4c1,11d9a6b9333c8ec28646ba88a7c0f4c1,No,
264,Opuntia fuliginosa,136864,-103.8233333,21.865,,False,3,9.04,Equisetopsida,Caryophyllales,Cactaceae,1472,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12154385efdce30077f3e141391afcbc,12154385efdce30077f3e141391afcbc,No,
6,Opuntia fuliginosa,141506,-103.4172222,20.9044444,,False,4,18.47,Equisetopsida,Caryophyllales,Cactaceae,1694,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=127ecc4937c5282b3367519292e8234c,127ecc4937c5282b3367519292e8234c,No,
272,Opuntia fuliginosa,160778,-101,22,,False,3,8.76,Equisetopsida,Caryophyllales,Cactaceae,2362,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1419993f9fafd3dfb39cce7d369d512a,1419993f9fafd3dfb39cce7d369d512a,Si,aunque fuera del polígono dentro del potencial
192,Opuntia fuliginosa,132142,-104.1802825,21.02528,,False,2,0.67,Equisetopsida,Caryophyllales,Cactaceae,889,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=161b5b3329339ab667e67b0bc6404c02,161b5b3329339ab667e67b0bc6404c02,No,
209,Opuntia fuliginosa,155900,-101.1929167,21.1480006,,False,3,5.16,Equisetopsida,Caryophyllales,Cactaceae,2318,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=161cf0beed4bf609a54350f478c4a89c,161cf0beed4bf609a54350f478c4a89c,Si,aunque fuera del polígono y también fuera del potencial dentro del Estado citado en Literatura
21,Opuntia fuliginosa,136699,-103.5152778,20.0094444,,False,4,13.53,Equisetopsida,Caryophyllales,Cactaceae,1358,Terrestre,1979,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=165e9f778b84cee8bd9e90de168be451,165e9f778b84cee8bd9e90de168be451,No,
85,Opuntia fuliginosa,136508,-103.5508333,18.4538889,,False,2,-1.17,Equisetopsida,Caryophyllales,Cactaceae,35,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1715f4df715ddf88d06f12bb1d3a721c,1715f4df715ddf88d06f12bb1d3a721c,No,
176,Opuntia fuliginosa,175165,-99.0291669,20.1625003,,False,4,11.14,Equisetopsida,Caryophyllales,Cactaceae,2224,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=176f9323fb76dcfc4d0c6c18aa570169,176f9323fb76dcfc4d0c6c18aa570169,Si,aunque fuera del polígono dentro del potencial
75,Opuntia fuliginosa,155823,-101.205,20.4038889,,False,4,14.02,Equisetopsida,Caryophyllales,Cactaceae,1758,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=183438ab57fabf880a129e9227a460fd,183438ab57fabf880a129e9227a460fd,Si,aunque fuera del polígono dentro del potencial
243,Opuntia fuliginosa,160596,-101.1086111,20.5986111,,False,4,16.74,Equisetopsida,Caryophyllales,Cactaceae,1750,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18655100a8f99723b7d76d46c57d6237,18655100a8f99723b7d76d46c57d6237,Si,aunque fuera del polígono dentro del potencial
242,Opuntia fuliginosa,141542,-103.1580556,21.0680556,,False,4,18.45,Equisetopsida,Caryophyllales,Cactaceae,1498,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=189f71807e72ed7bea93723a0fe90127,189f71807e72ed7bea93723a0fe90127,Si,aunque fuera del polígono muy cerca del borde tanto de distribución como del potencial
224,Opuntia fuliginosa,136743,-103.651741,20.4151725,,False,4,16.5,Equisetopsida,Caryophyllales,Cactaceae,1413,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b5b8f542364561c251b83568ede61ed,1b5b8f542364561c251b83568ede61ed,No,
92,Opuntia fuliginosa,170384,-99.8033333,21.0616667,,False,4,13.32,Equisetopsida,Caryophyllales,Cactaceae,1407,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e237b1c13dde564a88f9d1cf1497f04,1e237b1c13dde564a88f9d1cf1497f04,Si,aunque fuera del polígono dentro del potencial
