,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
111,Opuntia leucotricha,180092,-98.37944,20.08722,,False,5,19.42,Equisetopsida,Caryophyllales,Cactaceae,2151,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0054687ab39698b31c1c100f49b4d4c0,0054687ab39698b31c1c100f49b4d4c0,No,
112,Opuntia leucotricha,180092,-98.37944,20.08722,,False,5,19.42,Equisetopsida,Caryophyllales,Cactaceae,2151,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0089b4623041f75668933283878916f0,0089b4623041f75668933283878916f0,No,
345,Opuntia leucotricha,155971,-101.6491667,21.8916667,,False,5,17.06,Equisetopsida,Caryophyllales,Cactaceae,2185,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0166f0b93e9bb3215afb0e15d577ba31,0166f0b93e9bb3215afb0e15d577ba31,No,
254,Opuntia leucotricha,165706,-100.4155556,22.5025,,False,5,24.09,Equisetopsida,Caryophyllales,Cactaceae,1327,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01f9608cc44c31ade1624bb2c67c8710,01f9608cc44c31ade1624bb2c67c8710,No,
175,Opuntia leucotricha,165795,-100.2366667,22.9830556,,False,5,14.68,Equisetopsida,Caryophyllales,Cactaceae,1385,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02472ea11847f2e50d078efaaba4ca69,02472ea11847f2e50d078efaaba4ca69,No,
352,Opuntia leucotricha,165469,-100.4580556,20.7083333,,False,5,20.96,Equisetopsida,Caryophyllales,Cactaceae,1912,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02ec0ec512b721627e8f042ae43c61eb,02ec0ec512b721627e8f042ae43c61eb,No,
329,Opuntia leucotricha,175165,-99.0291669,20.1625003,,False,5,21.37,Equisetopsida,Caryophyllales,Cactaceae,2224,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0328b78d2964c995717b633abef5e966,0328b78d2964c995717b633abef5e966,No,
53,Opuntia leucotricha,156009,-101.2683333,21.9233333,,False,5,19.73,Equisetopsida,Caryophyllales,Cactaceae,2171,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0332a95433815584e183d2621023b5d6,0332a95433815584e183d2621023b5d6,No,
251,Opuntia leucotricha,170656,-99.8083333,23.4416667,,False,5,27.69,Equisetopsida,Caryophyllales,Cactaceae,2174,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0357808e37698657559afc9ba76e4e66,0357808e37698657559afc9ba76e4e66,No,
212,Opuntia leucotricha,136871,-103.63861,21.49417,,False,4,5.7,Equisetopsida,Caryophyllales,Cactaceae,2191,Terrestre,1906,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=037d2c4822f10bec53525ba9a5a0448a,037d2c4822f10bec53525ba9a5a0448a,No,
398,Opuntia leucotricha,132434,-104.62,23.8433333,,False,5,9.42,Equisetopsida,Caryophyllales,Cactaceae,2054,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03e5f13c33f30ddc91465876d8bbed48,03e5f13c33f30ddc91465876d8bbed48,No,
362,Opuntia leucotricha,141839,-103.2061111,23.6005556,,False,5,13.79,Equisetopsida,Caryophyllales,Cactaceae,1993,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03f285667eadfb3add47d7cd6dd7b6b5,03f285667eadfb3add47d7cd6dd7b6b5,No,
289,Opuntia leucotricha,151419,-101.7905,23.7902,,False,5,12.46,Equisetopsida,Caryophyllales,Cactaceae,2152,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03f9a6fe7c8a47f15534c64ce7fecfb0,03f9a6fe7c8a47f15534c64ce7fecfb0,No,
445,Opuntia leucotricha,132530,-104.3442308,24.3283658,,False,5,11.64,Equisetopsida,Caryophyllales,Cactaceae,1916,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05e649f39ab6a00c22ca56cdc7e0c4d3,05e649f39ab6a00c22ca56cdc7e0c4d3,No,
75,Opuntia leucotricha,165741,-100.1580556,22.575,,False,5,15.92,Equisetopsida,Caryophyllales,Cactaceae,1299,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05f515c2aa64a49f462f0a766d175aa9,05f515c2aa64a49f462f0a766d175aa9,No,
430,Opuntia leucotricha,141712,-103.2366666,22.6130555,,False,4,8.27,Equisetopsida,Caryophyllales,Cactaceae,2500,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06dde24f2283d16f3d129488d96851cd,06dde24f2283d16f3d129488d96851cd,No,
185,Opuntia leucotricha,165723,-100.3641667,22.6758333,,False,5,29.16,Equisetopsida,Caryophyllales,Cactaceae,1829,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=070419aea905a3fc295513b43f21cecc,070419aea905a3fc295513b43f21cecc,No,
174,Opuntia leucotricha,165795,-100.1991667,22.9688889,,False,5,14.68,Equisetopsida,Caryophyllales,Cactaceae,1486,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=075bc4e0a216c66b7e74a42fd324b833,075bc4e0a216c66b7e74a42fd324b833,No,
