,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
10,Opuntia megacantha,155823,-101.2341694,20.44,,False,4,6.2,Equisetopsida,Caryophyllales,Cactaceae,1814,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003b8a9fb8ad3c1d62042b0cef2cb65d,003b8a9fb8ad3c1d62042b0cef2cb65d,No,
77,Opuntia megacantha,155820,-101.1888889,20.3911111,,False,4,10.07,Equisetopsida,Caryophyllales,Cactaceae,1745,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00aa300d47deae25d83c438c753b131f,00aa300d47deae25d83c438c753b131f,No,
207,Opuntia megacantha,132434,-104.6205555,23.8080555,,False,4,22.58,Equisetopsida,Caryophyllales,Cactaceae,2476,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0172444fd834154466dc26a8beddf431,0172444fd834154466dc26a8beddf431,No,
79,Opuntia megacantha,155820,-101.1916667,20.3916667,,False,4,10.07,Equisetopsida,Caryophyllales,Cactaceae,1748,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02c09f69412e5360f440b36bb94ab38f,02c09f69412e5360f440b36bb94ab38f,No,
117,Opuntia megacantha,141619,-103.0625,21.6277778,,False,3,-1.57,Equisetopsida,Caryophyllales,Cactaceae,1567,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03e88b9ad7bc5b710de3b6437dbb8241,03e88b9ad7bc5b710de3b6437dbb8241,No,
149,Opuntia megacantha,155949,-101.2783333,21.5366667,,False,4,30.31,Equisetopsida,Caryophyllales,Cactaceae,2182,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03f6580cc4e03808656975188bf66cba,03f6580cc4e03808656975188bf66cba,No,
91,Opuntia megacantha,160998,-100.8894444,23.6927778,,False,4,11.44,Equisetopsida,Caryophyllales,Cactaceae,2679,Terrestre,1906,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=076f5b3119080a2000a5f09ed58c4f72,076f5b3119080a2000a5f09ed58c4f72,No,
163,Opuntia megacantha,161214,-100.725,25.525,,False,4,24.85,Equisetopsida,Caryophyllales,Cactaceae,2410,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07fd8eea0d8caf8f8e77f6f1a9148ca1,07fd8eea0d8caf8f8e77f6f1a9148ca1,No,
222,Opuntia megacantha,137137,-103.7672222,23.7555555,,False,4,20.47,Equisetopsida,Caryophyllales,Cactaceae,2354,Terrestre,2000,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0880f333056ce98482e449d2298616f1,0880f333056ce98482e449d2298616f1,No,
32,Opuntia megacantha,180047,-98.6641667,19.8705556,,False,4,24.67,Equisetopsida,Caryophyllales,Cactaceae,2451,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08b0a85349cd66edeacb8ead44faac63,08b0a85349cd66edeacb8ead44faac63,No,
