,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Opuntia parviclada,189797,-97.4222222,18.2325,,False,4,63.88,Equisetopsida,Caryophyllales,Cactaceae,2103,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=580b7820d278e24c35cdb84402875d23,580b7820d278e24c35cdb84402875d23,No,
1,Opuntia parviclada,194702,-96.9833333,17.75,,False,2,39.15,Equisetopsida,Caryophyllales,Cactaceae,729,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02561570da1f72c6d3ef00dc81595fdb,02561570da1f72c6d3ef00dc81595fdb,No,
2,Opuntia parviclada,194702,-96.975,17.7583333,,False,2,39.15,Equisetopsida,Caryophyllales,Cactaceae,656,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b3a6e5938d68721ec5f176d5c6eb732,1b3a6e5938d68721ec5f176d5c6eb732,No,
3,Opuntia parviclada,194705,-97.1525,17.8263889,,False,4,60.8,Equisetopsida,Caryophyllales,Cactaceae,1828,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a2fb0bde4e00345a48b233a8203d5f04,a2fb0bde4e00345a48b233a8203d5f04,No,
4,Opuntia parviclada,194705,-97.1523889,17.8263611,,False,4,60.8,Equisetopsida,Caryophyllales,Cactaceae,1828,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b904c1087c2820aa86a910844f559d72,b904c1087c2820aa86a910844f559d72,No,
5,Opuntia parviclada,189695,-97.225,17.4583333,,False,1,33.57,Equisetopsida,Caryophyllales,Cactaceae,2091,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f5b8efb4d204213763a8a6fc88221324,f5b8efb4d204213763a8a6fc88221324,Si,aunque fuera del polígono dentro Estado citado en Literatura y tipo vegetación propia de la especie
6,Opuntia parviclada,189810,-97.4341667,18.4669444,,False,2,41.66,Equisetopsida,Caryophyllales,Cactaceae,1723,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d45efbe3c807bc09dc887e2b2f5eb359,d45efbe3c807bc09dc887e2b2f5eb359,Si,aunque fuera del polígono muy cerca del borde queda dentro con margen de tolerancia
7,Opuntia parviclada,194756,-97.055,18.1741667,,False,3,52.63,Equisetopsida,Caryophyllales,Cactaceae,1653,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=623690d16dd6d72aa350c7d0cb5f50cb,623690d16dd6d72aa350c7d0cb5f50cb,No,
8,Opuntia parviclada,194648,-97.0519444,17.4841111,,False,4,64.77,Equisetopsida,Caryophyllales,Cactaceae,1432,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=43763042440a858edd5634487e303124,43763042440a858edd5634487e303124,Si,aunque fuera del polígono dentro Estado citado en Literatura y tipo vegetación propia de la especie
9,Opuntia parviclada,189775,-97.4925278,18.2446389,,False,3,54.19,Equisetopsida,Caryophyllales,Cactaceae,1724,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=33caac24a56f0bf382a711bb2755e09a,33caac24a56f0bf382a711bb2755e09a,No,
10,Opuntia parviclada,194714,-97.0141667,17.9278333,,False,2,39.45,Equisetopsida,Caryophyllales,Cactaceae,550,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7ea92947d541e53054206740952f85aa,7ea92947d541e53054206740952f85aa,No,
11,Opuntia parviclada,189802,-97.2491667,18.1782222,,False,0,18.14,Equisetopsida,Caryophyllales,Cactaceae,974,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=67cbf3fe445a496d0d1d8e39dc8ec89a,67cbf3fe445a496d0d1d8e39dc8ec89a,No,
12,Opuntia parviclada,194647,-97.0568056,17.4713056,,False,3,51.38,Equisetopsida,Caryophyllales,Cactaceae,1804,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=eeb595d7aeb9deeb5a877a63ec0c58f0,eeb595d7aeb9deeb5a877a63ec0c58f0,Si,aunque fuera del polígono dentro Estado citado en Literatura y tipo vegetación propia de la especie
13,Opuntia parviclada,189772,-97.475,18.225,,False,2,45.61,Equisetopsida,Caryophyllales,Cactaceae,1873,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=037b9c3d78c0b5140a118930bba53fe3,037b9c3d78c0b5140a118930bba53fe3,No,
