,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
3,Opuntia tehuacana,194705,-97.1523889,17.8263611,,False,3,71.14,Equisetopsida,Caryophyllales,Cactaceae,1828,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=132711c0568bc7ee14fda94fcf87b04a,132711c0568bc7ee14fda94fcf87b04a,No,,NoDisponible,,,,,,
10,Opuntia tehuacana,194702,-96.9627778,17.7952778,,False,2,50.69,Equisetopsida,Caryophyllales,Cactaceae,601,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c4841e3b4c2975afaf83673c9da3f78,1c4841e3b4c2975afaf83673c9da3f78,No,,NoDisponible,,,,,,
30,Opuntia tehuacana,194699,-96.9335,17.6076944,,False,2,59.38,Equisetopsida,Caryophyllales,Cactaceae,1292,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25ed4bb64225f56600c7ba8712b95061,25ed4bb64225f56600c7ba8712b95061,Si,No,NoDisponible,Si,Si,,,,
22,Opuntia tehuacana,189819,-97.2098611,18.4220278,,False,4,85.63,Equisetopsida,Caryophyllales,Cactaceae,2062,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2fee6f143d4555546060da993cee15b1,2fee6f143d4555546060da993cee15b1,No,,NoDisponible,,,,,,
31,Opuntia tehuacana,194753,-97.0916667,18.1416667,,False,1,39.04,Equisetopsida,Caryophyllales,Cactaceae,914,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4d4cc9ef51bb45017790e9df3272c97e,4d4cc9ef51bb45017790e9df3272c97e,No,,NoDisponible,,,,,,
17,Opuntia tehuacana,189755,-97.1671982,17.8783586,,False,3,61.93,Equisetopsida,Caryophyllales,Cactaceae,1855,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=547d13add392d06f91900d06da9a4c6a,547d13add392d06f91900d06da9a4c6a,No,,NoDisponible,,,,,,
27,Opuntia tehuacana,194714,-96.9508056,17.9096389,,False,3,60.1,Equisetopsida,Caryophyllales,Cactaceae,941,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5fc715d32481f7aa8f92c430f815b264,5fc715d32481f7aa8f92c430f815b264,No,,NoDisponible,,,,,,
1,Opuntia tehuacana,194757,-97.1222222,18.2902778,,False,4,97.65,Equisetopsida,Caryophyllales,Cactaceae,1985,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5fff56d806972223e20502275a08bb6d,5fff56d806972223e20502275a08bb6d,No,,NoDisponible,,,,,,
8,Opuntia tehuacana,189703,-97.6169444,17.6858333,,False,1,41.98,Equisetopsida,Caryophyllales,Cactaceae,1930,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=64334d286dcd53c3524ea94a0747a617,64334d286dcd53c3524ea94a0747a617,Si,No,NoDisponible,Si,Si,,,,
26,Opuntia tehuacana,194648,-97.0541667,17.4805,,False,3,66.93,Equisetopsida,Caryophyllales,Cactaceae,1615,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6ec0124ff1836675a3ec4782a67a0881,6ec0124ff1836675a3ec4782a67a0881,Si,No,NoDisponible,Si,Si,,,,
5,Opuntia tehuacana,194633,-97,17,,False,0,24.55,Equisetopsida,Caryophyllales,Cactaceae,2362,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=738dad23c796d142647c3718c144a8bb,738dad23c796d142647c3718c144a8bb,Si,No,NoDisponible,No,Si,,,,
28,Opuntia tehuacana,194717,-97.0035278,17.9563056,,False,3,65.76,Equisetopsida,Caryophyllales,Cactaceae,645,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7b4559d6f591c8ed25f08855e99e9759,7b4559d6f591c8ed25f08855e99e9759,No,,NoDisponible,,,,,,
24,Opuntia tehuacana,194758,-97.1546667,18.3064056,,False,4,93.82,Equisetopsida,Caryophyllales,Cactaceae,1384,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7d1ff2c23d4993fdbb9d15fc8d9a3f79,7d1ff2c23d4993fdbb9d15fc8d9a3f79,No,,NoDisponible,,,,,,
