,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
83,Opuntia wilcoxii,136508,-103.4986111,18.4905556,,False,2,5.4,Equisetopsida,Caryophyllales,Cactaceae,85,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01c432edb6831f47d1c74cf1c1a1af97,01c432edb6831f47d1c74cf1c1a1af97,Si,,NoDisponible,,,,,,
77,Opuntia wilcoxii,105239,-108,26,,False,3,10.02,Equisetopsida,Caryophyllales,Cactaceae,405,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01e4c5aebfcae0fb9e4a497527086adf,01e4c5aebfcae0fb9e4a497527086adf,No,,NoDisponible,,,,,,
22,Opuntia wilcoxii,113915,-106.4152806,23.2361111,,False,3,7.15,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1897,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0390eadc6af6315a8bdfc460fe9daf2a,0390eadc6af6315a8bdfc460fe9daf2a,No,,NoDisponible,,,,,,
116,Opuntia wilcoxii,96316,-108.7026469,25.3770819,,False,3,10.84,Equisetopsida,Caryophyllales,Cactaceae,2,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=039812fb4992f9e9539527def9d734cf,039812fb4992f9e9539527def9d734cf,No,,NoDisponible,,,,,,
57,Opuntia wilcoxii,96331,-109.0091667,25.5694444,,False,3,6.54,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03d7b1a15e431469bda5b458e92cf1e1,03d7b1a15e431469bda5b458e92cf1e1,No,,NoDisponible,,,,,,
70,Opuntia wilcoxii,161329,-100.8688888,26.3627794,,True,0,-8.08,Equisetopsida,Caryophyllales,Cactaceae,641,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05a6016ce558ccc5634a3cfdf46b0b1c,05a6016ce558ccc5634a3cfdf46b0b1c,Si,No,NoDisponible,No,No,,,,
33,Opuntia wilcoxii,96413,-109.086111,26.5,,False,3,8.46,Equisetopsida,Caryophyllales,Cactaceae,61,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=061910e9aada2d512eee6d4e25994671,061910e9aada2d512eee6d4e25994671,No,,NoDisponible,,,,,,
112,Opuntia wilcoxii,114004,-106.8083333,24.3744444,,False,3,9.23,Equisetopsida,Caryophyllales,Cactaceae,269,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0680c59858dd642a3248c6b49f1327c2,0680c59858dd642a3248c6b49f1327c2,No,,NoDisponible,,,,,,
4,Opuntia wilcoxii,96488,-108.81669,26.8224,,False,3,9.01,Equisetopsida,Caryophyllales,Cactaceae,283,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=078c90535f48be67b5f25cfd76e08123,078c90535f48be67b5f25cfd76e08123,No,,NoDisponible,,,,,,
54,Opuntia wilcoxii,96331,-109.0102778,25.5708333,,False,3,6.54,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0981b07339a6effce1082505966a353a,0981b07339a6effce1082505966a353a,No,,NoDisponible,,,,,,
47,Opuntia wilcoxii,96331,-109.0113889,25.5705556,,False,3,6.54,Equisetopsida,Caryophyllales,Cactaceae,40,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a9c25cc29eac490cae3a99b98ba875c,0a9c25cc29eac490cae3a99b98ba875c,No,,NoDisponible,,,,,,
72,Opuntia wilcoxii,92171,-109.525,28.675,,False,2,5.84,Equisetopsida,Caryophyllales,Cactaceae,335,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b023ee9c88800a25c4ba1b6b1993935,0b023ee9c88800a25c4ba1b6b1993935,No,,NoDisponible,,,,,,
17,Opuntia wilcoxii,91960,-109.4352778,27.0716667,,False,3,10.95,Equisetopsida,Caryophyllales,Cactaceae,51,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d2b9727baaf182cfc720ee0643fd020,0d2b9727baaf182cfc720ee0643fd020,No,,NoDisponible,,,,,,
98,Opuntia wilcoxii,96380,-108.6683333,25.8844444,,False,3,9.14,Equisetopsida,Caryophyllales,Cactaceae,49,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10616e5c4c957523909e88b3e411b13c,10616e5c4c957523909e88b3e411b13c,No,,NoDisponible,,,,,,
37,Opuntia wilcoxii,96413,-109.0861111,26.5,,False,3,8.46,Equisetopsida,Caryophyllales,Cactaceae,61,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12886c192695062c70564fc6511715a4,12886c192695062c70564fc6511715a4,No,,NoDisponible,,,,,,
69,Opuntia wilcoxii,170028,-99.5263889,17.6516667,,False,3,6.41,Equisetopsida,Caryophyllales,Cactaceae,1056,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16d249b3609ab3244745de16e1fbc621,16d249b3609ab3244745de16e1fbc621,Si,,NoDisponible,,,,,,
79,Opuntia wilcoxii,141539,-103.0744444,20.8613889,,False,2,0.67,Equisetopsida,Caryophyllales,Cactaceae,1768,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18a16bc2f69c1d713aefde095a4c6596,18a16bc2f69c1d713aefde095a4c6596,Si,,NoDisponible,,,,,,
67,Opuntia wilcoxii,87534,-109.8836111,27.8175,,False,3,10.42,Equisetopsida,Caryophyllales,Cactaceae,174,Terrestre,2008,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a03723626121bac05052aefde5ab25a,1a03723626121bac05052aefde5ab25a,No,,NoDisponible,,,,,,
26,Opuntia wilcoxii,113915,-106.4153,23.2361,,False,3,7.15,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1909,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c0bb18770b60d6785b8e7fd471b49a7,1c0bb18770b60d6785b8e7fd471b49a7,No,,NoDisponible,,,,,,
8,Opuntia wilcoxii,96498,-108.8916667,26.9375,,False,3,9.26,Equisetopsida,Caryophyllales,Cactaceae,283,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cd2bdf219fb94ccf4106a588bb9b8d3,1cd2bdf219fb94ccf4106a588bb9b8d3,No,,NoDisponible,,,,,,
103,Opuntia wilcoxii,132316,-104.3666666,22.7611111,,False,2,1.8,Equisetopsida,Caryophyllales,Cactaceae,2240,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d766dff60ecb1d416bc2f8f81467e20,1d766dff60ecb1d416bc2f8f81467e20,Si,,NoDisponible,,,,,,
96,Opuntia wilcoxii,118396,-105.8352778,22.7916667,,False,3,9.64,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ef009a4f5ab64fd307cbb666f8e072b,1ef009a4f5ab64fd307cbb666f8e072b,Si,,NoDisponible,,,,,,
10,Opuntia wilcoxii,155489,-101.4502778,17.5788889,,False,2,5.3,Equisetopsida,Caryophyllales,Cactaceae,18,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2011c00087263124ec9f247b04810039,2011c00087263124ec9f247b04810039,Si,,NoDisponible,,,,,,
15,Opuntia wilcoxii,96329,-109.0497,25.6,,False,3,7.63,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2069de45a3f9dfc62ee26d90175421e3,2069de45a3f9dfc62ee26d90175421e3,No,,NoDisponible,,,,,,
59,Opuntia wilcoxii,92047,-109.534124,27.780034,,False,3,7.83,Equisetopsida,Caryophyllales,Cactaceae,479,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=23ae312f1d7746870f01464ab1960617,23ae312f1d7746870f01464ab1960617,No,,NoDisponible,,,,,,
51,Opuntia wilcoxii,96331,-109.0111111,25.5694444,,False,3,6.54,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2567cdc6cd49718e4ccda4fa68678ded,2567cdc6cd49718e4ccda4fa68678ded,No,,NoDisponible,,,,,,
20,Opuntia wilcoxii,91960,-109.44528,27.08083,,False,3,10.95,Equisetopsida,Caryophyllales,Cactaceae,50,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=26b9d3f65f5c5d9976d361d7f649c179,26b9d3f65f5c5d9976d361d7f649c179,No,,NoDisponible,,,,,,
45,Opuntia wilcoxii,96432,-108.705778,26.2714445,,False,3,7.53,Equisetopsida,Caryophyllales,Cactaceae,70,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=30299fb849e462657309a015cd0e4029,30299fb849e462657309a015cd0e4029,No,,NoDisponible,,,,,,
82,Opuntia wilcoxii,136627,-103.6830556,19.4758333,,True,1,-1.21,Equisetopsida,Caryophyllales,Cactaceae,1496,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=31460a29a944a0651d3155148e684eed,31460a29a944a0651d3155148e684eed,Si,No,NoDisponible,Si,No,,,,
