,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
13,Opuntia zamudioi,155859,-101.6808317,21.1186103,,False,0,15.13,Equisetopsida,Caryophyllales,Cactaceae,1812,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13a16f5acacfacfda0048fc76b39a91c,13a16f5acacfacfda0048fc76b39a91c,Si,NoDisponible,NoDisponible,,No,,,,
11,Opuntia zamudioi,170473,-99.5730556,21.3925,,False,3,40.53,Equisetopsida,Caryophyllales,Cactaceae,681,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e845d65ef2e283f635e5760e2fd9230,1e845d65ef2e283f635e5760e2fd9230,No,NoDisponible,NoDisponible,,,,,,
14,Opuntia zamudioi,170474,-99.5997222,21.4505556,,False,3,41.7,Equisetopsida,Caryophyllales,Cactaceae,1066,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=28ceab3bb65e16123edae168f301236d,28ceab3bb65e16123edae168f301236d,No,NoDisponible,NoDisponible,,,,,,
10,Opuntia zamudioi,170661,-99.7033333,23.0702778,,False,2,31.92,Equisetopsida,Caryophyllales,Cactaceae,1262,Terrestre,2009,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f0a6537f04ae578d856fa775739633c,3f0a6537f04ae578d856fa775739633c,Si,NoDisponible,NoDisponible,,No,,,,
1,Opuntia zamudioi,170433,-99.97116,21.34837,,False,2,32.82,Equisetopsida,Caryophyllales,Cactaceae,940,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=562952b24f662199f06d8f4a1c900cb6,562952b24f662199f06d8f4a1c900cb6,Si,NoDisponible,NoDisponible,,No,,,,
0,Opuntia zamudioi,170433,-99.97134,21.34833,,False,2,32.82,Equisetopsida,Caryophyllales,Cactaceae,946,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5b3d748236b5feeca435c1efdd025a07,5b3d748236b5feeca435c1efdd025a07,Si,NoDisponible,NoDisponible,,No,,,,
21,Opuntia zamudioi,175567,-99.2157908,23.5998119,,False,1,26.74,Equisetopsida,Caryophyllales,Cactaceae,1329,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=60d5505710d51cbaaba90e9c40e54d20,60d5505710d51cbaaba90e9c40e54d20,Si,NoDisponible,NoDisponible,,No,,,,
3,Opuntia zamudioi,170728,-99.6083333,23.675,,False,2,33.51,Equisetopsida,Caryophyllales,Cactaceae,1708,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=73ece6ce6f42723f293e50cc1dd715cb,73ece6ce6f42723f293e50cc1dd715cb,Si,NoDisponible,NoDisponible,,No,,,,
6,Opuntia zamudioi,175286,-99.1186111,21.2830556,,False,2,34.98,Equisetopsida,Caryophyllales,Cactaceae,1803,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7baa8cc4b19ced7f9b714b95196bfc21,7baa8cc4b19ced7f9b714b95196bfc21,No,NoDisponible,NoDisponible,,,,,,
18,Opuntia zamudioi,175261,-99.2847222,21.2063889,,False,1,25.42,Equisetopsida,Caryophyllales,Cactaceae,1036,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7eac6af8d68837535466a52cd4283bbe,7eac6af8d68837535466a52cd4283bbe,No,NoDisponible,NoDisponible,,,,,,
12,Opuntia zamudioi,170473,-99.5730556,21.3925,,False,3,40.53,Equisetopsida,Caryophyllales,Cactaceae,681,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9e9212c8437d6ee3aa78b994f6a2e43e,9e9212c8437d6ee3aa78b994f6a2e43e,No,NoDisponible,NoDisponible,,,,,,
16,Opuntia zamudioi,170468,-99.6355556,21.4447222,,False,4,50.8,Equisetopsida,Caryophyllales,Cactaceae,576,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a586ad621371a2a46909a1d4e2736002,a586ad621371a2a46909a1d4e2736002,No,NoDisponible,NoDisponible,,,,,,
19,Opuntia zamudioi,170306,-99.9938886,20.3877792,,False,0,17.44,Equisetopsida,Caryophyllales,Cactaceae,1945,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a80ba358fb9e86b3ca99be1ec33e4be6,a80ba358fb9e86b3ca99be1ec33e4be6,No,NoDisponible,NoDisponible,,,,,,
8,Opuntia zamudioi,170428,-99.5,21.1663889,,False,4,47.62,Equisetopsida,Caryophyllales,Cactaceae,968,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c32e3f7a1785abf9573bae271324402b,c32e3f7a1785abf9573bae271324402b,No,NoDisponible,NoDisponible,,,,,,
7,Opuntia zamudioi,175286,-99.1186111,21.2830556,,False,2,34.98,Equisetopsida,Caryophyllales,Cactaceae,1803,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c3fb0422b19430b69692da23831b2a1d,c3fb0422b19430b69692da23831b2a1d,No,NoDisponible,NoDisponible,,,,,,
17,Opuntia zamudioi,170695,-99.9583333,23.6083333,,False,2,31.4,Equisetopsida,Caryophyllales,Cactaceae,1403,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c82bafa2227be8eb31b30c7590d6a34c,c82bafa2227be8eb31b30c7590d6a34c,Si,NoDisponible,NoDisponible,,No,,,,
2,Opuntia zamudioi,175285,-99.1223831,21.2452011,,False,3,37.68,Equisetopsida,Caryophyllales,Cactaceae,1187,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cd060c5557e63767df7f517a9f6900ac,cd060c5557e63767df7f517a9f6900ac,No,NoDisponible,NoDisponible,,,,,,
22,Opuntia zamudioi,175305,-99.2759158,21.3500219,,False,4,43.95,Equisetopsida,Caryophyllales,Cactaceae,1377,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d25d543d0b98d70ef6443ea6575af9e2,d25d543d0b98d70ef6443ea6575af9e2,No,NoDisponible,NoDisponible,,,,,,
9,Opuntia zamudioi,170698,-99.8566664,23.5708292,,False,2,31.33,Equisetopsida,Caryophyllales,Cactaceae,1576,Terrestre,1986,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dc0ea264570970e55101666a78af3890,dc0ea264570970e55101666a78af3890,Si,NoDisponible,NoDisponible,,No,,,,
