,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Pelecyphora strobiliformis,170679,-99.61,23.37,,False,4,45.22,Equisetopsida,Caryophyllales,Cactaceae,1478,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7216c61290b54d3aa2bdc1e2343b116b,7216c61290b54d3aa2bdc1e2343b116b,Si,aunque fuera del polígono dentro del Estado citado en Literatura
1,Pelecyphora strobiliformis,165840,-100.3416667,23.675,,False,4,28.86,Equisetopsida,Caryophyllales,Cactaceae,1824,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c3db91ace9e0315b4fd788e2fa443f97,c3db91ace9e0315b4fd788e2fa443f97,Si,aunque fuera del polígono dentro del Estado citado en Literatura
2,Pelecyphora strobiliformis,165840,-100.34,23.69,,False,4,28.86,Equisetopsida,Caryophyllales,Cactaceae,1813,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=82886946eb9e6a422fb80ef47a506976,82886946eb9e6a422fb80ef47a506976,Si,aunque fuera del polígono dentro del Estado citado en Literatura
3,Pelecyphora strobiliformis,165840,-100.3330002,23.6830006,,False,4,28.86,Equisetopsida,Caryophyllales,Cactaceae,1804,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=db6ab544959079a779b3eb9b26a83435,db6ab544959079a779b3eb9b26a83435,Si,aunque fuera del polígono dentro del Estado citado en Literatura
4,Pelecyphora strobiliformis,165840,-100.3330002,23.6830006,,False,4,28.86,Equisetopsida,Caryophyllales,Cactaceae,1804,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=291c2cba007f787be4be0ece246a31d9,291c2cba007f787be4be0ece246a31d9,Si,aunque fuera del polígono dentro del Estado citado en Literatura
5,Pelecyphora strobiliformis,165840,-100.3447919,23.7055336,,False,4,28.86,Equisetopsida,Caryophyllales,Cactaceae,1782,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07a0ec0787a95efde5f1f00210f9fc3d,07a0ec0787a95efde5f1f00210f9fc3d,Si,aunque fuera del polígono dentro del Estado citado en Literatura
6,Pelecyphora strobiliformis,170700,-99.75,23.5672222,,False,4,52.71,Equisetopsida,Caryophyllales,Cactaceae,1820,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f78d98c77246aa0e7b0bd292cd8f088,3f78d98c77246aa0e7b0bd292cd8f088,Si,aunque fuera del polígono dentro del Estado citado en Literatura
7,Pelecyphora strobiliformis,170700,-99.75389,23.57639,,False,4,52.71,Equisetopsida,Caryophyllales,Cactaceae,1865,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5504238620cc988259b3d949bc75e127,5504238620cc988259b3d949bc75e127,Si,aunque fuera del polígono dentro del Estado citado en Literatura
8,Pelecyphora strobiliformis,156265,-101.3085616,24.0310952,,True,1,-45.12,Equisetopsida,Caryophyllales,Cactaceae,1985,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fa30faf2f439880859ee1b8863f03362,fa30faf2f439880859ee1b8863f03362,Si,aunque fuera polígono y fuera Estado Literatura en vegetación propicia para la especie
9,Pelecyphora strobiliformis,165818,-100.1433297,23.2812147,,True,2,-24.53,Equisetopsida,Caryophyllales,Cactaceae,1283,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b8e3cc8c693503a22bfa522ad4c035fd,b8e3cc8c693503a22bfa522ad4c035fd,Si,aunque fuera del polígono dentro del Estado citado en Literatura
10,Pelecyphora strobiliformis,165862,-100.2896749,23.7112241,,False,4,35.96,Equisetopsida,Caryophyllales,Cactaceae,1938,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3972381f6826908f30c7be3bc9bd0449,3972381f6826908f30c7be3bc9bd0449,Si,aunque fuera del polígono dentro del Estado citado en Literatura
11,Pelecyphora strobiliformis,165862,-100.3122344,23.6863202,,False,4,35.96,Equisetopsida,Caryophyllales,Cactaceae,1857,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a8785845fc710fe4e3c4544922cfb750,a8785845fc710fe4e3c4544922cfb750,Si,aunque fuera del polígono dentro del Estado citado en Literatura
12,Pelecyphora strobiliformis,156259,-101.3798594,24.0460733,,True,0,-63.93,Equisetopsida,Caryophyllales,Cactaceae,1977,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3792d2526e74b91c8d7cc2e326b9edca,3792d2526e74b91c8d7cc2e326b9edca,Si,aunque fuera polígono y fuera Estado Literatura en vegetación propicia para la especie
13,Pelecyphora strobiliformis,156259,-101.3888863,24.0140844,,True,0,-63.93,Equisetopsida,Caryophyllales,Cactaceae,2039,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=82c1ba1ddfd6f76c7f22065e71480d3f,82c1ba1ddfd6f76c7f22065e71480d3f,Si,aunque fuera polígono y fuera Estado Literatura en vegetación propicia para la especie
14,Pelecyphora strobiliformis,160926,-100.9927255,23.4110216,,False,3,-3.24,Equisetopsida,Caryophyllales,Cactaceae,1927,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=61d26fb7e588be94ee26282eadca79ef,61d26fb7e588be94ee26282eadca79ef,Si,aunque fuera del polígono dentro del Estado citado en Literatura
15,Pelecyphora strobiliformis,165861,-100.3115452,23.6399119,,False,4,38.5,Equisetopsida,Caryophyllales,Cactaceae,1879,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cfd9a5d6f99bcb90f20a5fa574f07681,cfd9a5d6f99bcb90f20a5fa574f07681,Si,aunque fuera del polígono dentro del Estado citado en Literatura
16,Pelecyphora strobiliformis,165873,-100.2703558,23.7292536,,False,3,15.79,Equisetopsida,Caryophyllales,Cactaceae,1959,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=81aaf056e13118951db02f374151fa07,81aaf056e13118951db02f374151fa07,Si,aunque fuera del polígono dentro del Estado citado en Literatura
17,Pelecyphora strobiliformis,160976,-100.9506172,23.6837266,,True,2,-25.3,Equisetopsida,Caryophyllales,Cactaceae,1950,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=247c9c37ee0a1705dea52c1db3a3f90b,247c9c37ee0a1705dea52c1db3a3f90b,Si,aunque fuera del polígono dentro del Estado citado en Literatura
18,Pelecyphora strobiliformis,170697,-99.8863055,23.4896019,,False,4,44.31,Equisetopsida,Caryophyllales,Cactaceae,1860,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dbc1edd5153c22ea9307a8267765079a,dbc1edd5153c22ea9307a8267765079a,Si,aunque fuera del polígono dentro del Estado citado en Literatura
19,Pelecyphora strobiliformis,156268,-101.2323186,24.0824108,,True,1,-45.06,Equisetopsida,Caryophyllales,Cactaceae,1953,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=80ff6a986f04496ab198c3abdb3e8f9e,80ff6a986f04496ab198c3abdb3e8f9e,Si,aunque fuera polígono y fuera Estado Literatura en vegetación propicia para la especie
20,Pelecyphora strobiliformis,165888,-100.0759186,23.9286486,,False,3,0.81,Equisetopsida,Caryophyllales,Cactaceae,1635,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7bf139e08d0d048266c8d30e3dd7db04,7bf139e08d0d048266c8d30e3dd7db04,Si,aunque fuera del polígono dentro del Estado citado en Literatura
