,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
16,Peniocereus striatus,69340,-112.4583333,28.9583333,,False,3,5.76,Equisetopsida,Caryophyllales,Cactaceae,254,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02e084ad6b8cdae65ab319cc2f6582f6,02e084ad6b8cdae65ab319cc2f6582f6,Si,No,NoDisponible,No,Si,,,,
59,Peniocereus striatus,64723,-113.1416667,28.375,,False,3,3.36,Equisetopsida,Caryophyllales,Cactaceae,681,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07ead8c046bcb10d08814e049142354f,07ead8c046bcb10d08814e049142354f,No,,NoDisponible,,,,,,
9,Peniocereus striatus,73619,-111.9916667,26.875,,False,3,7.64,Equisetopsida,Caryophyllales,Cactaceae,19,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ee3041c87af982fb6305890da455172,0ee3041c87af982fb6305890da455172,No,,NoDisponible,,,,,,
81,Peniocereus striatus,78389,-111.2067716,28.0425444,,False,3,6.24,Equisetopsida,Caryophyllales,Cactaceae,17,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0eea07aa213e6c4adf5ab983f6319906,0eea07aa213e6c4adf5ab983f6319906,No,,NoDisponible,,,,,,
4,Peniocereus striatus,86942,-110.198612,23.403381,,False,3,7.33,Equisetopsida,Caryophyllales,Cactaceae,20,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f11f745340f9a3d55913f0009e725cc,0f11f745340f9a3d55913f0009e725cc,No,,NoDisponible,,,,,,
61,Peniocereus striatus,73481,-111.928363,25.58335,,False,3,6.24,Equisetopsida,Caryophyllales,Cactaceae,23,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19688f4aa3a35947f8d626caf2850e15,19688f4aa3a35947f8d626caf2850e15,No,,NoDisponible,,,,,,
48,Peniocereus striatus,60110,-113.6801119,26.7808333,,True,1,-16.86,Equisetopsida,Caryophyllales,Cactaceae,7,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1995e90abf0a616f53fafa84efd10ec2,1995e90abf0a616f53fafa84efd10ec2,Si,No,NoDisponible,Si,Si,No,BufferCosteroMarinoContinental,,
63,Peniocereus striatus,78097,-111.52472,25.83333,,False,2,0.1,Equisetopsida,Caryophyllales,Cactaceae,392,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a5ad245920624a03b5e369894f0bed9,1a5ad245920624a03b5e369894f0bed9,No,,NoDisponible,,,,,,
57,Peniocereus striatus,64580,-113.1416667,27.175,,False,2,0.14,Equisetopsida,Caryophyllales,Cactaceae,14,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1fb167e3e173b9a31990d22b3b7c63fc,1fb167e3e173b9a31990d22b3b7c63fc,No,,NoDisponible,,,,,,
85,Peniocereus striatus,87073,-110.0727727,24.0419088,,True,1,-12.75,Equisetopsida,Caryophyllales,Cactaceae,514,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25108dff651a187082f8dc2e0fc83fe1,25108dff651a187082f8dc2e0fc83fe1,No,,NoDisponible,,,,,,
