,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
39,Pereskiopsis kellermanii,248314,-89.79694,21.14,,False,2,11.66,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0192058694d42294d8d855fd24e1c894,0192058694d42294d8d855fd24e1c894,Si,aunque fuera del polígono y fuera Esatdo citado en Literatura cerca del borde del polígono y en hábitat propio de la especie
22,Pereskiopsis kellermanii,199462,-96.275,16.675,,False,2,14.86,Equisetopsida,Caryophyllales,Cactaceae,1001,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0225f9eecc1182d92c70cbca2ef0dc62,0225f9eecc1182d92c70cbca2ef0dc62,No,
37,Pereskiopsis kellermanii,248188,-89.7305556,20.0833333,,False,2,13.05,Equisetopsida,Caryophyllales,Cactaceae,82,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0407fb100eafe3c0498b3ac04a30ddef,0407fb100eafe3c0498b3ac04a30ddef,No,
4,Pereskiopsis kellermanii,199351,-96.1694444,15.7527778,,False,3,22.81,Equisetopsida,Caryophyllales,Cactaceae,26,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06b3f03819d7489f2ee95ab44e1f170e,06b3f03819d7489f2ee95ab44e1f170e,No,
15,Pereskiopsis kellermanii,199440,-96.3127778,16.6730556,,False,2,15.05,Equisetopsida,Caryophyllales,Cactaceae,955,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=075db55d7b22772511c6ff34efc29046,075db55d7b22772511c6ff34efc29046,No,
41,Pereskiopsis kellermanii,252563,-89.5977778,21.0972222,,False,2,15.86,Equisetopsida,Caryophyllales,Cactaceae,3,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0877d4f48c77391bcc270a0a6581f006,0877d4f48c77391bcc270a0a6581f006,Si,aunque fuera del polígono muy cerca del borde queda dentro con margen de tolerancia
31,Pereskiopsis kellermanii,199698,-96.5475,19.0086111,,False,2,14.18,Equisetopsida,Caryophyllales,Cactaceae,229,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a58a0d26f3d274831a5b7cb5dd17c8f,0a58a0d26f3d274831a5b7cb5dd17c8f,Si,aunque fuera del polígono dentro del Estado citado en Literatura
44,Pereskiopsis kellermanii,208908,-95.18,17.08833,,False,1,6.2,Equisetopsida,Caryophyllales,Cactaceae,164,Terrestre,1912,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=142dbdc6dcdfcc2be9db1effae517d53,142dbdc6dcdfcc2be9db1effae517d53,Si,aunque fuera del polígono muy cerca del borde queda dentro con margen de tolerancia
40,Pereskiopsis kellermanii,208795,-95.2066667,16.1922222,,False,3,22.86,Equisetopsida,Caryophyllales,Cactaceae,66,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1603188f287753467137d70002e2bcfd,1603188f287753467137d70002e2bcfd,No,
23,Pereskiopsis kellermanii,208797,-95.2388889,16.3244444,,False,3,23.39,Equisetopsida,Caryophyllales,Cactaceae,41,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f28ebdf87e02bbc401b0828e0bb1de3,1f28ebdf87e02bbc401b0828e0bb1de3,No,
24,Pereskiopsis kellermanii,208797,-95.2388889,16.3327778,,False,3,23.39,Equisetopsida,Caryophyllales,Cactaceae,23,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f314c1b736ea0df297f1e76ecd9d112,2f314c1b736ea0df297f1e76ecd9d112,No,
42,Pereskiopsis kellermanii,252563,-89.5977778,21.0972222,,False,2,15.86,Equisetopsida,Caryophyllales,Cactaceae,3,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f51821286076929811ec5425b8596b7,2f51821286076929811ec5425b8596b7,Si,aunque fuera del polígono dentro del Estado citado en Literatura
38,Pereskiopsis kellermanii,208822,-95.125,16.3916667,,False,3,19.39,Equisetopsida,Caryophyllales,Cactaceae,22,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c914d872e794371b77bf535f6a8a2a7,3c914d872e794371b77bf535f6a8a2a7,No,
9,Pereskiopsis kellermanii,204125,-95.8236111,16.3461111,,False,4,25.34,Equisetopsida,Caryophyllales,Cactaceae,702,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4231e26dc3865824ff7b723a77e26233,4231e26dc3865824ff7b723a77e26233,No,
12,Pereskiopsis kellermanii,199357,-96.1302778,15.7541667,,False,3,21.45,Equisetopsida,Caryophyllales,Cactaceae,5,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4928276aee8ca7d0ebafe6b7255412ca,4928276aee8ca7d0ebafe6b7255412ca,No,
26,Pereskiopsis kellermanii,226637,-92.9919444,16.6294444,,False,3,18.51,Equisetopsida,Caryophyllales,Cactaceae,435,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4e2741cf6a74263596822bf3189b02f4,4e2741cf6a74263596822bf3189b02f4,No,
27,Pereskiopsis kellermanii,174944,-99.1802778,18.6147222,,False,2,11.57,Equisetopsida,Caryophyllales,Cactaceae,891,Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5d3525d9e452ee10f3fa34e28d8c2d89,5d3525d9e452ee10f3fa34e28d8c2d89,No,
19,Pereskiopsis kellermanii,204152,-95.6033333,16.3991667,,False,3,20.33,Equisetopsida,Caryophyllales,Cactaceae,189,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5d3de6296cce1f166d7f72bae69d80b0,5d3de6296cce1f166d7f72bae69d80b0,No,
46,Pereskiopsis kellermanii,199328,-96.3222222,15.8341667,,False,3,21.63,Equisetopsida,Caryophyllales,Cactaceae,226,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5ea2e22e27307de480711750ef8b1fbf,5ea2e22e27307de480711750ef8b1fbf,No,
29,Pereskiopsis kellermanii,204163,-95.9263889,16.5083333,,False,2,15.09,Equisetopsida,Caryophyllales,Cactaceae,896,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=60341d3515265cbfb4b3edbe83a1e65e,60341d3515265cbfb4b3edbe83a1e65e,No,
