,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
5,Pereskiopsis porteri,91477,-109.775,23.375,,False,2,14.93,Equisetopsida,Caryophyllales,Cactaceae,262,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014484a193a816bcb43f483b9d6f8696,014484a193a816bcb43f483b9d6f8696,No,,NoDisponible,,,,,,
12,Pereskiopsis porteri,91477,-109.775,23.375,,False,2,14.93,Equisetopsida,Caryophyllales,Cactaceae,262,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0230c0e63a32bcb0bf7516227d4ace9f,0230c0e63a32bcb0bf7516227d4ace9f,No,,NoDisponible,,,,,,
3,Pereskiopsis porteri,82465,-110.6083333,24.0083333,,False,2,2.76,Equisetopsida,Caryophyllales,Cactaceae,226,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06806af2839d3a754e63b05135ee3feb,06806af2839d3a754e63b05135ee3feb,No,,NoDisponible,,,,,,
10,Pereskiopsis porteri,91477,-109.7666667,23.3666667,,False,2,14.93,Equisetopsida,Caryophyllales,Cactaceae,205,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0838b3ca2304de29e4b67944b54e47eb,0838b3ca2304de29e4b67944b54e47eb,No,,NoDisponible,,,,,,
45,Pereskiopsis porteri,109587,-107.38444,24.79917,,False,2,12.73,Equisetopsida,Caryophyllales,Cactaceae,70,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b79b881035256fa22a386b24d445890,0b79b881035256fa22a386b24d445890,Si,No,NoDisponible,No,Si,,,,
0,Pereskiopsis porteri,87004,-110.1083333,23.8083333,,False,2,12.29,Equisetopsida,Caryophyllales,Cactaceae,482,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f6d5b7bdebfb9086e14d7136fe92c4b,0f6d5b7bdebfb9086e14d7136fe92c4b,No,,NoDisponible,,,,,,
47,Pereskiopsis porteri,91460,-109.70806,23.06139,,False,2,11.02,Equisetopsida,Caryophyllales,Cactaceae,43,Terrestre,1897,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1226a73de1ad111431772b5e57328e3d,1226a73de1ad111431772b5e57328e3d,No,,NoDisponible,,,,,,
57,Pereskiopsis porteri,91523,-109.725,23.4916667,,False,2,16.07,Equisetopsida,Caryophyllales,Cactaceae,157,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=140880577fee4879bdc40c5e534f8814,140880577fee4879bdc40c5e534f8814,No,,NoDisponible,,,,,,
46,Pereskiopsis porteri,109587,-107.38444,24.79917,,False,2,12.73,Equisetopsida,Caryophyllales,Cactaceae,70,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a6fc5de03481d0ba640f3bc891975fa,1a6fc5de03481d0ba640f3bc891975fa,Si,No,NoDisponible,No,Si,,,,
23,Pereskiopsis porteri,91904,-109.275,26.525,,False,2,15.51,Equisetopsida,Caryophyllales,Cactaceae,6,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=21b99f72596b35dcec0d0c6ea325c64a,21b99f72596b35dcec0d0c6ea325c64a,Si,No,NoDisponible,No,Si,,,,
13,Pereskiopsis porteri,92001,-109.5083333,27.1333333,,False,2,11.99,Equisetopsida,Caryophyllales,Cactaceae,41,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2a34d81028df663824002ee67ee4eaa4,2a34d81028df663824002ee67ee4eaa4,Si,No,NoDisponible,No,Si,,,,
