,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
100,Pilosocereus chrysacanthus,189793,-97.3867222,18.1306389,,False,2,48.46,Equisetopsida,Caryophyllales,Cactaceae,1807,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0057d86b9c6e18f8530fba646034f937,0057d86b9c6e18f8530fba646034f937,No,
2,Pilosocereus chrysacanthus,189776,-97.461,18.3178611,,False,2,38.12,Equisetopsida,Caryophyllales,Cactaceae,1561,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00da57438c03f8433fe0a17b68e08b2b,00da57438c03f8433fe0a17b68e08b2b,No,
54,Pilosocereus chrysacanthus,194755,-97.0563889,18.1575,,False,2,45.31,Equisetopsida,Caryophyllales,Cactaceae,1290,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03fa6e812a3346d7f7bdb6c3da154239,03fa6e812a3346d7f7bdb6c3da154239,No,
91,Pilosocereus chrysacanthus,189754,-97.2658333,17.9463889,,False,2,47.53,Equisetopsida,Caryophyllales,Cactaceae,1706,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0454de3a4907fefa149e9967587bad1b,0454de3a4907fefa149e9967587bad1b,No,
21,Pilosocereus chrysacanthus,189798,-97.4469722,18.3405833,,False,2,33.57,Equisetopsida,Caryophyllales,Cactaceae,1653,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=050e83aad0192adb180e97f6a565d510,050e83aad0192adb180e97f6a565d510,No,
52,Pilosocereus chrysacanthus,194755,-97.0558333,18.1180556,,False,2,45.31,Equisetopsida,Caryophyllales,Cactaceae,1299,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05c751ce536b5ee24f0f225b1fc7bdf5,05c751ce536b5ee24f0f225b1fc7bdf5,No,
64,Pilosocereus chrysacanthus,194701,-97.0041667,17.7230556,,False,2,43.06,Equisetopsida,Caryophyllales,Cactaceae,1231,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=066ede6ecb540a0928a94790e2dd78f7,066ede6ecb540a0928a94790e2dd78f7,No,
137,Pilosocereus chrysacanthus,194702,-96.9575,17.7575,,False,2,40.58,Equisetopsida,Caryophyllales,Cactaceae,635,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=068bb060dfbbc5feb4747860c3ef0f3b,068bb060dfbbc5feb4747860c3ef0f3b,No,
40,Pilosocereus chrysacanthus,189810,-97.43556,18.44917,,False,2,35.42,Equisetopsida,Caryophyllales,Cactaceae,1733,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0879b4ce31b4b876b4c3db7ecf6c6324,0879b4ce31b4b876b4c3db7ecf6c6324,No,
113,Pilosocereus chrysacanthus,194648,-97.0236111,17.5202778,,False,3,55.51,Equisetopsida,Caryophyllales,Cactaceae,1395,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a831c2935fb2ff6d82314be38f91f4c,0a831c2935fb2ff6d82314be38f91f4c,No,
118,Pilosocereus chrysacanthus,180011,-98.3416667,19.2133333,,False,1,17.69,Equisetopsida,Caryophyllales,Cactaceae,2209,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b6a73cbc698e40c1babb069913af033,0b6a73cbc698e40c1babb069913af033,No,
47,Pilosocereus chrysacanthus,184780,-98.0494444,18.2036111,,False,1,22.73,Equisetopsida,Caryophyllales,Cactaceae,1186,Terrestre,1943,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e79320a99d31bed4c83fbc356c51003,0e79320a99d31bed4c83fbc356c51003,No,
27,Pilosocereus chrysacanthus,189810,-97.3919444,18.4605556,,False,2,35.42,Equisetopsida,Caryophyllales,Cactaceae,1637,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10fb0ead0d3cafadf7220a25c0bfb401,10fb0ead0d3cafadf7220a25c0bfb401,No,
31,Pilosocereus chrysacanthus,189810,-97.3916667,18.4583333,,False,2,35.42,Equisetopsida,Caryophyllales,Cactaceae,1631,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11ee8c3178d9b8e10f09b7a4adbc0eee,11ee8c3178d9b8e10f09b7a4adbc0eee,No,
117,Pilosocereus chrysacanthus,194666,-96.7166667,17.0666667,,False,2,40.84,Equisetopsida,Caryophyllales,Cactaceae,1564,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=131d06c59af9d5cb761ae498e6c865b9,131d06c59af9d5cb761ae498e6c865b9,No,
98,Pilosocereus chrysacanthus,189774,-97.5255556,18.3052778,,False,2,34.4,Equisetopsida,Caryophyllales,Cactaceae,1544,Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=142345634c2cb2c3227e316464b7b085,142345634c2cb2c3227e316464b7b085,No,
32,Pilosocereus chrysacanthus,189810,-97.3916667,18.4583333,,False,2,35.42,Equisetopsida,Caryophyllales,Cactaceae,1631,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c6d454f104e1fde125fc7619897a52d,1c6d454f104e1fde125fc7619897a52d,No,
102,Pilosocereus chrysacanthus,194712,-97.0211944,18.0312778,,False,2,35.21,Equisetopsida,Caryophyllales,Cactaceae,1471,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e209cc4b0f185ab8a071496de6f2b2f,1e209cc4b0f185ab8a071496de6f2b2f,No,
30,Pilosocereus chrysacanthus,189810,-97.39278,18.46194,,False,2,35.42,Equisetopsida,Caryophyllales,Cactaceae,1645,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1eacf7c8ef2e768c7dad092a472fbf96,1eacf7c8ef2e768c7dad092a472fbf96,No,
86,Pilosocereus chrysacanthus,194714,-96.9555556,17.9172222,,False,2,43.84,Equisetopsida,Caryophyllales,Cactaceae,1108,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1fe88ab3523ec04d8e80ca1c6307084a,1fe88ab3523ec04d8e80ca1c6307084a,No,
145,Pilosocereus chrysacanthus,194678,-96.8388889,17.5091389,,False,1,29.04,Equisetopsida,Caryophyllales,Cactaceae,1020,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=222fe2d5dffcdbd1353b67e5fbc2b365,222fe2d5dffcdbd1353b67e5fbc2b365,No,
25,Pilosocereus chrysacanthus,184820,-97.9211111,18.4666667,,False,2,31.02,Equisetopsida,Caryophyllales,Cactaceae,1810,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=23124d2ade4b6397cc7539ae37a4f027,23124d2ade4b6397cc7539ae37a4f027,No,
76,Pilosocereus chrysacanthus,189807,-97.1991667,18.2833333,,False,1,10.81,Equisetopsida,Caryophyllales,Cactaceae,1037,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=23781f33d965d50474441a515859d308,23781f33d965d50474441a515859d308,No,
23,Pilosocereus chrysacanthus,189821,-97.2936111,18.5,,False,2,35.56,Equisetopsida,Caryophyllales,Cactaceae,1820,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=23815321fd01b121cc54104a89f3dd0e,23815321fd01b121cc54104a89f3dd0e,No,
87,Pilosocereus chrysacanthus,194714,-96.956,17.9184444,,False,2,43.84,Equisetopsida,Caryophyllales,Cactaceae,1053,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=23ae2d0725bad406c918996b2a38a6ce,23ae2d0725bad406c918996b2a38a6ce,No,
103,Pilosocereus chrysacanthus,194712,-97.0246667,18.0288333,,False,2,35.21,Equisetopsida,Caryophyllales,Cactaceae,1253,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=276df1a6ffdbe4b7dfa6a223ddc78467,276df1a6ffdbe4b7dfa6a223ddc78467,No,
68,Pilosocereus chrysacanthus,194715,-96.9266667,17.8444444,,False,2,48.14,Equisetopsida,Caryophyllales,Cactaceae,1281,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=292eb24daec8f2772de85f1d610d5fc4,292eb24daec8f2772de85f1d610d5fc4,No,
85,Pilosocereus chrysacanthus,194714,-96.9552778,17.9169444,,False,2,43.84,Equisetopsida,Caryophyllales,Cactaceae,1105,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=29fa2eefd54f8c77dda725058a352fb3,29fa2eefd54f8c77dda725058a352fb3,No,
62,Pilosocereus chrysacanthus,194701,-96.9775,17.7466667,,False,2,43.06,Equisetopsida,Caryophyllales,Cactaceae,757,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e51be54658066285a21515e55eb0efd,2e51be54658066285a21515e55eb0efd,No,
26,Pilosocereus chrysacanthus,184820,-97.92111,18.46944,,False,2,31.02,Equisetopsida,Caryophyllales,Cactaceae,1800,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=310d32aad85ce82ad07c78a8dd784853,310d32aad85ce82ad07c78a8dd784853,No,
129,Pilosocereus chrysacanthus,100913,-108.365,26.3883333,,False,0,-2.04,Equisetopsida,Caryophyllales,Cactaceae,290,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=314f52d2a7edadb5eaca8c209f320096,314f52d2a7edadb5eaca8c209f320096,Si,debe marcarse fuera del polígono y del Estado citado en Literatura
89,Pilosocereus chrysacanthus,194716,-96.9380556,17.9222222,,False,2,41.47,Equisetopsida,Caryophyllales,Cactaceae,1301,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=31676f7ad3a79a871192a8780b62daee,31676f7ad3a79a871192a8780b62daee,No,
63,Pilosocereus chrysacanthus,194701,-96.9886944,17.7297778,,False,2,43.06,Equisetopsida,Caryophyllales,Cactaceae,930,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=33a71da58a1377b9f02f7b9444765bf4,33a71da58a1377b9f02f7b9444765bf4,No,
134,Pilosocereus chrysacanthus,189762,-97.6823889,18.1792667,,False,2,35.4,Equisetopsida,Caryophyllales,Cactaceae,1730,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=33c2501c8d9e14941177eedcf7f7991c,33c2501c8d9e14941177eedcf7f7991c,No,
108,Pilosocereus chrysacanthus,189820,-97.195317,18.491965,,False,2,39.19,Equisetopsida,Caryophyllales,Cactaceae,2068,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=35b96d3b6e832f762e3ae4facfed775a,35b96d3b6e832f762e3ae4facfed775a,No,
41,Pilosocereus chrysacanthus,189810,-97.39278,18.46194,,False,2,35.42,Equisetopsida,Caryophyllales,Cactaceae,1645,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3617318e613e8744bbc012cb921bcc5f,3617318e613e8744bbc012cb921bcc5f,No,
38,Pilosocereus chrysacanthus,189810,-97.3913889,18.4594444,,False,2,35.42,Equisetopsida,Caryophyllales,Cactaceae,1630,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=38a815e20c0e5f98de15bbc22c9979e7,38a815e20c0e5f98de15bbc22c9979e7,No,
109,Pilosocereus chrysacanthus,105397,-107.73944,27.02667,,False,0,8.12,Equisetopsida,Caryophyllales,Cactaceae,578,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ba56bcd3a6834057b85470f33198247,3ba56bcd3a6834057b85470f33198247,Si,debe marcarse fuera del polígono y del Estado citado en Literatura
