,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
7,Pilosocereus cometes,175253,-99.4571302,21.2329363,,False,3,42.37,Equisetopsida,Caryophyllales,Cactaceae,1180,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fccfe81053a2039fd19d8d12b7594f4,0fccfe81053a2039fd19d8d12b7594f4,No,NoDisponible,NoDisponible,,,,,,
10,Pilosocereus cometes,175303,-99.3197222,21.4766667,,False,4,51.01,Equisetopsida,Caryophyllales,Cactaceae,1123,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37f12cafb01b93989fc404865d5d4cf2,37f12cafb01b93989fc404865d5d4cf2,No,NoDisponible,NoDisponible,,,,,,
2,Pilosocereus cometes,170473,-99.58138,21.39725,,False,5,58.72,Equisetopsida,Caryophyllales,Cactaceae,518,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=55c6dd8faa6b5d2275f2b5c6fee4c9cc,55c6dd8faa6b5d2275f2b5c6fee4c9cc,No,NoDisponible,NoDisponible,,,,,,
0,Pilosocereus cometes,170470,-99.6883333,21.5466667,,False,1,29.17,Equisetopsida,Caryophyllales,Cactaceae,997,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6c8f7dc354ae22da22e3453357bac52b,6c8f7dc354ae22da22e3453357bac52b,No,NoDisponible,NoDisponible,,,,,,
9,Pilosocereus cometes,170468,-99.6333333,21.4466667,,False,5,57.22,Equisetopsida,Caryophyllales,Cactaceae,564,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=73ea30eab1248cb8c1419203d73b5dd1,73ea30eab1248cb8c1419203d73b5dd1,No,NoDisponible,NoDisponible,,,,,,
3,Pilosocereus cometes,170473,-99.58138,21.39725,,False,5,58.72,Equisetopsida,Caryophyllales,Cactaceae,518,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=801d4d476461966c2e7981189a62952c,801d4d476461966c2e7981189a62952c,No,NoDisponible,NoDisponible,,,,,,
8,Pilosocereus cometes,175300,-99.3536075,21.4297913,,False,2,36.86,Equisetopsida,Caryophyllales,Cactaceae,599,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9814e03ffe053ee8db731128db021927,9814e03ffe053ee8db731128db021927,No,NoDisponible,NoDisponible,,,,,,
1,Pilosocereus cometes,175486,-98.9811111,22.9030556,,False,0,23,Equisetopsida,Caryophyllales,Cactaceae,66,Terrestre,1958,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=98c0e59f329afafc7e50dce8f10f1e1f,98c0e59f329afafc7e50dce8f10f1e1f,Si,NoDisponible,NoDisponible,No,No,,,,
4,Pilosocereus cometes,194919,-96.765,19.3358333,,False,2,35.88,Equisetopsida,Caryophyllales,Cactaceae,434,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9d058e0a6917bd6e664baf95a93815ee,9d058e0a6917bd6e664baf95a93815ee,Si,NoDisponible,NoDisponible,No,No,,,,
5,Pilosocereus cometes,170475,-99.4647152,21.3807708,,False,4,49.6,Equisetopsida,Caryophyllales,Cactaceae,1461,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a40b40731b2cfb625c62248d7a55cd69,a40b40731b2cfb625c62248d7a55cd69,No,NoDisponible,NoDisponible,,,,,,
6,Pilosocereus cometes,170432,-99.5104475,21.3322802,,False,5,57,Equisetopsida,Caryophyllales,Cactaceae,834,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a528687e754a2dc2be76a6b0d90fc1df,a528687e754a2dc2be76a6b0d90fc1df,No,NoDisponible,NoDisponible,,,,,,
