,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
9,Pilosocereus gaumeri,252566,-89.65,21.2844444,,False,2,20.82,Equisetopsida,Caryophyllales,Cactaceae,15,Terrestre,1918,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=022800e794218074abb059c3bfe03537,022800e794218074abb059c3bfe03537,No,,NoDisponible,,,,,,
37,Pilosocereus gaumeri,252550,-89.6387488,21.0290186,,False,3,24.66,Equisetopsida,Caryophyllales,Cactaceae,19,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=092844b1469a2726d10b1f14ca42b613,092844b1469a2726d10b1f14ca42b613,No,,NoDisponible,,,,,,
50,Pilosocereus gaumeri,261328,-88.2516667,21.545,,False,2,22.97,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1905a8e145cea5ad75a546e9e6156948,1905a8e145cea5ad75a546e9e6156948,No,,NoDisponible,,,,,,
42,Pilosocereus gaumeri,252485,-89.6291667,20.4388889,,False,2,16.59,Equisetopsida,Caryophyllales,Cactaceae,30,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a565a5106d93ae1ee6c8a34a4521829,1a565a5106d93ae1ee6c8a34a4521829,No,,NoDisponible,,,,,,
25,Pilosocereus gaumeri,252598,-89.3291667,21.2916667,,False,3,28.64,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f1a393eb93f653d721721831111f496,1f1a393eb93f653d721721831111f496,No,,NoDisponible,,,,,,
34,Pilosocereus gaumeri,248257,-90.2027778,20.8555556,,False,2,19.82,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=26136b5d7a64069952ff7692ef31b934,26136b5d7a64069952ff7692ef31b934,No,,NoDisponible,,,,,,
45,Pilosocereus gaumeri,248314,-89.7972222,21.1388889,,False,3,25,Equisetopsida,Caryophyllales,Cactaceae,5,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=275a2e09cd298dfa28db5ff7021fa5b3,275a2e09cd298dfa28db5ff7021fa5b3,No,,NoDisponible,,,,,,
48,Pilosocereus gaumeri,248293,-89.9692538,20.9742819,,False,3,24.76,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e8dd10e1db977b8df0082902ef3f04d,2e8dd10e1db977b8df0082902ef3f04d,No,,NoDisponible,,,,,,
24,Pilosocereus gaumeri,252598,-89.3333333,21.3069444,,False,3,28.64,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3297af3632548a9362d1440af3073947,3297af3632548a9362d1440af3073947,No,,NoDisponible,,,,,,
6,Pilosocereus gaumeri,194642,-97.1333333,17.4,,True,0,-25.36,Equisetopsida,Caryophyllales,Cactaceae,2028,Terrestre,1918,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=371a33c91c4c12341b79c5c36c710a2b,371a33c91c4c12341b79c5c36c710a2b,Si,No,NoDisponible,No,No,,,,
2,Pilosocereus gaumeri,261352,-88.1694444,21.5694444,,False,3,27.89,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4479fb22f07f45e01d19823d41813992,4479fb22f07f45e01d19823d41813992,No,,NoDisponible,,,,,,
16,Pilosocereus gaumeri,248294,-89.9333333,21.0597222,,False,3,27.44,Equisetopsida,Caryophyllales,Cactaceae,20,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4746c4933a43a3689d816260dce58e6d,4746c4933a43a3689d816260dce58e6d,No,,NoDisponible,,,,,,
19,Pilosocereus gaumeri,256805,-88.7686,19.9017,,False,2,20.16,Equisetopsida,Caryophyllales,Cactaceae,-19,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=483705a8942a5e35eef94b60574de7d0,483705a8942a5e35eef94b60574de7d0,No,,NoDisponible,,,,,,
38,Pilosocereus gaumeri,261202,-88.5347222,20.6583333,,False,2,15.19,Equisetopsida,Caryophyllales,Cactaceae,32,Terrestre,1989,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=49748905462cb1156d5bc280a3354743,49748905462cb1156d5bc280a3354743,No,,NoDisponible,,,,,,
47,Pilosocereus gaumeri,252576,-89.4497222,21.3216666,,False,3,25.33,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=51f3ead170150749724e184c11c78016,51f3ead170150749724e184c11c78016,No,,NoDisponible,,,,,,
43,Pilosocereus gaumeri,248304,-89.6944444,21.0583333,,False,3,26,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5632f757828b475c16e7707f0cf57dda,5632f757828b475c16e7707f0cf57dda,No,,NoDisponible,,,,,,
13,Pilosocereus gaumeri,261350,-88.2166667,21.5527778,,False,3,29.49,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=68ab5a6f1713c8c3b1dedf3b319826c8,68ab5a6f1713c8c3b1dedf3b319826c8,No,,NoDisponible,,,,,,
35,Pilosocereus gaumeri,252491,-89.4236111,20.2875,,False,2,18.05,Equisetopsida,Caryophyllales,Cactaceae,88,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=75706e52abbc3ea114804aaf9b47d383,75706e52abbc3ea114804aaf9b47d383,No,,NoDisponible,,,,,,
5,Pilosocereus gaumeri,248136,-90.1638889,19.9277778,,False,2,22.33,Equisetopsida,Caryophyllales,Cactaceae,35,Terrestre,1997,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=796845a28bbec54296705abb43ad7897,796845a28bbec54296705abb43ad7897,No,,NoDisponible,,,,,,
31,Pilosocereus gaumeri,252444,-89.46,20.1022222,,False,2,15.56,Equisetopsida,Caryophyllales,Cactaceae,103,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7be6daf171c999f06408201e4643843f,7be6daf171c999f06408201e4643843f,No,,NoDisponible,,,,,,
