,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
30,Pilosocereus leucocephalus,230771,-92.1541667,15.6636111,,False,1,14.74,Equisetopsida,Caryophyllales,Cactaceae,634,Terrestre,1971,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=036c3bbb7fc3cda32360437be42cfbbe,036c3bbb7fc3cda32360437be42cfbbe,No,,NoDisponible,,,,,,
66,Pilosocereus leucocephalus,180306,-98.8702027,22.2390922,,False,1,13.73,Equisetopsida,Caryophyllales,Cactaceae,82,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=046353f5ab631569afe18140af174505,046353f5ab631569afe18140af174505,No,,NoDisponible,,,,,,
62,Pilosocereus leucocephalus,199770,-96.4188889,19.5413889,,False,2,19.68,Equisetopsida,Caryophyllales,Cactaceae,145,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=048be5d79e40c79860dad2742e3db488,048be5d79e40c79860dad2742e3db488,No,,NoDisponible,,,,,,
82,Pilosocereus leucocephalus,180446,-98.7416667,23.4083333,,False,1,14.26,Equisetopsida,Caryophyllales,Cactaceae,254,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05d18d8bd3008a217c74a7423e2fcc40,05d18d8bd3008a217c74a7423e2fcc40,No,,NoDisponible,,,,,,
48,Pilosocereus leucocephalus,194925,-96.6667,19.3333,,False,2,27.33,Equisetopsida,Caryophyllales,Cactaceae,463,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05dd930b2ef9080e7fe955fb1712fb0a,05dd930b2ef9080e7fe955fb1712fb0a,No,,NoDisponible,,,,,,
14,Pilosocereus leucocephalus,194932,-96.7916667,19.575,,False,2,20.88,Equisetopsida,Caryophyllales,Cactaceae,711,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=069a0798bfb6f734b3c0848a284f1546,069a0798bfb6f734b3c0848a284f1546,No,,NoDisponible,,,,,,
20,Pilosocereus leucocephalus,199764,-96.4805556,19.5308333,,False,2,26.47,Equisetopsida,Caryophyllales,Cactaceae,310,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a0b4ee1912dc87e3882e956c78cbfce,0a0b4ee1912dc87e3882e956c78cbfce,No,,NoDisponible,,,,,,
5,Pilosocereus leucocephalus,175601,-99.13,23.7361111,,False,1,10.8,Equisetopsida,Caryophyllales,Cactaceae,306,Terrestre,1907,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b8e3646f8b6ff35fbc5ebc1059b6cce,0b8e3646f8b6ff35fbc5ebc1059b6cce,No,,NoDisponible,,,,,,
34,Pilosocereus leucocephalus,96501,-108.925,27.025,,False,1,2.57,Equisetopsida,Caryophyllales,Cactaceae,376,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d455aedb45a2643a640c55715558871,0d455aedb45a2643a640c55715558871,Si,No,NoDisponible,No,Si,,,,
88,Pilosocereus leucocephalus,180438,-98.825,23.425,,False,1,14.74,Equisetopsida,Caryophyllales,Cactaceae,203,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11c0e3d22765e978c9440274410f9f06,11c0e3d22765e978c9440274410f9f06,No,,NoDisponible,,,,,,
