,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
31,Pterocereus gaumeri,252600,-89.2652778,21.2777778,,False,2,26.84,Equisetopsida,Caryophyllales,Cactaceae,13,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01d4ff91b101410ff00609058e389da7,01d4ff91b101410ff00609058e389da7,No,NoDisponible,NoDisponible,,,,,,
79,Pterocereus gaumeri,252445,-89.5416667,20.175,,False,2,19.76,Equisetopsida,Caryophyllales,Cactaceae,91,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05ed80ae0b990adc4afce480da66aeec,05ed80ae0b990adc4afce480da66aeec,No,NoDisponible,NoDisponible,,,,,,
9,Pterocereus gaumeri,252566,-89.675,21.275,,False,2,21.49,Equisetopsida,Caryophyllales,Cactaceae,7,Terrestre,1918,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0883313aed585dd72fccaad20afbdcce,0883313aed585dd72fccaad20afbdcce,No,NoDisponible,NoDisponible,,,,,,
72,Pterocereus gaumeri,248314,-89.7972222,21.1388889,,False,2,22.49,Equisetopsida,Caryophyllales,Cactaceae,5,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b22d145625e9f8d639a94e61e514d22,0b22d145625e9f8d639a94e61e514d22,No,NoDisponible,NoDisponible,,,,,,
0,Pterocereus gaumeri,256846,-88.9166667,20.4927778,,False,2,19.15,Equisetopsida,Caryophyllales,Cactaceae,33,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f5a63914e7b5e2f853045b2c40a5876,0f5a63914e7b5e2f853045b2c40a5876,No,NoDisponible,NoDisponible,,,,,,
25,Pterocereus gaumeri,256971,-88.8955556,21.3919444,,False,2,29.96,Equisetopsida,Caryophyllales,Cactaceae,13,Terrestre,1895,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=100254272812bc6b573e519d3d6154c9,100254272812bc6b573e519d3d6154c9,No,NoDisponible,NoDisponible,,,,,,
15,Pterocereus gaumeri,261350,-88.2,21.55,,False,2,30.22,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1171ef9e98f63349edf2da7b0b844c05,1171ef9e98f63349edf2da7b0b844c05,No,NoDisponible,NoDisponible,,,,,,
45,Pterocereus gaumeri,261349,-88.24,21.52,,False,2,27.69,Equisetopsida,Caryophyllales,Cactaceae,5,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=131f040bcc60f06c48af630ec99ea9cd,131f040bcc60f06c48af630ec99ea9cd,No,NoDisponible,NoDisponible,,,,,,
18,Pterocereus gaumeri,261350,-88.2,21.5527778,,False,2,30.22,Equisetopsida,Caryophyllales,Cactaceae,7,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13bcaa415731febe5718e0b0877b8abd,13bcaa415731febe5718e0b0877b8abd,No,NoDisponible,NoDisponible,,,,,,
76,Pterocereus gaumeri,256900,-89.01778,20.93139,,False,2,18.59,Equisetopsida,Caryophyllales,Cactaceae,22,Terrestre,1922,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=175a0af32edbb9c003edb1d168dfd49a,175a0af32edbb9c003edb1d168dfd49a,No,NoDisponible,NoDisponible,,,,,,
65,Pterocereus gaumeri,252599,-89.3180556,21.2666667,,False,2,23.77,Equisetopsida,Caryophyllales,Cactaceae,15,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19213e09dab0432771e59b4166c08483,19213e09dab0432771e59b4166c08483,No,NoDisponible,NoDisponible,,,,,,
43,Pterocereus gaumeri,248298,-89.8,20.87,,False,2,16.27,Equisetopsida,Caryophyllales,Cactaceae,15,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cd3a0ef6ab02ed0603dc4e579e5cf77,1cd3a0ef6ab02ed0603dc4e579e5cf77,No,NoDisponible,NoDisponible,,,,,,
1,Pterocereus gaumeri,256846,-88.925,20.5083333,,False,2,19.15,Equisetopsida,Caryophyllales,Cactaceae,24,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1fede2afc66df53ad8205be90331cf9c,1fede2afc66df53ad8205be90331cf9c,No,NoDisponible,NoDisponible,,,,,,
14,Pterocereus gaumeri,261350,-88.2083333,21.5583333,,False,2,30.22,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=210b9e8894ebfb4c1b6b7a6dd501e099,210b9e8894ebfb4c1b6b7a6dd501e099,No,NoDisponible,NoDisponible,,,,,,
7,Pterocereus gaumeri,222524,-93.1713888,16.8,,False,1,-13.39,Equisetopsida,Caryophyllales,Cactaceae,857,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=22f5f1bc8ee1a76b8073e102421119c8,22f5f1bc8ee1a76b8073e102421119c8,No,NoDisponible,NoDisponible,,,,,,
