,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
4,Selenicereus boeckmannii,222631,-93.3347222,17.7197222,,False,3,28.44,Equisetopsida,Caryophyllales,Cactaceae,52,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=134b16b055697b811fc6208f201de46c,134b16b055697b811fc6208f201de46c,No,,NoDisponible,,,,,,
14,Selenicereus boeckmannii,231046,-92.5507778,18.3594167,,False,3,21.01,Equisetopsida,Caryophyllales,Cactaceae,7,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17e7400ce21a056149302c1255b6cc79,17e7400ce21a056149302c1255b6cc79,No,,NoDisponible,,,,,,
7,Selenicereus boeckmannii,248257,-90.2375,20.8580556,,False,2,11.03,Equisetopsida,Caryophyllales,Cactaceae,13,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2738f6070f6983a7eee144e6d7fc0a19,2738f6070f6983a7eee144e6d7fc0a19,Si,No,NoDisponible,No,No,,,,
8,Selenicereus boeckmannii,175375,-99.22333,22.00806,,False,2,10.91,Equisetopsida,Caryophyllales,Cactaceae,333,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=38730424ac26911bdd9663232aeeecaf,38730424ac26911bdd9663232aeeecaf,No,,NoDisponible,,,,,,
13,Selenicereus boeckmannii,194913,-96.850728,19.211601,,False,2,12.78,Equisetopsida,Caryophyllales,Cactaceae,941,Terrestre,1907,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=46b1bd81b073e49bd4c479867e36e749,46b1bd81b073e49bd4c479867e36e749,No,,NoDisponible,,,,,,
16,Selenicereus boeckmannii,175503,-99.2083333,23.075,,False,1,-1.29,Equisetopsida,Caryophyllales,Cactaceae,1265,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=48797da0fc6da99da2fd8ca277d7b372,48797da0fc6da99da2fd8ca277d7b372,No,,NoDisponible,,,,,,
9,Selenicereus boeckmannii,175375,-99.22333,22.00806,,False,2,10.91,Equisetopsida,Caryophyllales,Cactaceae,333,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a11eb21cab175d2c48acc3fd7553c28,4a11eb21cab175d2c48acc3fd7553c28,No,,NoDisponible,,,,,,
5,Selenicereus boeckmannii,194925,-96.6667,19.3333,,True,0,-17.34,Equisetopsida,Caryophyllales,Cactaceae,463,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5750ea019a0f885dde5a741500d27f27,5750ea019a0f885dde5a741500d27f27,No,,NoDisponible,,,,,,
6,Selenicereus boeckmannii,194925,-96.6667,19.3333,,True,0,-17.34,Equisetopsida,Caryophyllales,Cactaceae,463,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6e6ff41294e3e0f9347fbf27082ad481,6e6ff41294e3e0f9347fbf27082ad481,No,,NoDisponible,,,,,,
3,Selenicereus boeckmannii,226778,-92.9905556,17.9280556,,False,3,25.89,Equisetopsida,Caryophyllales,Cactaceae,14,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8f869d101b2aacf104733cb5abf08b48,8f869d101b2aacf104733cb5abf08b48,No,,NoDisponible,,,,,,
2,Selenicereus boeckmannii,230997,-92.5480556,17.9527778,,False,3,25.26,Equisetopsida,Caryophyllales,Cactaceae,5,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a87318129b07bec4b43fc85d16c5b938,a87318129b07bec4b43fc85d16c5b938,No,,NoDisponible,,,,,,
10,Selenicereus boeckmannii,175375,-99.22333,22.00806,,False,2,10.91,Equisetopsida,Caryophyllales,Cactaceae,333,Terrestre,1907,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c970b3ea679a1fe84222bdeaaf28387a,c970b3ea679a1fe84222bdeaaf28387a,No,,NoDisponible,,,,,,
0,Selenicereus boeckmannii,141234,-103.13583,18.43167,,False,1,3.32,Equisetopsida,Caryophyllales,Cactaceae,816,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d45a26419ecd805c3d3ed17bc4c7cb26,d45a26419ecd805c3d3ed17bc4c7cb26,Si,No,NoDisponible,No,No,,,,
11,Selenicereus boeckmannii,175375,-99.22333,22.00806,,False,2,10.91,Equisetopsida,Caryophyllales,Cactaceae,333,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d5e73a4e7eeb6a8eb18d4dc8700504f8,d5e73a4e7eeb6a8eb18d4dc8700504f8,No,,NoDisponible,,,,,,
1,Selenicereus boeckmannii,226781,-92.925,17.9916667,,False,3,25.99,Equisetopsida,Caryophyllales,Cactaceae,15,Terrestre,1987,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dd82d92ef89fcaf4a9b614e9d2196e68,dd82d92ef89fcaf4a9b614e9d2196e68,No,,NoDisponible,,,,,,
12,Selenicereus boeckmannii,175375,-99.22333,22.00806,,False,2,10.91,Equisetopsida,Caryophyllales,Cactaceae,333,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f7a16a3235b1a4915db2293dfdf8dede,f7a16a3235b1a4915db2293dfdf8dede,No,,NoDisponible,,,,,,
15,Selenicereus boeckmannii,226873,-92.6413889,18.3658333,,False,3,23.75,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fcdca672a0679d84ba27907061be6680,fcdca672a0679d84ba27907061be6680,No,,NoDisponible,,,,,,
