,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
6,Selenicereus hamatus,170217,-99.5611,19.2008,,False,2,13.28,Equisetopsida,Caryophyllales,Cactaceae,2593,Terrestre,1896,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4613d196bee82188136f17b3e3643717,4613d196bee82188136f17b3e3643717,Si,No,NoDisponible,No,No,,,,
7,Selenicereus hamatus,170217,-99.5611,19.2008,,False,2,13.28,Equisetopsida,Caryophyllales,Cactaceae,2593,Terrestre,1896,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=62f4d0be3715850bd2139eb67479aada,62f4d0be3715850bd2139eb67479aada,Si,No,NoDisponible,No,No,,,,
2,Selenicereus hamatus,194824,-97.0583333,18.8583333,,False,3,29.61,Equisetopsida,Caryophyllales,Cactaceae,1131,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6a5ec47e32b9effb5e8275c52692477b,6a5ec47e32b9effb5e8275c52692477b,No,,NoDisponible,,,,,,
0,Selenicereus hamatus,194908,-96.9275,19.54,,False,3,34.44,Equisetopsida,Caryophyllales,Cactaceae,1471,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=78293378effd036d571d49edfc9ba1b2,78293378effd036d571d49edfc9ba1b2,No,,NoDisponible,,,,,,
3,Selenicereus hamatus,194824,-97.0854427,18.8670438,,False,3,29.61,Equisetopsida,Caryophyllales,Cactaceae,1514,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7d2885c9ffb05bcba0e5b071c72492c7,7d2885c9ffb05bcba0e5b071c72492c7,No,,NoDisponible,,,,,,
8,Selenicereus hamatus,170217,-99.5611,19.2008,,False,2,13.28,Equisetopsida,Caryophyllales,Cactaceae,2593,Terrestre,1896,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=89f60baa4946d1d2f64fa684bcdab4db,89f60baa4946d1d2f64fa684bcdab4db,Si,No,NoDisponible,No,No,,,,
5,Selenicereus hamatus,151330,-102,23,,True,0,-106.95,Equisetopsida,Caryophyllales,Cactaceae,2062,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9c78e0198791149877afe5cfb1a4ef0c,9c78e0198791149877afe5cfb1a4ef0c,Si,No,NoDisponible,No,No,,,,
9,Selenicereus hamatus,175078,-99.1305256,19.4316583,,True,1,-80.55,Equisetopsida,Caryophyllales,Cactaceae,2237,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9fc3f0119e7d86e738996851158ab51c,9fc3f0119e7d86e738996851158ab51c,Si,No,NoDisponible,No,No,,,,
1,Selenicereus hamatus,194908,-96.8791667,19.5647222,,False,3,34.44,Equisetopsida,Caryophyllales,Cactaceae,1295,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cd4378c155e263ec4d048589d1a3fad3,cd4378c155e263ec4d048589d1a3fad3,No,,NoDisponible,,,,,,
10,Selenicereus hamatus,165456,-100.375,20.5083333,,True,1,-73.9,Equisetopsida,Caryophyllales,Cactaceae,2004,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d7293c3aed94a67d62175a35510b4596,d7293c3aed94a67d62175a35510b4596,Si,No,NoDisponible,No,No,,,,
11,Selenicereus hamatus,194822,-97.105,18.8483333,,False,4,51.49,Equisetopsida,Caryophyllales,Cactaceae,1246,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dbeb032cdb2f7882998c999a3532d7de,dbeb032cdb2f7882998c999a3532d7de,No,,NoDisponible,,,,,,
4,Selenicereus hamatus,194911,-96.9416667,19.6416667,,False,4,40.56,Equisetopsida,Caryophyllales,Cactaceae,1395,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fb00e00586a9906b6372e1f52b3eb2f4,fb00e00586a9906b6372e1f52b3eb2f4,No,,NoDisponible,,,,,,
