,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
6,Selenicereus pteranthus,252239,-89.4388889,18.25,,False,1,12.3,Equisetopsida,Caryophyllales,Cactaceae,269,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01badd4578438a46f188edaf10970260,01badd4578438a46f188edaf10970260,Si,No,NoDisponible,No,Si,,,,
1,Selenicereus pteranthus,175375,-99.2233333,22.0080556,,False,1,11.4,Equisetopsida,Caryophyllales,Cactaceae,333,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01db94d69de9c214cb3bc00eee404f70,01db94d69de9c214cb3bc00eee404f70,No,,NoDisponible,,,,,,
11,Selenicereus pteranthus,222645,-93.37556,18,,False,2,14.25,Equisetopsida,Caryophyllales,Cactaceae,20,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=317e2ecbd4882aedcf4c494b1099cd54,317e2ecbd4882aedcf4c494b1099cd54,No,,NoDisponible,,,,,,
2,Selenicereus pteranthus,175375,-99.2233333,22.0080556,,False,1,11.4,Equisetopsida,Caryophyllales,Cactaceae,333,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3469c1277e68736f191077353155fe83,3469c1277e68736f191077353155fe83,No,,NoDisponible,,,,,,
0,Selenicereus pteranthus,160793,-100.9761111,22.1511111,,True,0,-15.09,Equisetopsida,Caryophyllales,Cactaceae,1881,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3b635ab935e51624c97be0a23accad6f,3b635ab935e51624c97be0a23accad6f,No,,NoDisponible,,,,,,
3,Selenicereus pteranthus,175375,-99.2233333,22.0080556,,False,1,11.4,Equisetopsida,Caryophyllales,Cactaceae,333,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=50e00eaa930c1f18ccb8be78ecb73e6c,50e00eaa930c1f18ccb8be78ecb73e6c,No,,NoDisponible,,,,,,
9,Selenicereus pteranthus,239538,-91.0908056,19.0252778,,False,1,11,Equisetopsida,Caryophyllales,Cactaceae,21,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=870e3f9094442943aecac2bd8a597f00,870e3f9094442943aecac2bd8a597f00,Si,No,NoDisponible,No,Si,,,,
5,Selenicereus pteranthus,190043,-97.4538889,20.535,,False,1,12.7,Equisetopsida,Caryophyllales,Cactaceae,53,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8fdd523169a969d23deebd23db4829a3,8fdd523169a969d23deebd23db4829a3,No,,NoDisponible,,,,,,
7,Selenicereus pteranthus,252239,-89.4536111,18.2297222,,False,1,12.3,Equisetopsida,Caryophyllales,Cactaceae,237,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b90ce627ce5add7414248be47eec11e5,b90ce627ce5add7414248be47eec11e5,Si,,NoDisponible,,,,,,
12,Selenicereus pteranthus,252237,-89.4730556,18.2302778,,False,1,11.79,Equisetopsida,Caryophyllales,Cactaceae,264,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d8978807aa7355d2de4fdf0b2b7181a7,d8978807aa7355d2de4fdf0b2b7181a7,Si,No,NoDisponible,No,Si,,,,
10,Selenicereus pteranthus,235286,-91.9763333,18.6178333,,False,2,16.64,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ecb12125e02ad0701dc29ffa7c494773,ecb12125e02ad0701dc29ffa7c494773,Si,No,NoDisponible,Si,Si,,,,
4,Selenicereus pteranthus,175375,-99.22333,22.00806,,False,1,11.4,Equisetopsida,Caryophyllales,Cactaceae,333,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=eef391d408c0e605bdde472f74850815,eef391d408c0e605bdde472f74850815,No,,NoDisponible,,,,,,
8,Selenicereus pteranthus,239538,-91.0974722,19.0178056,,False,1,11,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f788cef32864d6780d82a2fcb5196930,f788cef32864d6780d82a2fcb5196930,Si,No,NoDisponible,No,Si,,,,
