,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
8,Selenicereus vagans,226718,-92.95,17.54,,False,2,23.55,Equisetopsida,Caryophyllales,Cactaceae,166,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=094340e25929afc3da4a49aecc884282,094340e25929afc3da4a49aecc884282,No,,NoDisponible,,,,,,
5,Selenicereus vagans,96467,-109.1513889,26.8486111,,False,2,10.61,Equisetopsida,Caryophyllales,Cactaceae,145,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=094b8000857cb50cbd6af260c466e775,094b8000857cb50cbd6af260c466e775,No,,NoDisponible,,,,,,
21,Selenicereus vagans,208824,-95.01944,16.43333,,False,2,13.2,Equisetopsida,Caryophyllales,Cactaceae,25,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cb8b56e7045b922c0fc449d46b600e2,0cb8b56e7045b922c0fc449d46b600e2,No,,NoDisponible,,,,,,
11,Selenicereus vagans,113915,-106.41528,23.23611,,False,2,13.87,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e4e8d148d114694080e488de4ea9418,0e4e8d148d114694080e488de4ea9418,No,,NoDisponible,,,,,,
26,Selenicereus vagans,127257,-105.0583333,19.5083333,,False,2,17.15,Equisetopsida,Caryophyllales,Cactaceae,16,Terrestre,1982,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f3c937de8566ebd5dd90056f859ed32,0f3c937de8566ebd5dd90056f859ed32,No,,NoDisponible,,,,,,
19,Selenicereus vagans,150846,-101.8333,19.1667,,False,2,5.21,Equisetopsida,Caryophyllales,Cactaceae,927,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1430a8259f6682af5dd56cc743ead26f,1430a8259f6682af5dd56cc743ead26f,Si,No,NoDisponible,Si,Si,,,,
22,Selenicereus vagans,123018,-105.61666,23.03388,,False,2,13.87,Equisetopsida,Caryophyllales,Cactaceae,256,Terrestre,1897,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16aef89503ff211167b0ddc7d07c7661,16aef89503ff211167b0ddc7d07c7661,No,,NoDisponible,,,,,,
20,Selenicereus vagans,208822,-95.1302778,16.3858333,,False,2,14.42,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2a517c857842f50eddddc46dfd286b52,2a517c857842f50eddddc46dfd286b52,No,,NoDisponible,,,,,,
12,Selenicereus vagans,113915,-106.4153,23.2361,,False,2,13.87,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1897,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2fd8251dcbbb60c0284e238088d856c3,2fd8251dcbbb60c0284e238088d856c3,No,,NoDisponible,,,,,,
4,Selenicereus vagans,96498,-108.9236111,26.9083333,,False,2,8.64,Equisetopsida,Caryophyllales,Cactaceae,255,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3d0e8ed4de5bc21731bbfe4f8ba0f19f,3d0e8ed4de5bc21731bbfe4f8ba0f19f,No,,NoDisponible,,,,,,
17,Selenicereus vagans,122988,-105.266667,22.5166667,,False,2,12.89,Equisetopsida,Caryophyllales,Cactaceae,95,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e8aa92b1ba1ce8ee1204dfbcd97ee9c,3e8aa92b1ba1ce8ee1204dfbcd97ee9c,No,,NoDisponible,,,,,,
27,Selenicereus vagans,127257,-105.0583333,19.5083333,,False,2,17.15,Equisetopsida,Caryophyllales,Cactaceae,16,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=41028c18efffc6df948a54d301d32cce,41028c18efffc6df948a54d301d32cce,No,,NoDisponible,,,,,,
16,Selenicereus vagans,127252,-105.079167,19.53,,False,2,16.7,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5465cb8cafef7b77dcb4499b5e893f6b,5465cb8cafef7b77dcb4499b5e893f6b,No,,NoDisponible,,,,,,
23,Selenicereus vagans,222478,-93.5238,16.7164,,False,2,16.17,Equisetopsida,Caryophyllales,Cactaceae,780,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5b22bbd574a4685d002ec74347cca61a,5b22bbd574a4685d002ec74347cca61a,No,,NoDisponible,,,,,,
15,Selenicereus vagans,222514,-93.387222,16.7944444,,True,1,-11.93,Equisetopsida,Caryophyllales,Cactaceae,905,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6b8246aab5589d0cd87573f482a90f7c,6b8246aab5589d0cd87573f482a90f7c,No,,NoDisponible,,,,,,
0,Selenicereus vagans,226761,-92.9313889,17.55,,False,2,21.98,Equisetopsida,Caryophyllales,Cactaceae,48,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=745206e084e22c9e72e79bdcf2f2ab2e,745206e084e22c9e72e79bdcf2f2ab2e,No,,NoDisponible,,,,,,
28,Selenicereus vagans,127257,-105.0414167,19.4994167,,False,2,17.15,Equisetopsida,Caryophyllales,Cactaceae,70,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=77def9d920ea23ea784449382c488a0f,77def9d920ea23ea784449382c488a0f,No,,NoDisponible,,,,,,
14,Selenicereus vagans,113915,-106.4263889,23.2,,False,2,13.87,Equisetopsida,Caryophyllales,Cactaceae,17,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7b716a8c496cf0a56e36aa5d42811953,7b716a8c496cf0a56e36aa5d42811953,No,,NoDisponible,,,,,,
13,Selenicereus vagans,113915,-106.41528,23.23611,,False,2,13.87,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8bdbbcf38c20e95914bea3dd90fa49e7,8bdbbcf38c20e95914bea3dd90fa49e7,No,,NoDisponible,,,,,,
3,Selenicereus vagans,208935,-95.0597,17.1375,,False,2,17.9,Equisetopsida,Caryophyllales,Cactaceae,86,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=923dfd10f61c4dbf55de1f0058c65abb,923dfd10f61c4dbf55de1f0058c65abb,No,,NoDisponible,,,,,,
1,Selenicereus vagans,226761,-92.9528,17.5481,,False,2,21.98,Equisetopsida,Caryophyllales,Cactaceae,47,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9b4a52b861820ef4f8a99627ee80bee9,9b4a52b861820ef4f8a99627ee80bee9,No,,NoDisponible,,,,,,
2,Selenicereus vagans,208935,-95.0597222,17.1375,,False,2,17.9,Equisetopsida,Caryophyllales,Cactaceae,86,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9f4b82fb12ef3fb5e918ac589bb5a063,9f4b82fb12ef3fb5e918ac589bb5a063,No,,NoDisponible,,,,,,
24,Selenicereus vagans,226764,-92.908012,17.658895,,False,2,8.85,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a4e45a37651d87df09f2f468d9a8fe70,a4e45a37651d87df09f2f468d9a8fe70,No,,NoDisponible,,,,,,
30,Selenicereus vagans,194757,-97.1583333,18.2416667,,False,2,1.64,Equisetopsida,Caryophyllales,Cactaceae,1050,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b45eda49e7f7bab25dd543d8d23ee068,b45eda49e7f7bab25dd543d8d23ee068,Si,No,NoDisponible,No,Si,,,,
18,Selenicereus vagans,199491,-96.5,17,,True,0,-29.61,Equisetopsida,Caryophyllales,Cactaceae,1642,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b8ab49f598e2a549d90fd8aa405be44f,b8ab49f598e2a549d90fd8aa405be44f,No,,NoDisponible,,,,,,
10,Selenicereus vagans,113915,-106.428611,23.2308334,,False,2,13.87,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bb2ec2e2863cc1df2dba3669ade0c56c,bb2ec2e2863cc1df2dba3669ade0c56c,No,,NoDisponible,,,,,,
7,Selenicereus vagans,96467,-109.1513889,26.8486111,,False,2,10.61,Equisetopsida,Caryophyllales,Cactaceae,145,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c34f7c377919c70294cf97155cae586e,c34f7c377919c70294cf97155cae586e,No,,NoDisponible,,,,,,
25,Selenicereus vagans,127257,-105.0371111,19.505,,False,2,17.15,Equisetopsida,Caryophyllales,Cactaceae,45,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d4c68cfb806b780f6946dc459ce7b5dc,d4c68cfb806b780f6946dc459ce7b5dc,No,,NoDisponible,,,,,,
9,Selenicereus vagans,208932,-95.05,17.13,,False,2,14.75,Equisetopsida,Caryophyllales,Cactaceae,86,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d7b6172db9a5c3671313e7910c3bc314,d7b6172db9a5c3671313e7910c3bc314,No,,NoDisponible,,,,,,
6,Selenicereus vagans,96467,-109.1027778,26.8708333,,False,2,10.61,Equisetopsida,Caryophyllales,Cactaceae,178,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dd4246e85a48236ee9a261fe81a91ec2,dd4246e85a48236ee9a261fe81a91ec2,No,,NoDisponible,,,,,,
31,Selenicereus vagans,96484,-108.825,26.6763889,,False,2,7.2,Equisetopsida,Caryophyllales,Cactaceae,138,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dea445cf06ca3bf130c5ecf8b329133d,dea445cf06ca3bf130c5ecf8b329133d,No,,NoDisponible,,,,,,
29,Selenicereus vagans,222513,-93.3885,16.7851,,False,2,15.36,Equisetopsida,Caryophyllales,Cactaceae,807,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fbdece8a32f4ae12a79ea12b9201ecc2,fbdece8a32f4ae12a79ea12b9201ecc2,No,,NoDisponible,,,,,,
