,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
12,Stenocactus dichroacanthus,165978,-100.4038319,24.8673477,,False,1,22.3,Equisetopsida,Caryophyllales,Cactaceae,1883,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06262b19a0df16d20f1d3bc283d82295,06262b19a0df16d20f1d3bc283d82295,No,NoDisponible,NoDisponible,,Si,,,,
31,Stenocactus dichroacanthus,156156,-101.1897466,23.3221191,,False,2,25.45,Equisetopsida,Caryophyllales,Cactaceae,2293,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c306ea8f63a30acc11e5b7dfa1cc889,0c306ea8f63a30acc11e5b7dfa1cc889,No,NoDisponible,NoDisponible,,Si,,,,
26,Stenocactus dichroacanthus,160974,-100.9796413,23.7002444,,False,0,11.07,Equisetopsida,Caryophyllales,Cactaceae,1823,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c81090437b8a293428dd66223433e2b,0c81090437b8a293428dd66223433e2b,No,NoDisponible,NoDisponible,,Si,,,,
25,Stenocactus dichroacanthus,160777,-101.0104469,21.8802569,,False,2,33.71,Equisetopsida,Caryophyllales,Cactaceae,2630,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ec514d371c697cf128437369a32a685,0ec514d371c697cf128437369a32a685,No,NoDisponible,NoDisponible,,Si,,,,
39,Stenocactus dichroacanthus,180131,-98.4869383,20.2879611,,False,0,11.41,Equisetopsida,Caryophyllales,Cactaceae,1724,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10d64e016c21dbe79f1005500cb86ef0,10d64e016c21dbe79f1005500cb86ef0,No,NoDisponible,NoDisponible,,Si,,,,
45,Stenocactus dichroacanthus,160850,-101.1530541,22.7886847,,False,1,20.81,Equisetopsida,Caryophyllales,Cactaceae,2012,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1add36c1b340641458fd3a92fce96dd5,1add36c1b340641458fd3a92fce96dd5,No,NoDisponible,NoDisponible,,Si,,,,
37,Stenocactus dichroacanthus,160867,-100.7885472,22.4238424,,False,1,20.24,Equisetopsida,Caryophyllales,Cactaceae,1989,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=209d7ffa3724053d52fcc7c153fe8747,209d7ffa3724053d52fcc7c153fe8747,No,NoDisponible,NoDisponible,,Si,,,,
14,Stenocactus dichroacanthus,160917,-101.1619375,23.3316163,,False,2,25.45,Equisetopsida,Caryophyllales,Cactaceae,2303,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20d9ef29c0417da0f6a68b4befcef794,20d9ef29c0417da0f6a68b4befcef794,No,NoDisponible,NoDisponible,,Si,,,,
3,Stenocactus dichroacanthus,160869,-100.895083,22.5738408,,False,1,16.75,Equisetopsida,Caryophyllales,Cactaceae,1642,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f5577438c2e36b1f86b20349ee0d730,2f5577438c2e36b1f86b20349ee0d730,No,NoDisponible,NoDisponible,,Si,,,,
21,Stenocactus dichroacanthus,156159,-101.1991019,23.3485108,,False,2,25.45,Equisetopsida,Caryophyllales,Cactaceae,2218,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=36a62e18927a513bfe6bdba0435aa767,36a62e18927a513bfe6bdba0435aa767,No,NoDisponible,NoDisponible,,Si,,,,
