,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
18,Stenocactus heteracanthus,180055,-98.7769444,20.1825,,False,2,71.69,Equisetopsida,Caryophyllales,Cactaceae,3085,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0079acd7cf8b8094606a847ea23b90aa,0079acd7cf8b8094606a847ea23b90aa,No,NoDisponible,NoDisponible,,Si,,,,
19,Stenocactus heteracanthus,180052,-98.7508333,20.1108333,,False,0,31.21,Equisetopsida,Caryophyllales,Cactaceae,2375,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10d291b3fabbb6c5290f715f96236e3a,10d291b3fabbb6c5290f715f96236e3a,No,NoDisponible,NoDisponible,,Si,,,,
4,Stenocactus heteracanthus,180061,-98.695726,20.136505,,False,2,69.04,Equisetopsida,Caryophyllales,Cactaceae,2720,Terrestre,1903,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1171d479f94bc6679e0fd296ec2fd787,1171d479f94bc6679e0fd296ec2fd787,No,NoDisponible,NoDisponible,,Si,,,,
17,Stenocactus heteracanthus,180058,-98.7094444,20.1225,,False,2,72.8,Equisetopsida,Caryophyllales,Cactaceae,2473,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=287da0417020b4dd73bd62fec74fda13,287da0417020b4dd73bd62fec74fda13,No,NoDisponible,NoDisponible,,Si,,,,
0,Stenocactus heteracanthus,184982,-98.257086,20.201574,,False,1,46.05,Equisetopsida,Caryophyllales,Cactaceae,2317,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3554a740a6e20a3fa597d6ac20fd8e28,3554a740a6e20a3fa597d6ac20fd8e28,No,NoDisponible,NoDisponible,,Si,,,,
5,Stenocactus heteracanthus,180061,-98.6847222,20.1311111,,False,2,69.04,Equisetopsida,Caryophyllales,Cactaceae,2928,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3b9447bac0039a5e9ee6e4a152778610,3b9447bac0039a5e9ee6e4a152778610,No,NoDisponible,NoDisponible,,Si,,,,
9,Stenocactus heteracanthus,180063,-98.6708333,20.1416667,,False,1,51.05,Equisetopsida,Caryophyllales,Cactaceae,2693,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c6163874f099039321866823ce6b215,3c6163874f099039321866823ce6b215,No,NoDisponible,NoDisponible,,Si,,,,
20,Stenocactus heteracanthus,165540,-100.2116667,20.9033333,,False,1,51.35,Equisetopsida,Caryophyllales,Cactaceae,2575,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c6ae7499329ec68c5e553cc3c22d1f5,3c6ae7499329ec68c5e553cc3c22d1f5,No,NoDisponible,NoDisponible,,Si,,,,
7,Stenocactus heteracanthus,180063,-98.6611111,20.1291667,,False,1,51.05,Equisetopsida,Caryophyllales,Cactaceae,2755,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=42178eac92418743e2158193a07c4c0b,42178eac92418743e2158193a07c4c0b,No,NoDisponible,NoDisponible,,Si,,,,
13,Stenocactus heteracanthus,180058,-98.73611,20.1225,,False,2,72.8,Equisetopsida,Caryophyllales,Cactaceae,2396,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5ea4f8ffdd003d379e3600173da84b04,5ea4f8ffdd003d379e3600173da84b04,No,NoDisponible,NoDisponible,,Si,,,,
