,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
6,Stenocactus obvallatus,175090,-99.1291667,19.5322222,,False,2,34.79,Equisetopsida,Caryophyllales,Cactaceae,2661,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07bd28238d8840b31e50e8d81cd1bc09,07bd28238d8840b31e50e8d81cd1bc09,No,NoDisponible,,,,,,,
11,Stenocactus obvallatus,175072,-99.2358333,19.7197222,,False,1,27.74,Equisetopsida,Caryophyllales,Cactaceae,2304,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=26e1739fd113ec05f48e2ca4b8eec108,26e1739fd113ec05f48e2ca4b8eec108,No,NoDisponible,,,,,,,
12,Stenocactus obvallatus,175072,-99.2358333,19.7197222,,False,1,27.74,Equisetopsida,Caryophyllales,Cactaceae,2304,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2c039b4411f8412d63da130232dca4f1,2c039b4411f8412d63da130232dca4f1,No,NoDisponible,,,,,,,
13,Stenocactus obvallatus,175072,-99.2358333,19.7197222,,False,1,27.74,Equisetopsida,Caryophyllales,Cactaceae,2304,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3cee6d86f7d5475bb2be2a564d504389,3cee6d86f7d5475bb2be2a564d504389,No,NoDisponible,,,,,,,
3,Stenocactus obvallatus,170219,-99.4886111,19.2130556,,False,0,15.63,Equisetopsida,Caryophyllales,Cactaceae,2575,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5ce5ccc9ad52eeb1360a77e9cd7b4df5,5ce5ccc9ad52eeb1360a77e9cd7b4df5,Si,NoDisponible,,Si,Si,,,,
14,Stenocactus obvallatus,175072,-99.2358333,19.7197222,,False,1,27.74,Equisetopsida,Caryophyllales,Cactaceae,2304,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=77de184803da722d2f7d41269bdfea1d,77de184803da722d2f7d41269bdfea1d,No,NoDisponible,,,,,,,
0,Stenocactus obvallatus,175068,-99.19472,19.53667,,False,1,25.33,Equisetopsida,Caryophyllales,Cactaceae,2256,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=858ab038ab21c93f799bce2fc3f587e1,858ab038ab21c93f799bce2fc3f587e1,No,NoDisponible,,,,,,,
5,Stenocactus obvallatus,175070,-99.3038889,19.6955556,,False,1,26.83,Equisetopsida,Caryophyllales,Cactaceae,2311,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=89122c02a1dd6857a97056299f38c465,89122c02a1dd6857a97056299f38c465,No,NoDisponible,,,,,,,
15,Stenocactus obvallatus,175072,-99.2358333,19.7197222,,False,1,27.74,Equisetopsida,Caryophyllales,Cactaceae,2304,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8b39f3413e1bf29a81c157b39019d725,8b39f3413e1bf29a81c157b39019d725,No,NoDisponible,,,,,,,
7,Stenocactus obvallatus,175090,-99.1291667,19.5322222,,False,2,34.79,Equisetopsida,Caryophyllales,Cactaceae,2661,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9bd2c5acd04335926d010c5cfd019963,9bd2c5acd04335926d010c5cfd019963,No,NoDisponible,,,,,,,
18,Stenocactus obvallatus,170342,-99.6915833,20.5085833,,False,0,9.95,Equisetopsida,Caryophyllales,Cactaceae,1751,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a454ffc9a294b55a3d5d141e839b2398,a454ffc9a294b55a3d5d141e839b2398,Si,NoDisponible,,Si,Si,,,,
1,Stenocactus obvallatus,170306,-99.99389,20.38778,,False,1,25.09,Equisetopsida,Caryophyllales,Cactaceae,1945,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b15cfb4398af133e4debd7858cb0c411,b15cfb4398af133e4debd7858cb0c411,No,NoDisponible,,,,,,,
20,Stenocactus obvallatus,165553,-100.3072222,21.1072222,,False,0,18.9,Equisetopsida,Caryophyllales,Cactaceae,2139,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c11f0ac945026d61043e56f1fb3a259d,c11f0ac945026d61043e56f1fb3a259d,No,NoDisponible,,,,,,,
8,Stenocactus obvallatus,175090,-99.1291667,19.5322222,,False,2,34.79,Equisetopsida,Caryophyllales,Cactaceae,2661,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cea49b16033fac983c89e9578f8cc95f,cea49b16033fac983c89e9578f8cc95f,No,NoDisponible,,,,,,,
4,Stenocactus obvallatus,175065,-99.2852778,19.4508333,,False,1,27.09,Equisetopsida,Caryophyllales,Cactaceae,2386,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d8b74652675a9c2f374a55cb34a178fb,d8b74652675a9c2f374a55cb34a178fb,No,NoDisponible,,,,,,,
2,Stenocactus obvallatus,151169,-102.3,21.87889,,False,0,14.3,Equisetopsida,Caryophyllales,Cactaceae,1864,Terrestre,1907,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=eb2438a328dc71c99f444712dcfe9950,eb2438a328dc71c99f444712dcfe9950,Si,NoDisponible,,Si,Si,,,,
16,Stenocactus obvallatus,175072,-99.2358333,19.7197222,,False,1,27.74,Equisetopsida,Caryophyllales,Cactaceae,2304,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ecc61145849d8797bf2c4ae13963465c,ecc61145849d8797bf2c4ae13963465c,No,NoDisponible,,,,,,,
19,Stenocactus obvallatus,170342,-99.6915833,20.5085833,,False,0,9.95,Equisetopsida,Caryophyllales,Cactaceae,1751,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ee59d258c5eceea4b2ca20485f38d3a8,ee59d258c5eceea4b2ca20485f38d3a8,Si,NoDisponible,,Si,Si,,,,
17,Stenocactus obvallatus,175072,-99.2358333,19.7197222,,False,1,27.74,Equisetopsida,Caryophyllales,Cactaceae,2304,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fae1f2a60cf8287b69e8e2d7b2c0b51f,fae1f2a60cf8287b69e8e2d7b2c0b51f,No,NoDisponible,,,,,,,
9,Stenocactus obvallatus,175090,-99.1291667,19.5322222,,False,2,34.79,Equisetopsida,Caryophyllales,Cactaceae,2661,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fc8b88e88f8536753994286bc1c5de13,fc8b88e88f8536753994286bc1c5de13,No,NoDisponible,,,,,,,
10,Stenocactus obvallatus,175090,-99.1291667,19.5322222,,False,2,34.79,Equisetopsida,Caryophyllales,Cactaceae,2661,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fe64a696052a7a2bd28fd01435fd8e1f,fe64a696052a7a2bd28fd01435fd8e1f,No,NoDisponible,,,,,,,
