,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
10,Stenocactus phyllacanthus,160793,-100.97611,22.15111,,False,1,25.22,Equisetopsida,Caryophyllales,Cactaceae,1881,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cd918934d229bcce6f3a2591f04a8bc,0cd918934d229bcce6f3a2591f04a8bc,No,NoDisponible,NoDisponible,,Si,,,,
26,Stenocactus phyllacanthus,165482,-100.1778027,20.3768138,,False,0,18.4,Equisetopsida,Caryophyllales,Cactaceae,2391,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11bd4ba77f225e9435966eca382abaed,11bd4ba77f225e9435966eca382abaed,No,NoDisponible,NoDisponible,,Si,,,,
3,Stenocactus phyllacanthus,180061,-98.701427,20.133034,,False,1,28.24,Equisetopsida,Caryophyllales,Cactaceae,2695,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18cc38fe0ecbe65cea8ff064483103ff,18cc38fe0ecbe65cea8ff064483103ff,No,NoDisponible,NoDisponible,,Si,,,,
36,Stenocactus phyllacanthus,160777,-101.0287283,21.9209113,,False,3,40.49,Equisetopsida,Caryophyllales,Cactaceae,2528,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ab15b5b318a48d7a70ea303a530d6e1,1ab15b5b318a48d7a70ea303a530d6e1,No,NoDisponible,NoDisponible,,Si,,,,
0,Stenocactus phyllacanthus,180061,-98.7125,20.1277778,,False,1,28.24,Equisetopsida,Caryophyllales,Cactaceae,2497,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cd997b8220b86cfd03800080066f812,1cd997b8220b86cfd03800080066f812,No,NoDisponible,NoDisponible,,Si,,,,
24,Stenocactus phyllacanthus,160764,-100.6546138,21.6954341,,False,0,19.89,Equisetopsida,Caryophyllales,Cactaceae,1755,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2352730524c1686123c5ca14dd329543,2352730524c1686123c5ca14dd329543,No,NoDisponible,NoDisponible,,Si,,,,
15,Stenocactus phyllacanthus,170335,-99.81333,20.69333,,False,0,23.11,Equisetopsida,Caryophyllales,Cactaceae,2042,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e465ccd19b5839a3aa6b0732cf7837a,2e465ccd19b5839a3aa6b0732cf7837a,No,NoDisponible,NoDisponible,,Si,,,,
4,Stenocactus phyllacanthus,180061,-98.701427,20.133034,,False,1,28.24,Equisetopsida,Caryophyllales,Cactaceae,2695,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3021a76f56390f3c649ae339d842be7e,3021a76f56390f3c649ae339d842be7e,No,NoDisponible,NoDisponible,,Si,,,,
16,Stenocactus phyllacanthus,170306,-99.99389,20.38778,,False,0,24.05,Equisetopsida,Caryophyllales,Cactaceae,1945,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=313ad19f4d84d80870ab38cd756c20cd,313ad19f4d84d80870ab38cd756c20cd,No,NoDisponible,NoDisponible,,Si,,,,
11,Stenocactus phyllacanthus,160793,-100.97611,22.15111,,False,1,25.22,Equisetopsida,Caryophyllales,Cactaceae,1881,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=36622ccf0a7ffb6169ecc56164897175,36622ccf0a7ffb6169ecc56164897175,No,NoDisponible,NoDisponible,,Si,,,,
27,Stenocactus phyllacanthus,160778,-101.0065841,21.9990816,,False,2,35.98,Equisetopsida,Caryophyllales,Cactaceae,2365,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4669dd9d26bf107d08f2a7ee31d50b55,4669dd9d26bf107d08f2a7ee31d50b55,No,NoDisponible,NoDisponible,,Si,,,,
