,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
26,Stenocereus alamosensis,83030,-110.95417,29.09889,,False,3,10.67,Equisetopsida,Caryophyllales,Cactaceae,223,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=011276d08cb4e4cb836f674388df2cb6,011276d08cb4e4cb836f674388df2cb6,No,NoDisponible,NoDisponible,,,,,,
68,Stenocereus alamosensis,82897,-110.8938889,27.9227778,,False,3,5.6,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02da80c8435bfae9498c51d6f9f858ca,02da80c8435bfae9498c51d6f9f858ca,No,NoDisponible,NoDisponible,,,,,,
69,Stenocereus alamosensis,82897,-110.8938889,27.9227778,,False,3,5.6,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1957,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04e86382632f541d2d00b103f101b38c,04e86382632f541d2d00b103f101b38c,No,NoDisponible,NoDisponible,,,,,,
59,Stenocereus alamosensis,83093,-110.9327778,29.5405556,,False,3,9.95,Equisetopsida,Caryophyllales,Cactaceae,365,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=062f26e15a3c7fd8d243fbe3d3ed1af2,062f26e15a3c7fd8d243fbe3d3ed1af2,No,NoDisponible,NoDisponible,,,,,,
123,Stenocereus alamosensis,109504,-106.9889124,23.9551697,,False,3,9.01,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08089970e2d3f117a84c2b23f4499133,08089970e2d3f117a84c2b23f4499133,No,NoDisponible,NoDisponible,,,,,,
15,Stenocereus alamosensis,109598,-107.3333333,25.0066667,,False,3,11.87,Equisetopsida,Caryophyllales,Cactaceae,139,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0869c63a9b5c0d39b48b219c7ff6d506,0869c63a9b5c0d39b48b219c7ff6d506,No,NoDisponible,NoDisponible,,,,,,
5,Stenocereus alamosensis,113915,-106.4208333,23.225,,False,3,3.37,Equisetopsida,Caryophyllales,Cactaceae,14,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=096e48d3d69fc4aefb01f0c4d707595f,096e48d3d69fc4aefb01f0c4d707595f,No,NoDisponible,NoDisponible,,,,,,
25,Stenocereus alamosensis,122733,-105.3102778,20.4052778,,True,0,-86.78,Equisetopsida,Caryophyllales,Cactaceae,676,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ab2071dc6c0639a9e14e2315b638c4d,0ab2071dc6c0639a9e14e2315b638c4d,No,NoDisponible,NoDisponible,,,,,,
76,Stenocereus alamosensis,109587,-107.38444,24.79917,,False,3,11.46,Equisetopsida,Caryophyllales,Cactaceae,70,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f8fd325221fc059546eae7b38ab4c61,0f8fd325221fc059546eae7b38ab4c61,No,NoDisponible,NoDisponible,,,,,,
131,Stenocereus alamosensis,96280,-109.1119805,25.5305466,,False,3,13.85,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10a83d06a01110e3579d3001d8b7bc38,10a83d06a01110e3579d3001d8b7bc38,Si,NoDisponible,NoDisponible,Si,Si,No,BufferCosteroMarinoContinental,,
