,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
31,Stenocereus eruca,73507,-111.732682,25.556206,,False,4,14.71,Equisetopsida,Caryophyllales,Cactaceae,58,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03c5c389bcbaf0fde3a26bd6ead0dbbe,03c5c389bcbaf0fde3a26bd6ead0dbbe,Si,No,NoDisponible,Si,Si,,,,
19,Stenocereus eruca,68984,-112.3083333,26.0583333,,False,4,18.29,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07d5596f9dd877de184231f8d30c6b47,07d5596f9dd877de184231f8d30c6b47,Si,No,NoDisponible,Si,Si,No,BufferCosteroMarinoContinental,,
48,Stenocereus eruca,68908,-112.1491666,25.1283333,,False,4,11.19,Equisetopsida,Caryophyllales,Cactaceae,13,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a78f74b3c7306d7c8f2cf0108848077,0a78f74b3c7306d7c8f2cf0108848077,No,,NoDisponible,,,,,,
40,Stenocereus eruca,73438,-111.9083333,25.5083333,,False,4,18.42,Equisetopsida,Caryophyllales,Cactaceae,16,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d335949698eb8237696bb3430d1b3a6,0d335949698eb8237696bb3430d1b3a6,No,,NoDisponible,,,,,,
26,Stenocereus eruca,73361,-112.0869167,24.8205,,False,4,11.81,Equisetopsida,Caryophyllales,Cactaceae,17,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fa9b58b9d1d91254db82c5a291bd318,0fa9b58b9d1d91254db82c5a291bd318,No,,NoDisponible,,,,,,
10,Stenocereus eruca,165457,-100.56,20.5533333,,True,0,-225.7,Equisetopsida,Caryophyllales,Cactaceae,1829,Terrestre,1931,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=191e4e49f1d844aed33985bd686ae20a,191e4e49f1d844aed33985bd686ae20a,Si,No,NoDisponible,No,No,No,BufferCosteroMarinoContinental,,
25,Stenocereus eruca,73361,-112.101667,24.7986111,,False,4,11.81,Equisetopsida,Caryophyllales,Cactaceae,6,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b63ff5e0ad4d051ed02d642835c5bf5,1b63ff5e0ad4d051ed02d642835c5bf5,No,,NoDisponible,,,,,,
35,Stenocereus eruca,73480,-112.03444,25.76111,,False,4,18.3,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=22453ceb7aca72a5ca60bf0233cdc05a,22453ceb7aca72a5ca60bf0233cdc05a,Si,No,NoDisponible,Si,Si,,,,
56,Stenocereus eruca,73490,-112.06832,25.88471,,False,4,18.69,Equisetopsida,Caryophyllales,Cactaceae,52,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=22b6b9948968a66af5d923eca72952e7,22b6b9948968a66af5d923eca72952e7,Si,No,NoDisponible,Si,Si,,,,
23,Stenocereus eruca,51279,-114.7683333,29.7816667,,True,2,-58.49,Equisetopsida,Caryophyllales,Cactaceae,622,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=22f6179ed65c69529bf6507aee0afb2b,22f6179ed65c69529bf6507aee0afb2b,Si,No,NoDisponible,No,Si,,,,
5,Stenocereus eruca,73478,-112.0416667,25.7583333,,False,4,18.12,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=29bb6980893dddd99a0e269ce58da9f5,29bb6980893dddd99a0e269ce58da9f5,Si,No,NoDisponible,Si,Si,,,,
57,Stenocereus eruca,73359,-111.87029,24.6792,,False,4,19,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,1889,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2bdc2fac1a38586480effe9a441b4f8d,2bdc2fac1a38586480effe9a441b4f8d,Si,No,NoDisponible,Si,Si,,,,
41,Stenocereus eruca,68989,-112.1957778,26.0035,,False,4,19.24,Equisetopsida,Caryophyllales,Cactaceae,13,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e78d21106f59dea41fae89901797e70,2e78d21106f59dea41fae89901797e70,Si,No,NoDisponible,Si,Si,,,,
15,Stenocereus eruca,68984,-112.3083333,26.0583333,,False,4,18.29,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=32b56ffb10dc5511549eba4e6622b054,32b56ffb10dc5511549eba4e6622b054,Si,No,NoDisponible,Si,Si,No,BufferCosteroMarinoContinental,,
63,Stenocereus eruca,68863,-112.1355211,24.9269169,,False,4,14.33,Equisetopsida,Caryophyllales,Cactaceae,5,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3360bbbc58c6d7e8d1698c9049e76081,3360bbbc58c6d7e8d1698c9049e76081,No,,NoDisponible,,,,,,
39,Stenocereus eruca,73438,-111.914259,25.554101,,False,4,18.42,Equisetopsida,Caryophyllales,Cactaceae,23,Terrestre,1931,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=35aca58a5d563f609ad265ba8090cc38,35aca58a5d563f609ad265ba8090cc38,No,,NoDisponible,,,,,,
1,Stenocereus eruca,73478,-112.0519444,25.7611111,,False,4,18.12,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=36b5303c4f0bee45dbbae40d95e76605,36b5303c4f0bee45dbbae40d95e76605,Si,No,NoDisponible,Si,Si,,,,
27,Stenocereus eruca,73361,-112.0869167,24.8205,,False,4,11.81,Equisetopsida,Caryophyllales,Cactaceae,17,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37d9620d89e723c108bdc5ee01fa9109,37d9620d89e723c108bdc5ee01fa9109,No,,NoDisponible,,,,,,
14,Stenocereus eruca,60214,-113.5333333,27.5683333,,True,3,-11.5,Equisetopsida,Caryophyllales,Cactaceae,44,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e6c3168a1bf6188d2cfe285fab59206,3e6c3168a1bf6188d2cfe285fab59206,Si,No,NoDisponible,No,Si,,,,
6,Stenocereus eruca,73478,-112.0416667,25.7583333,,False,4,18.12,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e96b0d741941bb2607911a641d9a8b2,3e96b0d741941bb2607911a641d9a8b2,Si,No,NoDisponible,Si,Si,,,,
7,Stenocereus eruca,73478,-112.0416667,25.7583333,,False,4,18.12,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f9ab85d40ef48dcd4ecd8efa963f0a4,3f9ab85d40ef48dcd4ecd8efa963f0a4,Si,No,NoDisponible,Si,Si,,,,
