,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Stenocereus fricii,150722,-102.265418,18.190577,,False,2,28.55,Equisetopsida,Caryophyllales,Cactaceae,497,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=96f725c4c7e1e907fc7a35bddf94196b,96f725c4c7e1e907fc7a35bddf94196b,No,
1,Stenocereus fricii,127245,-105.0047222,19.3702778,,False,1,21.27,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17d632239aca0c31ebc9fb36b494921f,17d632239aca0c31ebc9fb36b494921f,No,
2,Stenocereus fricii,150770,-102.0283333,18.4641667,,False,3,32.96,Equisetopsida,Caryophyllales,Cactaceae,471,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b45900a329149b8870f76df803281aac,b45900a329149b8870f76df803281aac,No,
3,Stenocereus fricii,150770,-102.0361111,18.4722222,,False,3,32.96,Equisetopsida,Caryophyllales,Cactaceae,438,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=73037e9ed772e4f31d881990c1832486,73037e9ed772e4f31d881990c1832486,No,
4,Stenocereus fricii,127252,-105.075,19.525,,False,2,25.38,Equisetopsida,Caryophyllales,Cactaceae,48,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0423dcd2f1cf389a59a6ad4bb00f8586,0423dcd2f1cf389a59a6ad4bb00f8586,No,
5,Stenocereus fricii,127252,-105.075,19.525,,False,2,25.38,Equisetopsida,Caryophyllales,Cactaceae,48,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=df1cd45d49eabdbd8bc59dad69dab4bd,df1cd45d49eabdbd8bc59dad69dab4bd,No,
6,Stenocereus fricii,127252,-105.074837,19.547864,,False,2,25.38,Equisetopsida,Caryophyllales,Cactaceae,66,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=756daa2d4cdda012b1ed9d6781181f88,756daa2d4cdda012b1ed9d6781181f88,No,
7,Stenocereus fricii,160348,-100.9416667,18.475,,True,0,-4.7,Equisetopsida,Caryophyllales,Cactaceae,603,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e364e8c11343a8dd5883cda7ba4ed527,e364e8c11343a8dd5883cda7ba4ed527,No,
8,Stenocereus fricii,150818,-101.9791666,18.7086111,,False,4,37.82,Equisetopsida,Caryophyllales,Cactaceae,304,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cec7bb0ca19295c62d79051f2d0f173b,cec7bb0ca19295c62d79051f2d0f173b,No,
9,Stenocereus fricii,150826,-101.8336111,18.7258333,,False,3,31.45,Equisetopsida,Caryophyllales,Cactaceae,182,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b7672bad50723b5a0a8e0c584f871587,b7672bad50723b5a0a8e0c584f871587,No,
10,Stenocereus fricii,150798,-102.1311111,18.8444444,,False,2,27.17,Equisetopsida,Caryophyllales,Cactaceae,163,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012017fba526d0387ce24c23c4a0cfc4,012017fba526d0387ce24c23c4a0cfc4,Si,aunque fuera del polígono dentro del Estado citado en Literatura
11,Stenocereus fricii,150798,-102.1311111,18.8444444,,False,2,27.17,Equisetopsida,Caryophyllales,Cactaceae,163,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a1d1ea2aff199fb4253c2705d0c1b22,0a1d1ea2aff199fb4253c2705d0c1b22,Si,aunque fuera del polígono dentro del Estado citado en Literatura
12,Stenocereus fricii,150824,-101.9144444,18.8466667,,False,3,33.33,Equisetopsida,Caryophyllales,Cactaceae,374,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8608aded4a626e79d24fc8497189cfdf,8608aded4a626e79d24fc8497189cfdf,Si,aunque fuera del polígono dentro del Estado citado en Literatura
13,Stenocereus fricii,150823,-101.9055556,18.8283333,,False,3,32.76,Equisetopsida,Caryophyllales,Cactaceae,263,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=21928d4136389b7d96719b24d024ccf0,21928d4136389b7d96719b24d024ccf0,Si,aunque fuera del polígono dentro del Estado citado en Literatura
14,Stenocereus fricii,150823,-101.9055556,18.8283333,,False,3,32.76,Equisetopsida,Caryophyllales,Cactaceae,263,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=400ebdd1ae38215009fbe9d5c03d1d0d,400ebdd1ae38215009fbe9d5c03d1d0d,Si,aunque fuera del polígono dentro del Estado citado en Literatura
15,Stenocereus fricii,150823,-101.9055556,18.8283333,,False,3,32.76,Equisetopsida,Caryophyllales,Cactaceae,263,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=59f450ec552dd26b8251e4d82dea4e43,59f450ec552dd26b8251e4d82dea4e43,Si,aunque fuera del polígono dentro del Estado citado en Literatura
16,Stenocereus fricii,150823,-101.9055556,18.8283333,,False,3,32.76,Equisetopsida,Caryophyllales,Cactaceae,263,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b68fe15c5c8e93587c665f7aa7dd2994,b68fe15c5c8e93587c665f7aa7dd2994,Si,aunque fuera del polígono dentro del Estado citado en Literatura
17,Stenocereus fricii,127248,-104.9825,19.425,,False,2,25.38,Equisetopsida,Caryophyllales,Cactaceae,52,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b506eb0b19ec62cdb513414430a2b8c7,b506eb0b19ec62cdb513414430a2b8c7,No,
18,Stenocereus fricii,127257,-105.0583333,19.5083333,,False,2,26.09,Equisetopsida,Caryophyllales,Cactaceae,16,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1402af2d63496246af3557430ac37095,1402af2d63496246af3557430ac37095,No,
