,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
190,Stenocereus pruinosus,261350,-88.2166667,21.5527778,,False,0,19.17,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00092efd323e928d85d9cd4e2a83e954,00092efd323e928d85d9cd4e2a83e954,Si,No,NoDisponible,No,Si,,,,
103,Stenocereus pruinosus,175470,-99.0244444,22.6213889,,False,0,5.77,Equisetopsida,Caryophyllales,Cactaceae,149,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00788eabf1f754e17ac6744f71e3cb8b,00788eabf1f754e17ac6744f71e3cb8b,Si,No,NoDisponible,No,Si,,,,
192,Stenocereus pruinosus,252608,-89.1152778,21.3263889,,False,0,18.18,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02732401c5bcd45fd66984be66f89806,02732401c5bcd45fd66984be66f89806,Si,No,NoDisponible,No,Si,,,,
128,Stenocereus pruinosus,170657,-99.7083333,22.975,,False,0,17.94,Equisetopsida,Caryophyllales,Cactaceae,1208,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02f2983240168d4f1748f4888d395117,02f2983240168d4f1748f4888d395117,Si,No,NoDisponible,No,Si,,,,
47,Stenocereus pruinosus,194703,-96.9405556,17.7436111,,False,1,41.46,Equisetopsida,Caryophyllales,Cactaceae,622,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0353570f8d41ed268e157e8006f20497,0353570f8d41ed268e157e8006f20497,No,,NoDisponible,,,,,,
187,Stenocereus pruinosus,252600,-89.2669444,21.2694444,,False,0,18.08,Equisetopsida,Caryophyllales,Cactaceae,19,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=036793a11ffb825c90c08f54cebfa1ed,036793a11ffb825c90c08f54cebfa1ed,Si,No,NoDisponible,No,Si,,,,
8,Stenocereus pruinosus,189810,-97.3916667,18.4583333,,False,0,24.02,Equisetopsida,Caryophyllales,Cactaceae,1631,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=042b20b85c9aec74e267b65e87c6fa1a,042b20b85c9aec74e267b65e87c6fa1a,No,,NoDisponible,,,,,,
175,Stenocereus pruinosus,194716,-96.9368611,17.9222222,,False,0,30.09,Equisetopsida,Caryophyllales,Cactaceae,1292,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04455415ba9a1512d884f1764d155707,04455415ba9a1512d884f1764d155707,No,,NoDisponible,,,,,,
91,Stenocereus pruinosus,208797,-95.23889,16.32444,,False,0,17.67,Equisetopsida,Caryophyllales,Cactaceae,41,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=081967f6efe7b8056c06e4b7d1efcb31,081967f6efe7b8056c06e4b7d1efcb31,No,,NoDisponible,,,,,,
54,Stenocereus pruinosus,194713,-96.9595556,17.8234722,,False,1,32.64,Equisetopsida,Caryophyllales,Cactaceae,905,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09d7b31b69a89a3f54aef5a0a577d6ec,09d7b31b69a89a3f54aef5a0a577d6ec,No,,NoDisponible,,,,,,
