,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
26,Thelocactus hexaedrophorus,160808,-100.7963311,22.1313338,,False,2,19.9,Equisetopsida,Caryophyllales,Cactaceae,1957,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014993f24023018e5ae1eaab203686dc,014993f24023018e5ae1eaab203686dc,No,
30,Thelocactus hexaedrophorus,160820,-100.8173699,22.2294808,,False,2,21.9,Equisetopsida,Caryophyllales,Cactaceae,1975,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=016bcd7c9b4dea40705833c8f11a82d1,016bcd7c9b4dea40705833c8f11a82d1,No,
25,Thelocactus hexaedrophorus,160808,-100.7959769,22.1304294,,False,2,19.9,Equisetopsida,Caryophyllales,Cactaceae,1968,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0850b5567631267a5f3b53df93203d7e,0850b5567631267a5f3b53df93203d7e,No,
79,Thelocactus hexaedrophorus,160824,-100.7814499,22.36357,,False,2,23.05,Equisetopsida,Caryophyllales,Cactaceae,1814,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09e5462bf2e6984f2426a05c9b706d48,09e5462bf2e6984f2426a05c9b706d48,No,
53,Thelocactus hexaedrophorus,170522,-99.8564527,22.2438208,,False,1,9.28,Equisetopsida,Caryophyllales,Cactaceae,1129,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fbb9821f1b368b9170796797958be63,0fbb9821f1b368b9170796797958be63,No,
4,Thelocactus hexaedrophorus,165872,-100.0575,23.71361,,False,2,27.7,Equisetopsida,Caryophyllales,Cactaceae,1771,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1267d89bb3c0bf721a04479ea5aad10b,1267d89bb3c0bf721a04479ea5aad10b,No,
81,Thelocactus hexaedrophorus,165862,-100.2938461,23.703698,,False,2,26.18,Equisetopsida,Caryophyllales,Cactaceae,1911,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13a08f496f26848f3a84304773ed0de7,13a08f496f26848f3a84304773ed0de7,No,
57,Thelocactus hexaedrophorus,170499,-99.9397466,21.907985,,False,0,-3.29,Equisetopsida,Caryophyllales,Cactaceae,968,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13de42f2e1c42aa1f78d0665635fd448,13de42f2e1c42aa1f78d0665635fd448,Si,aunque fuera del polígono dentro del Estado citado en Literatura
11,Thelocactus hexaedrophorus,146698,-102.7033333,24.6413888,,False,1,7.2,Equisetopsida,Caryophyllales,Cactaceae,1609,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=167540906c3e45e24d5e08022993a753,167540906c3e45e24d5e08022993a753,Si,aunque fuera del polígono dentro del Estado citado en Literatura
7,Thelocactus hexaedrophorus,165685,-100.26611,22.32389,,False,1,16.79,Equisetopsida,Caryophyllales,Cactaceae,1113,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1aab549096be6a41af4f7406f5393ea0,1aab549096be6a41af4f7406f5393ea0,No,
42,Thelocactus hexaedrophorus,170525,-99.8870086,22.2719411,,False,1,8.8,Equisetopsida,Caryophyllales,Cactaceae,1041,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e546ecde2faf9d716ab8b32c4ed4f76,1e546ecde2faf9d716ab8b32c4ed4f76,No,
43,Thelocactus hexaedrophorus,170525,-99.8870086,22.2719411,,False,1,8.8,Equisetopsida,Caryophyllales,Cactaceae,1041,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=223576ca8e833171dce57ea403a8a862,223576ca8e833171dce57ea403a8a862,No,
1,Thelocactus hexaedrophorus,165816,-100.24361,23.45027,,False,2,24.35,Equisetopsida,Caryophyllales,Cactaceae,1535,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=282d56d08a84893c1af5a623c09910eb,282d56d08a84893c1af5a623c09910eb,No,
2,Thelocactus hexaedrophorus,165816,-100.20265,23.4494277,,False,2,24.35,Equisetopsida,Caryophyllales,Cactaceae,1545,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2cc3ca1e53a165cc464af41f4e6d3638,2cc3ca1e53a165cc464af41f4e6d3638,No,
74,Thelocactus hexaedrophorus,165860,-100.2287363,23.5893108,,False,2,29.62,Equisetopsida,Caryophyllales,Cactaceae,1641,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2ccbf54d7e983c0f3f82e4b0a387f9c9,2ccbf54d7e983c0f3f82e4b0a387f9c9,No,
75,Thelocactus hexaedrophorus,165860,-100.2287363,23.5893108,,False,2,29.62,Equisetopsida,Caryophyllales,Cactaceae,1641,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d09835fc693eb444180674f3b8236de,2d09835fc693eb444180674f3b8236de,No,
27,Thelocactus hexaedrophorus,160820,-100.8234213,22.2106097,,False,2,21.9,Equisetopsida,Caryophyllales,Cactaceae,2001,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f41bcb7878ebfb6944c0346799d8f3a,2f41bcb7878ebfb6944c0346799d8f3a,No,
88,Thelocactus hexaedrophorus,165681,-100.280038,22.1792483,,False,1,17.76,Equisetopsida,Caryophyllales,Cactaceae,1271,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=316ca1292e17d4895aa949628f3addab,316ca1292e17d4895aa949628f3addab,No,
44,Thelocactus hexaedrophorus,170525,-99.8870086,22.2719411,,False,1,8.8,Equisetopsida,Caryophyllales,Cactaceae,1041,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37553e8d3650112a55c16006cb3643ad,37553e8d3650112a55c16006cb3643ad,No,
