,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
26,Thelocactus rinconensis,161275,-100.6415888,25.8168899,,False,4,50.3,Equisetopsida,Caryophyllales,Cactaceae,782,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0016cee0ca706bb59a22353dc0b5b7fc,0016cee0ca706bb59a22353dc0b5b7fc,No,,NoDisponible,,,,,,
14,Thelocactus rinconensis,161264,-100.6457966,25.7897749,,False,3,33.78,Equisetopsida,Caryophyllales,Cactaceae,852,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04d34c49ead5b26ba63eb2d1800ff4c8,04d34c49ead5b26ba63eb2d1800ff4c8,No,,NoDisponible,,,,,,
17,Thelocactus rinconensis,161264,-100.6484124,25.8100908,,False,3,33.78,Equisetopsida,Caryophyllales,Cactaceae,974,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c18782ffad6e0a5fb51cb52bc82c2e8,0c18782ffad6e0a5fb51cb52bc82c2e8,No,,NoDisponible,,,,,,
32,Thelocactus rinconensis,166154,-100.4661938,26.1870519,,False,2,22.66,Equisetopsida,Caryophyllales,Cactaceae,607,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=136d67fef0a26321dad30b33c4466adf,136d67fef0a26321dad30b33c4466adf,No,,NoDisponible,,,,,,
31,Thelocactus rinconensis,161255,-100.7778216,25.7386458,,False,4,43.08,Equisetopsida,Caryophyllales,Cactaceae,1763,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2ba7660337d98de7ec517e2db1961b0c,2ba7660337d98de7ec517e2db1961b0c,No,,NoDisponible,,,,,,
21,Thelocactus rinconensis,166152,-100.5314249,26.2880588,,False,4,45.59,Equisetopsida,Caryophyllales,Cactaceae,713,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=31751391af928265536510acb57e5602,31751391af928265536510acb57e5602,Si,No,NoDisponible,Si,Si,,,,
2,Thelocactus rinconensis,161205,-100.883151,25.435075,,False,3,34.76,Equisetopsida,Caryophyllales,Cactaceae,1626,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3d5f0f5045ff77011efdb563051bdf11,3d5f0f5045ff77011efdb563051bdf11,No,,NoDisponible,,,,,,
29,Thelocactus rinconensis,161263,-100.6765763,25.7289569,,False,3,34.87,Equisetopsida,Caryophyllales,Cactaceae,944,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=448e9fd68c5afb9eaa5940eb6c4f4fe6,448e9fd68c5afb9eaa5940eb6c4f4fe6,No,,NoDisponible,,,,,,
19,Thelocactus rinconensis,161258,-100.742958,25.6681763,,False,4,51.85,Equisetopsida,Caryophyllales,Cactaceae,1546,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=45f416b0d2e8d5c5fbb74943099f9d19,45f416b0d2e8d5c5fbb74943099f9d19,No,,NoDisponible,,,,,,
12,Thelocactus rinconensis,161278,-100.6832319,26.0463919,,False,2,28.78,Equisetopsida,Caryophyllales,Cactaceae,771,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=46de4ade9a53db4f37672dc72ca1fe5e,46de4ade9a53db4f37672dc72ca1fe5e,No,,NoDisponible,,,,,,
27,Thelocactus rinconensis,161228,-100.9444994,25.6784227,,False,2,22.84,Equisetopsida,Caryophyllales,Cactaceae,1359,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5b63db9e90d201015e0192ce2adb933f,5b63db9e90d201015e0192ce2adb933f,No,,NoDisponible,,,,,,
0,Thelocactus rinconensis,166368,-100.35,28.083,,True,0,-24.47,Equisetopsida,Caryophyllales,Cactaceae,249,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=69094e312baf146bb9faf2c984530ce7,69094e312baf146bb9faf2c984530ce7,Si,No,NoDisponible,No,Si,,,,
36,Thelocactus rinconensis,166103,-100.5006122,26.0068841,,False,4,43.48,Equisetopsida,Caryophyllales,Cactaceae,591,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6bb046025fcf2f3fbf986240240edefc,6bb046025fcf2f3fbf986240240edefc,No,,NoDisponible,,,,,,
11,Thelocactus rinconensis,161171,-101.1105677,25.3054677,,False,3,36.29,Equisetopsida,Caryophyllales,Cactaceae,1948,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=745cd389a46030a83c64de59e1bf5dd1,745cd389a46030a83c64de59e1bf5dd1,No,,NoDisponible,,,,,,
9,Thelocactus rinconensis,161213,-100.70904,25.456675,,False,2,28.82,Equisetopsida,Caryophyllales,Cactaceae,2069,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7853c9ceb757532d398fb0907aeec853,7853c9ceb757532d398fb0907aeec853,No,,NoDisponible,,,,,,
4,Thelocactus rinconensis,161181,-101,25.43333,,False,2,28.69,Equisetopsida,Caryophyllales,Cactaceae,1573,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7b71d2dd7a3ab4547a90b4f97d7b695a,7b71d2dd7a3ab4547a90b4f97d7b695a,No,,NoDisponible,,,,,,
34,Thelocactus rinconensis,166086,-100.5899619,25.8092808,,False,2,24.2,Equisetopsida,Caryophyllales,Cactaceae,710,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7d6d5decb2a0bd357d272c641f371923,7d6d5decb2a0bd357d272c641f371923,No,,NoDisponible,,,,,,
23,Thelocactus rinconensis,161177,-101.0325038,25.3566288,,False,3,40.05,Equisetopsida,Caryophyllales,Cactaceae,1779,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7dbe1e71732ed51240608ac698f9f669,7dbe1e71732ed51240608ac698f9f669,No,,NoDisponible,,,,,,
6,Thelocactus rinconensis,161249,-100.895732,25.585311,,False,4,41.76,Equisetopsida,Caryophyllales,Cactaceae,1343,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7ee6c74122a0ba5f46cd71ed25c41a3f,7ee6c74122a0ba5f46cd71ed25c41a3f,No,,NoDisponible,,,,,,
