,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
26,Ammospermophilus interpres,156963,-101.3330627,29.6595388,,False,2,18.37,Mammalia,Rodentia,Sciuridae,344,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b55a511b1adac56a4db204fdfba178,00b55a511b1adac56a4db204fdfba178,Si,NoDisponible,No,No,Si,,,,
0,Ammospermophilus interpres,137344,-103.5555415,25.5052417,,False,2,12.8,Mammalia,Rodentia,Sciuridae,1140,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06ed659d2127381826f628fd93e7a72e,06ed659d2127381826f628fd93e7a72e,No,NoDisponible,,,,,,,
21,Ammospermophilus interpres,151775,-102.0669444,26.9863889,,False,2,25.25,Mammalia,Rodentia,Sciuridae,746,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0841072a633ccac5a9d10f6b714285a7,0841072a633ccac5a9d10f6b714285a7,No,NoDisponible,,,,,,,
7,Ammospermophilus interpres,137342,-103.575,25.5125,,False,2,12.14,Mammalia,Rodentia,Sciuridae,1141,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a314d4fd093f8a12ab15b723e9cc0cb,0a314d4fd093f8a12ab15b723e9cc0cb,No,NoDisponible,,,,,,,
18,Ammospermophilus interpres,156449,-101.42222,25.57056,,False,2,13.57,Mammalia,Rodentia,Sciuridae,1187,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b517ee62c8cc0b96327b322256910f0,0b517ee62c8cc0b96327b322256910f0,No,NoDisponible,,,,,,,
24,Ammospermophilus interpres,151781,-102.0138889,26.7533333,,False,2,25.3,Mammalia,Rodentia,Sciuridae,847,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16ff8901b42e0eb622cc0384d0735ab3,16ff8901b42e0eb622cc0384d0735ab3,No,NoDisponible,,,,,,,
3,Ammospermophilus interpres,137342,-103.578449,25.5138356,,False,2,12.14,Mammalia,Rodentia,Sciuridae,1141,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e85f8b4987ad2b326184a15f524179d,1e85f8b4987ad2b326184a15f524179d,No,NoDisponible,,,,,,,
16,Ammospermophilus interpres,133162,-104.1711278,29.224541,,False,2,22.43,Mammalia,Rodentia,Sciuridae,1267,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2a12fca20c1a6e6894fc87259d10fac1,2a12fca20c1a6e6894fc87259d10fac1,Si,NoDisponible,No,No,Si,,,,
13,Ammospermophilus interpres,147221,-102.8537945,29.04248,,False,2,16.54,Mammalia,Rodentia,Sciuridae,779,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37bc02f1d28f33dfc7782d1dffe6eeb3,37bc02f1d28f33dfc7782d1dffe6eeb3,Si,NoDisponible,No,No,Si,,,,
12,Ammospermophilus interpres,133110,-104.334991,29.0808,,False,2,20.05,Mammalia,Rodentia,Sciuridae,1259,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e7cf96a5eb63b48ab3e6ea6eeae07d9,3e7cf96a5eb63b48ab3e6ea6eeae07d9,Si,NoDisponible,No,No,Si,,,,
30,Ammospermophilus interpres,137455,-103.5083333,26.2616667,,False,2,20.44,Mammalia,Rodentia,Sciuridae,1331,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=48244ea2481412f3db648bd3dfa5d5dd,48244ea2481412f3db648bd3dfa5d5dd,No,NoDisponible,,,,,,,
22,Ammospermophilus interpres,151771,-102.1077778,26.8925,,False,2,24.13,Mammalia,Rodentia,Sciuridae,761,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4831ca1d6ecf3ff49da9631ab3716a7b,4831ca1d6ecf3ff49da9631ab3716a7b,No,NoDisponible,,,,,,,
25,Ammospermophilus interpres,156313,-101.6147158,24.8295819,,True,1,-2.93,Mammalia,Rodentia,Sciuridae,1955,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a537c56c1201cc114d2bcf5aa9bec07,4a537c56c1201cc114d2bcf5aa9bec07,Si,NoDisponible,No,No,Si,,,,
2,Ammospermophilus interpres,133111,-104.2471387,29.06356,,False,2,17.61,Mammalia,Rodentia,Sciuridae,1578,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=59be963ece55f8c34774bae1f314b617,59be963ece55f8c34774bae1f314b617,Si,NoDisponible,No,No,Si,,,,
11,Ammospermophilus interpres,133118,-104.171127,29.07934,,False,2,15.65,Mammalia,Rodentia,Sciuridae,1623,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6806668cfac190d9c28b2a070da420dc,6806668cfac190d9c28b2a070da420dc,Si,NoDisponible,No,No,Si,,,,
17,Ammospermophilus interpres,133162,-104.1711278,29.224541,,False,2,22.43,Mammalia,Rodentia,Sciuridae,1267,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6a9dd2f985c18fc3bfb8ec67ab15c61c,6a9dd2f985c18fc3bfb8ec67ab15c61c,Si,NoDisponible,No,No,Si,,,,
19,Ammospermophilus interpres,156449,-101.42222,25.57056,,False,2,13.57,Mammalia,Rodentia,Sciuridae,1187,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7b186f6e6971fb38dbe333eeb4f69745,7b186f6e6971fb38dbe333eeb4f69745,No,NoDisponible,,,,,,,
31,Ammospermophilus interpres,119063,-106.2391667,28.545,,True,0,-81.86,Mammalia,Rodentia,Sciuridae,1607,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7b6021b68e71d2e1c8ee35eba20059e3,7b6021b68e71d2e1c8ee35eba20059e3,Si,NoDisponible,No,No,Si,,,,
1,Ammospermophilus interpres,137344,-103.5555415,25.5052417,,False,2,12.8,Mammalia,Rodentia,Sciuridae,1140,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=844676293620bab1e7030e7ef6b68551,844676293620bab1e7030e7ef6b68551,No,NoDisponible,,,,,,,
9,Ammospermophilus interpres,137342,-103.6083333,25.5072222,,False,2,12.14,Mammalia,Rodentia,Sciuridae,1147,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8a171531f636f454f31f3324e123ad14,8a171531f636f454f31f3324e123ad14,No,NoDisponible,,,,,,,
8,Ammospermophilus interpres,137342,-103.575,25.5125,,False,2,12.14,Mammalia,Rodentia,Sciuridae,1141,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8ef2fbe9acc000322db00a16114469c7,8ef2fbe9acc000322db00a16114469c7,No,NoDisponible,,,,,,,
28,Ammospermophilus interpres,151770,-102.1326749,26.9111977,,False,2,16.61,Mammalia,Rodentia,Sciuridae,796,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=943f4635ed49a5699c966d8346c1cede,943f4635ed49a5699c966d8346c1cede,No,NoDisponible,,,,,,,
6,Ammospermophilus interpres,137342,-103.56059,25.503483,,False,2,12.14,Mammalia,Rodentia,Sciuridae,1145,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=974922a8a58ea0132eba812acbc0aae4,974922a8a58ea0132eba812acbc0aae4,No,NoDisponible,,,,,,,
15,Ammospermophilus interpres,147222,-102.9034359,29.08604,,False,2,13.87,Mammalia,Rodentia,Sciuridae,715,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9b4dc2768010b07bc304d7964a5dac01,9b4dc2768010b07bc304d7964a5dac01,Si,NoDisponible,No,No,Si,,,,
23,Ammospermophilus interpres,151771,-102.1077778,26.8925,,False,2,24.13,Mammalia,Rodentia,Sciuridae,761,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9b7d96a3cd6c838eab4c4b5d705e9f64,9b7d96a3cd6c838eab4c4b5d705e9f64,No,NoDisponible,,,,,,,
32,Ammospermophilus interpres,119063,-106.2391667,28.545,,True,0,-81.86,Mammalia,Rodentia,Sciuridae,1607,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9f541ca92c5858fc75291124cbb98af4,9f541ca92c5858fc75291124cbb98af4,Si,NoDisponible,No,No,Si,,,,
10,Ammospermophilus interpres,137342,-103.6083333,25.5072222,,False,2,12.14,Mammalia,Rodentia,Sciuridae,1147,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9fafc8711250ad36791ca267d1bfd697,9fafc8711250ad36791ca267d1bfd697,No,NoDisponible,,,,,,,
27,Ammospermophilus interpres,146765,-102.7326388,25.1984177,,False,2,18.8,Mammalia,Rodentia,Sciuridae,1705,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a56d7ee6dfdda9f3148321a8ab3d3118,a56d7ee6dfdda9f3148321a8ab3d3118,No,NoDisponible,,,,,,,
29,Ammospermophilus interpres,156926,-101.3260458,29.6168338,,False,2,16.99,Mammalia,Rodentia,Sciuridae,345,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a6ee4d61766b4c1363b62e4c97c6b4d6,a6ee4d61766b4c1363b62e4c97c6b4d6,Si,NoDisponible,No,No,Si,,,,
20,Ammospermophilus interpres,151775,-102.06667,26.98583,,False,2,25.25,Mammalia,Rodentia,Sciuridae,747,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=af5e0232e2695068d4aaee39d0fc7b78,af5e0232e2695068d4aaee39d0fc7b78,No,NoDisponible,,,,,,,
33,Ammospermophilus interpres,119063,-106.2391667,28.545,,True,0,-81.86,Mammalia,Rodentia,Sciuridae,1607,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c4f25b0e96170afac0ef8fb9ce8d63b9,c4f25b0e96170afac0ef8fb9ce8d63b9,Si,NoDisponible,No,No,Si,,,,
5,Ammospermophilus interpres,137342,-103.5889166,25.5340833,,False,2,12.14,Mammalia,Rodentia,Sciuridae,1158,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ca9b3abeb203d17df674ad54a72e5205,ca9b3abeb203d17df674ad54a72e5205,No,NoDisponible,,,,,,,
4,Ammospermophilus interpres,137342,-103.578449,25.5138356,,False,2,12.14,Mammalia,Rodentia,Sciuridae,1141,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cea1c5a6d32bc17c16749d36dfcf25f2,cea1c5a6d32bc17c16749d36dfcf25f2,No,NoDisponible,,,,,,,
34,Ammospermophilus interpres,105535,-107.5378778,27.9954722,,True,1,-6.03,Mammalia,Rodentia,Sciuridae,2463,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=eb6b084d937036cc58b54e9ef65b6e43,eb6b084d937036cc58b54e9ef65b6e43,Si,NoDisponible,No,No,Si,,,,
14,Ammospermophilus interpres,147221,-102.8537945,29.04248,,False,2,16.54,Mammalia,Rodentia,Sciuridae,779,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ef767ec924df2add2df61b438d4adbfc,ef767ec924df2add2df61b438d4adbfc,Si,NoDisponible,No,No,Si,,,,
