,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
136,Ammospermophilus leucurus,60401,-113.5379944,28.9122275,,False,3,15.71,Mammalia,Rodentia,Sciuridae,9,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=026049b7476c21a0e30ce225e65478f2,026049b7476c21a0e30ce225e65478f2,Si,No,NoDisponible,No,Si,,,,
48,Ammospermophilus leucurus,69165,-112.216107,27.264983,,False,3,11.06,Mammalia,Rodentia,Sciuridae,53,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=031c54561350def87fe8f9ad87b5e7f5,031c54561350def87fe8f9ad87b5e7f5,Si,No,NoDisponible,Si,Si,,,,
151,Ammospermophilus leucurus,60390,-113.5333333,28.85,,False,3,17.21,Mammalia,Rodentia,Sciuridae,49,Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=040446a47c082e314c5970dcbf32aec8,040446a47c082e314c5970dcbf32aec8,Si,No,NoDisponible,No,Si,,,,
83,Ammospermophilus leucurus,42217,-115.64875,31.13442,,False,2,5.12,Mammalia,Rodentia,Sciuridae,1382,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=044ba0b381475702c440cff2602c9d43,044ba0b381475702c440cff2602c9d43,No,,NoDisponible,,,,,,
29,Ammospermophilus leucurus,42223,-115.56417,31.29409,,False,2,5.6,Mammalia,Rodentia,Sciuridae,1196,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=053aa52c4dd985da4032729c447dced2,053aa52c4dd985da4032729c447dced2,Si,No,NoDisponible,Si,Si,,,,
168,Ammospermophilus leucurus,37954,-116.6544444,31.7147222,,False,1,-2,Mammalia,Rodentia,Sciuridae,10,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06840d6c6f8ba785994626f3952aae30,06840d6c6f8ba785994626f3952aae30,Si,No,NoDisponible,No,Si,,,,
10,Ammospermophilus leucurus,51276,-114.720833,29.714926,,False,3,14.19,Mammalia,Rodentia,Sciuridae,590,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06f168f3bb2bb4b48403bdaaa1495762,06f168f3bb2bb4b48403bdaaa1495762,No,,NoDisponible,,,,,,
67,Ammospermophilus leucurus,55816,-114.279689,29.329167,,False,3,13.75,Mammalia,Rodentia,Sciuridae,646,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a92d243de605b7add48a2604524c4a1,0a92d243de605b7add48a2604524c4a1,No,,NoDisponible,,,,,,
109,Ammospermophilus leucurus,55771,-114.162448,28.911497,,False,3,13.18,Mammalia,Rodentia,Sciuridae,199,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d7a6a8c5dccc7f7f92d1dbddb7ade8b,0d7a6a8c5dccc7f7f92d1dbddb7ade8b,No,,NoDisponible,,,,,,
90,Ammospermophilus leucurus,46642,-115.220605,29.978132,,False,3,13.47,Mammalia,Rodentia,Sciuridae,516,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0dbf826e6e68efec07e54d514fc26ec8,0dbf826e6e68efec07e54d514fc26ec8,No,,NoDisponible,,,,,,
