,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
112,Anoura geoffroyi,218038,-93.9908333,16.4072222,,False,1,19.48,Mammalia,Chiroptera,Phyllostomidae,817,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0049b7ac8d976c91311b66cb5f096566,0049b7ac8d976c91311b66cb5f096566,No,NoDisponible,,,,,,,
9,Anoura geoffroyi,235024,-91.7138889,16.1233333,,False,1,22.42,Mammalia,Chiroptera,Phyllostomidae,1505,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0071c779faa1a52e4bfc7eb3f02a2111,0071c779faa1a52e4bfc7eb3f02a2111,No,NoDisponible,,,,,,,
528,Anoura geoffroyi,226673,-92.8169444,16.7272222,,False,2,37.7,Mammalia,Chiroptera,Phyllostomidae,1963,Terrestre,1993,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008c2db1e72b27ef1eb0ba5934d76319,008c2db1e72b27ef1eb0ba5934d76319,No,NoDisponible,,,,,,,
269,Anoura geoffroyi,230729,-92.362778,15.3432913,,False,2,48.98,Mammalia,Chiroptera,Phyllostomidae,1570,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a3a0899d58ffff0dd140c8ea06fd7c,00a3a0899d58ffff0dd140c8ea06fd7c,No,NoDisponible,,,,,,,
55,Anoura geoffroyi,235024,-91.7277778,16.1338889,,False,1,22.42,Mammalia,Chiroptera,Phyllostomidae,1479,Terrestre,2005,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=010dd08dcbcc603f80c92aa693e67c27,010dd08dcbcc603f80c92aa693e67c27,No,NoDisponible,,,,,,,
335,Anoura geoffroyi,208934,-95.125,17.2416667,,False,1,10.74,Mammalia,Chiroptera,Phyllostomidae,114,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=029f80c197ca5b35630e4ab515da0861,029f80c197ca5b35630e4ab515da0861,No,NoDisponible,,,,,,,
38,Anoura geoffroyi,235024,-91.7275,16.1133333,,False,1,22.42,Mammalia,Chiroptera,Phyllostomidae,1500,Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02e9fc24942f9fa05e9079607be96c37,02e9fc24942f9fa05e9079607be96c37,No,NoDisponible,,,,,,,
289,Anoura geoffroyi,131935,-104.374706,19.639312,,False,2,35.51,Mammalia,Chiroptera,Phyllostomidae,1028,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02f4104ff3a6cfe9d0432a975fd0683c,02f4104ff3a6cfe9d0432a975fd0683c,No,NoDisponible,,,,,,,
336,Anoura geoffroyi,208934,-95.125,17.2416667,,False,1,10.74,Mammalia,Chiroptera,Phyllostomidae,114,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03e98f7de5b17640f131719a2c4a6cd6,03e98f7de5b17640f131719a2c4a6cd6,No,NoDisponible,,,,,,,
231,Anoura geoffroyi,218055,-94.1738574,16.5819444,,False,2,32.92,Mammalia,Chiroptera,Phyllostomidae,1890,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=042c4b582dece9158c026758e1df12a0,042c4b582dece9158c026758e1df12a0,No,NoDisponible,,,,,,,
39,Anoura geoffroyi,235024,-91.7275,16.1133333,,False,1,22.42,Mammalia,Chiroptera,Phyllostomidae,1500,Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0435eb282ac9c63439f202476e0e6f58,0435eb282ac9c63439f202476e0e6f58,No,NoDisponible,,,,,,,
