,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
41,Antilocapra americana,60215,-113.4648005,27.4908069,,False,3,4.04,Mammalia,Artiodactyla,Antilocapridae,36,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00910e8dde15f9de00b03e41df118305,00910e8dde15f9de00b03e41df118305,No,NoDisponible,,,,,,,
45,Antilocapra americana,42077,-115.9425,30.5602778,,False,3,-32.96,Mammalia,Artiodactyla,Antilocapridae,35,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01439efd05f35956b6b9b42dc77d86a9,01439efd05f35956b6b9b42dc77d86a9,No,NoDisponible,,,,,,,
3,Antilocapra americana,179990,-98.843389,19.691584,,True,2,-141.22,Mammalia,Artiodactyla,Antilocapridae,2307,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07c917d1b349826a5dfb198d1e18eca5,07c917d1b349826a5dfb198d1e18eca5,Si,NoDisponible,No,No,Si,,,,
4,Antilocapra americana,179990,-98.843389,19.691584,,True,2,-141.22,Mammalia,Artiodactyla,Antilocapridae,2307,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=183c801712e121051b17d581263d7de2,183c801712e121051b17d581263d7de2,Si,NoDisponible,No,No,Si,,,,
38,Antilocapra americana,60192,-113.5750505,27.5932302,,False,3,6.35,Mammalia,Artiodactyla,Antilocapridae,45,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19f8b216ccbd9b679eb8e1be0dc8711b,19f8b216ccbd9b679eb8e1be0dc8711b,No,NoDisponible,,,,,,,
47,Antilocapra americana,51418,-114.78897,30.9666,,False,3,11.87,Mammalia,Artiodactyla,Antilocapridae,9,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cda8b72e3c4c4843210560bfc3dbd7b,1cda8b72e3c4c4843210560bfc3dbd7b,No,NoDisponible,,,,,,,
43,Antilocapra americana,147229,-102.7077658,29.0440633,,False,3,-61.14,Mammalia,Artiodactyla,Antilocapridae,1206,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2212f57bc8300da0af498d62ae771e58,2212f57bc8300da0af498d62ae771e58,No,NoDisponible,,,,,,,
28,Antilocapra americana,55603,-114.0189999,27.4017,,False,3,-9.26,Mammalia,Artiodactyla,Antilocapridae,11,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f85a9f61fccd4030ddeee28eed04b10,2f85a9f61fccd4030ddeee28eed04b10,No,NoDisponible,,,,,,,
11,Antilocapra americana,175084,-98.920425,19.297339,,True,2,-118.4,Mammalia,Artiodactyla,Antilocapridae,2229,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3027081785652cdb80e2b946348bc095,3027081785652cdb80e2b946348bc095,Si,NoDisponible,No,No,Si,,,,
23,Antilocapra americana,160966,-101.1638889,23.66,,False,3,-21,Mammalia,Artiodactyla,Antilocapridae,1901,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=31f6838070995598310178b4dd862c01,31f6838070995598310178b4dd862c01,No,NoDisponible,,,,,,,
35,Antilocapra americana,147254,-102.6211061,29.0875202,,True,2,-204.9,Mammalia,Artiodactyla,Antilocapridae,2305,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3289391ddaa5b1e64d739a85b61479be,3289391ddaa5b1e64d739a85b61479be,Si,NoDisponible,No,Si,Si,,,,
48,Antilocapra americana,160998,-100.88722,23.68944,,True,2,-173.19,Mammalia,Artiodactyla,Antilocapridae,2667,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=449cf63da7cb836c19cbc2402fca9100,449cf63da7cb836c19cbc2402fca9100,Si,NoDisponible,No,Si,Si,,,,
12,Antilocapra americana,175084,-98.920425,19.297339,,True,2,-118.4,Mammalia,Artiodactyla,Antilocapridae,2229,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4c78c5790ef913198e65e1dc318fe239,4c78c5790ef913198e65e1dc318fe239,Si,NoDisponible,No,No,Si,,,,
13,Antilocapra americana,175084,-98.920425,19.297339,,True,2,-118.4,Mammalia,Artiodactyla,Antilocapridae,2229,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4f57128d13da2ea64ed5af1ed6e58762,4f57128d13da2ea64ed5af1ed6e58762,Si,NoDisponible,No,No,Si,,,,
29,Antilocapra americana,55603,-114.0189999,27.4017,,False,3,-9.26,Mammalia,Artiodactyla,Antilocapridae,11,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=54fc6729e196deb27220071a8696ab48,54fc6729e196deb27220071a8696ab48,No,NoDisponible,,,,,,,
27,Antilocapra americana,128183,-104.8,27,,False,3,-60.87,Mammalia,Artiodactyla,Antilocapridae,1383,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5bcd906ca07e96dff29d935420f5101c,5bcd906ca07e96dff29d935420f5101c,No,NoDisponible,,,,,,,
30,Antilocapra americana,55603,-114.0189999,27.4017,,False,3,-9.26,Mammalia,Artiodactyla,Antilocapridae,11,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6269d68d0ee78174f3704e0fd171f24d,6269d68d0ee78174f3704e0fd171f24d,No,NoDisponible,,,,,,,
36,Antilocapra americana,119240,-106.2477997,29.8363577,,True,2,-131.66,Mammalia,Artiodactyla,Antilocapridae,1849,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=67126c04a6ed3d951e45cddf1c22065c,67126c04a6ed3d951e45cddf1c22065c,No,NoDisponible,,,,,,,
5,Antilocapra americana,179990,-98.843389,19.691584,,True,2,-141.22,Mammalia,Artiodactyla,Antilocapridae,2307,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=67b9551d51184aa581f0f862438391f4,67b9551d51184aa581f0f862438391f4,Si,NoDisponible,No,No,Si,,,,
46,Antilocapra americana,42078,-115.9452778,30.6075,,False,3,-33.64,Mammalia,Artiodactyla,Antilocapridae,27,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=69142f40ea452011a2c8ce6c00918d4f,69142f40ea452011a2c8ce6c00918d4f,No,NoDisponible,,,,,,,
31,Antilocapra americana,55603,-114.0189999,27.4017,,False,3,-9.26,Mammalia,Artiodactyla,Antilocapridae,11,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=70d17f98b1b3820e5c17ab3472074464,70d17f98b1b3820e5c17ab3472074464,No,NoDisponible,,,,,,,
9,Antilocapra americana,165675,-100.0916667,21.925,,False,3,-102.56,Mammalia,Artiodactyla,Antilocapridae,1033,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=78b8cfdfdb086431f4cd15b519292cd2,78b8cfdfdb086431f4cd15b519292cd2,No,NoDisponible,,,,,,,
34,Antilocapra americana,119237,-106.3041358,29.8143511,,True,2,-155.19,Mammalia,Artiodactyla,Antilocapridae,1845,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=78ba95a104085abe33f2709df65a7897,78ba95a104085abe33f2709df65a7897,Si,NoDisponible,No,Si,Si,,,,
40,Antilocapra americana,105885,-107.8809324,31.0171399,,False,3,-51.32,Mammalia,Artiodactyla,Antilocapridae,1293,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7ddc2e01e20155dac81f689566a15d7b,7ddc2e01e20155dac81f689566a15d7b,No,NoDisponible,,,,,,,
14,Antilocapra americana,175084,-98.920425,19.297339,,True,2,-118.4,Mammalia,Artiodactyla,Antilocapridae,2229,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=82a83f0ea843deedf0f8ed89813ace10,82a83f0ea843deedf0f8ed89813ace10,Si,NoDisponible,No,No,Si,,,,
24,Antilocapra americana,194757,-97.15,18.27,,True,0,-602.66,Mammalia,Artiodactyla,Antilocapridae,1162,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8532f2fc5b3a84818479af5f2b4b4f37,8532f2fc5b3a84818479af5f2b4b4f37,Si,NoDisponible,No,No,Si,,,,
37,Antilocapra americana,147253,-102.6038722,29.0161719,,True,1,-325.24,Mammalia,Artiodactyla,Antilocapridae,2571,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=86275dfd5802e2aab136bd69603a02d2,86275dfd5802e2aab136bd69603a02d2,Si,NoDisponible,No,Si,Si,,,,
