,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1338,Artibeus jamaicensis,136584,-103.974529,19.411722,,False,7,1.52,Mammalia,Chiroptera,Phyllostomidae,896,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001d719c32c470a4948e8be72f9b3d54,001d719c32c470a4948e8be72f9b3d54,No,NoDisponible,,,,,,,
502,Artibeus jamaicensis,226645,-93.1244444,16.9005556,,False,8,20.72,Mammalia,Chiroptera,Phyllostomidae,660,Terrestre,1995,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00277e2d93bf62ece656d2a0f8b81713,00277e2d93bf62ece656d2a0f8b81713,No,NoDisponible,,,,,,,
1956,Artibeus jamaicensis,222561,-93.366669,16.9993401,,False,8,24.05,Mammalia,Chiroptera,Phyllostomidae,452,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=002e6ae41801151585b73e5d3dc9214f,002e6ae41801151585b73e5d3dc9214f,No,NoDisponible,,,,,,,
4191,Artibeus jamaicensis,222400,-93.1919444,15.8802778,,False,8,21.31,Mammalia,Chiroptera,Phyllostomidae,1230,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003045528c90404a4244a2eb60c7bb30,003045528c90404a4244a2eb60c7bb30,No,NoDisponible,,,,,,,
3681,Artibeus jamaicensis,222523,-93.1527778,16.7830556,,False,8,13.27,Mammalia,Chiroptera,Phyllostomidae,907,Terrestre,1987,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003a45cc4b40310c8a993ab73c21914d,003a45cc4b40310c8a993ab73c21914d,No,NoDisponible,,,,,,,
1865,Artibeus jamaicensis,136552,-103.6453499,18.8916666,,False,8,18.38,Mammalia,Chiroptera,Phyllostomidae,42,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004ecf268a533b214d99e8b8bb0edbfa,004ecf268a533b214d99e8b8bb0edbfa,No,NoDisponible,,,,,,,
2950,Artibeus jamaicensis,199754,-96.4266667,19.2816667,,False,8,8.98,Mammalia,Chiroptera,Phyllostomidae,68,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=006c84761c3120a51a9b9548a88a88dd,006c84761c3120a51a9b9548a88a88dd,No,NoDisponible,,,,,,,
2858,Artibeus jamaicensis,218039,-93.9258333,16.3625,,False,8,24.84,Mammalia,Chiroptera,Phyllostomidae,1572,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0074c7b4c7cecf94dcb8b7a72ee140e8,0074c7b4c7cecf94dcb8b7a72ee140e8,No,NoDisponible,,,,,,,
1494,Artibeus jamaicensis,136612,-103.640759,19.305679,,False,8,11.68,Mammalia,Chiroptera,Phyllostomidae,779,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00812669b43c4c7eccf34700d32cc27b,00812669b43c4c7eccf34700d32cc27b,No,NoDisponible,,,,,,,
503,Artibeus jamaicensis,226645,-93.1244444,16.9005556,,False,8,20.72,Mammalia,Chiroptera,Phyllostomidae,660,Terrestre,1995,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0099ff27743da8c82faf8ecbeacb960a,0099ff27743da8c82faf8ecbeacb960a,No,NoDisponible,,,,,,,
2195,Artibeus jamaicensis,226523,-92.883333,15.624527,,False,8,16.9,Mammalia,Chiroptera,Phyllostomidae,937,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a2ba3776ff784f9ff652568047f491,00a2ba3776ff784f9ff652568047f491,No,NoDisponible,,,,,,,
