,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1489,Artibeus lituratus,194919,-96.7575,19.3277778,,False,7,16.25,Mammalia,Chiroptera,Phyllostomidae,338,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00132bbe29e484014260324788bc644c,00132bbe29e484014260324788bc644c,Si,NoDisponible,No,No,Si,,,,
691,Artibeus lituratus,194755,-97.0779444,18.1319444,,False,7,9.26,Mammalia,Chiroptera,Phyllostomidae,999,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00307f2371945b38a48b08407d2c4273,00307f2371945b38a48b08407d2c4273,Si,NoDisponible,No,No,Si,,,,
1896,Artibeus lituratus,146227,-102.5085171,20.55,,False,6,-3.29,Mammalia,Chiroptera,Phyllostomidae,1602,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003418f135bcecafdd6e29f58cb86b13,003418f135bcecafdd6e29f58cb86b13,Si,NoDisponible,No,No,Si,,,,
3852,Artibeus lituratus,239214,-90.9333333,16.1166667,,False,7,23.15,Mammalia,Chiroptera,Phyllostomidae,162,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=006e400bb741bd477097f46f66a84abc,006e400bb741bd477097f46f66a84abc,No,NoDisponible,,,,,,,
1072,Artibeus lituratus,170019,-99.6255556,17.5466667,,False,7,12.74,Mammalia,Chiroptera,Phyllostomidae,1892,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=007e20269b12d64d8997581b199e9ce1,007e20269b12d64d8997581b199e9ce1,Si,NoDisponible,No,No,Si,,,,
4646,Artibeus lituratus,226718,-92.9672222,17.5358333,,False,7,20.65,Mammalia,Chiroptera,Phyllostomidae,78,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0081b1527d75c19197a2736b2c33e399,0081b1527d75c19197a2736b2c33e399,No,NoDisponible,,,,,,,
4538,Artibeus lituratus,123045,-105.4675,23.0711111,,False,7,10.23,Mammalia,Chiroptera,Phyllostomidae,880,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008274b4b06e167546a9c67c43a7cd12,008274b4b06e167546a9c67c43a7cd12,Si,NoDisponible,No,No,Si,,,,
3658,Artibeus lituratus,209078,-95.0788095,18.6147278,,False,7,20.3,Mammalia,Chiroptera,Phyllostomidae,105,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0082d1822b46f80dc8dabbcbb1632f3d,0082d1822b46f80dc8dabbcbb1632f3d,No,NoDisponible,,,,,,,
3807,Artibeus lituratus,169882,-99.825,16.8088888,,False,7,20.67,Mammalia,Chiroptera,Phyllostomidae,21,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00831ca842d156b225b536efd669fd55,00831ca842d156b225b536efd669fd55,Si,NoDisponible,No,No,No,,,,
1667,Artibeus lituratus,141554,-103.1660351,21.1838569,,False,6,4,Mammalia,Chiroptera,Phyllostomidae,1275,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008ea701f3d24047b73a4a347e2e57cb,008ea701f3d24047b73a4a347e2e57cb,Si,NoDisponible,No,No,Si,,,,
4575,Artibeus lituratus,243672,-90.7361111,18.6066667,,False,7,10.78,Mammalia,Chiroptera,Phyllostomidae,81,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=009564f77347e0d832133bfab46fbb34,009564f77347e0d832133bfab46fbb34,No,NoDisponible,,,,,,,
1426,Artibeus lituratus,194919,-96.7691667,19.3422222,,False,7,16.25,Mammalia,Chiroptera,Phyllostomidae,439,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=009c9132042b2b8d31f46fd07fa42851,009c9132042b2b8d31f46fd07fa42851,Si,NoDisponible,No,No,Si,,,,
565,Artibeus lituratus,175290,-99.0061111,21.2005556,,False,7,20.71,Mammalia,Chiroptera,Phyllostomidae,357,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ac1e6d2d46492cd5e65de1a075576d,00ac1e6d2d46492cd5e65de1a075576d,Si,NoDisponible,No,No,Si,,,,
