,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
121,Baiomys musculus,226645,-93.1008333,16.885,,False,7,20.91,Mammalia,Rodentia,Cricetidae,451,Terrestre,2005,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=000edfc8a0151a31ba3ce18fb42ba368,000edfc8a0151a31ba3ce18fb42ba368,No,NoDisponible,,,,,,,
122,Baiomys musculus,60447,-113.5694444,29.5619444,,True,3,-23.91,Mammalia,Rodentia,Cricetidae,125,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003d12e25301508870a59748e1682773,003d12e25301508870a59748e1682773,Si,NoDisponible,No,No,No,,,,
426,Baiomys musculus,136623,-103.5369999,19.3341666,,False,6,16.85,Mammalia,Rodentia,Cricetidae,945,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01215f5743212aaee16069c86c06a690,01215f5743212aaee16069c86c06a690,No,NoDisponible,,,,,,,
288,Baiomys musculus,136616,-103.6986111,19.4194444,,False,6,16.31,Mammalia,Rodentia,Cricetidae,1384,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01299ccb38a7554cfb1e47edf9d6b29b,01299ccb38a7554cfb1e47edf9d6b29b,No,NoDisponible,,,,,,,
1283,Baiomys musculus,222408,-93.5888889,16.1608333,,False,7,31.24,Mammalia,Rodentia,Cricetidae,1265,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=016aa13a69933ac2bb4721b61d9e5d00,016aa13a69933ac2bb4721b61d9e5d00,No,NoDisponible,,,,,,,
292,Baiomys musculus,136616,-103.698205,19.420452,,False,6,16.31,Mammalia,Rodentia,Cricetidae,1393,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ec00cd8c44ecee92dc0236eee5a267,01ec00cd8c44ecee92dc0236eee5a267,No,NoDisponible,,,,,,,
191,Baiomys musculus,169921,-100.01574,17.01008,,False,7,24.96,Mammalia,Rodentia,Cricetidae,93,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=023c01005b4bf34c93a8af7bcd6a577d,023c01005b4bf34c93a8af7bcd6a577d,No,NoDisponible,,,,,,,
91,Baiomys musculus,132067,-104.247416,20.299999,,False,6,6.95,Mammalia,Rodentia,Cricetidae,1472,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=023eb030d1dedc2eaeec966df15f452e,023eb030d1dedc2eaeec966df15f452e,No,NoDisponible,,,,,,,
751,Baiomys musculus,218073,-94.112727,16.732956,,False,6,12.43,Mammalia,Rodentia,Cricetidae,1183,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02ab1fc30f516c4bb76444e4203a5b6f,02ab1fc30f516c4bb76444e4203a5b6f,No,NoDisponible,,,,,,,
976,Baiomys musculus,169879,-99.89778,16.87111,,False,7,25.23,Mammalia,Rodentia,Cricetidae,66,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02bf10c96318f55bdbff00cd25cd2eef,02bf10c96318f55bdbff00cd25cd2eef,No,NoDisponible,,,,,,,
352,Baiomys musculus,131915,-104.3988888,19.2327777,,False,7,22.74,Mammalia,Rodentia,Cricetidae,267,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02f8f243e4e2d83c345761f1625af741,02f8f243e4e2d83c345761f1625af741,No,NoDisponible,,,,,,,
323,Baiomys musculus,131899,-104.0705555,18.9194444,,False,6,13.8,Mammalia,Rodentia,Cricetidae,13,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=030426f5b2a87af468261114459683b4,030426f5b2a87af468261114459683b4,No,NoDisponible,,,,,,,
160,Baiomys musculus,165072,-100.3266667,17.2583333,,False,7,29.65,Mammalia,Rodentia,Cricetidae,737,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=030b91dc6dabe88e21eea686714958cb,030b91dc6dabe88e21eea686714958cb,No,NoDisponible,,,,,,,
734,Baiomys musculus,151138,-102.0210103,21.4571136,,False,5,-3.72,Mammalia,Rodentia,Cricetidae,2045,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03440fb963562e9eac41d28278b3d577,03440fb963562e9eac41d28278b3d577,Si,NoDisponible,No,No,Si,,,,
983,Baiomys musculus,194503,-97.04778,16.08722,,False,7,24.75,Mammalia,Rodentia,Cricetidae,688,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0460749bcd405288b4208f5c1a2e1de0,0460749bcd405288b4208f5c1a2e1de0,No,NoDisponible,,,,,,,
296,Baiomys musculus,131907,-104.4955555,19.2386111,,False,7,19.4,Mammalia,Rodentia,Cricetidae,49,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=046fdc3f593438f433fb752892a10405,046fdc3f593438f433fb752892a10405,No,NoDisponible,,,,,,,
0,Baiomys musculus,136542,-103.8988553,19.1346953,,False,6,14.68,Mammalia,Rodentia,Cricetidae,526,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0473e19ec9cb14878379bda6966095b1,0473e19ec9cb14878379bda6966095b1,No,NoDisponible,,,,,,,
1012,Baiomys musculus,199413,-96.2655556,16.3194444,,False,6,6.76,Mammalia,Rodentia,Cricetidae,1989,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0486b7b88cfb8ebf9142eddcde5e9877,0486b7b88cfb8ebf9142eddcde5e9877,No,NoDisponible,,,,,,,
1242,Baiomys musculus,190149,-97.7344444,21.4855556,,False,5,2.02,Mammalia,Rodentia,Cricetidae,45,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=048b7b2867899f1c7e39fb6bcb9b6f4a,048b7b2867899f1c7e39fb6bcb9b6f4a,Si,NoDisponible,No,No,Si,,,,
481,Baiomys musculus,136639,-103.5249999,19.6416666,,False,6,8.46,Mammalia,Rodentia,Cricetidae,1706,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=049939fcf37ad431cff553c9daa8856a,049939fcf37ad431cff553c9daa8856a,No,NoDisponible,,,,,,,
534,Baiomys musculus,136612,-103.640759,19.305679,,False,6,13.01,Mammalia,Rodentia,Cricetidae,779,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04cdf8246bc5135a356369af619b4bb8,04cdf8246bc5135a356369af619b4bb8,No,NoDisponible,,,,,,,
95,Baiomys musculus,141329,-103.4380555,19.4755555,,False,7,19.47,Mammalia,Rodentia,Cricetidae,1276,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04de60fbb0018e19afcca2dfdb1af624,04de60fbb0018e19afcca2dfdb1af624,No,NoDisponible,,,,,,,
362,Baiomys musculus,131915,-104.3677777,19.2013888,,False,7,22.74,Mammalia,Rodentia,Cricetidae,246,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04e7a35210fdf2e8d96ceccbbb0fa13d,04e7a35210fdf2e8d96ceccbbb0fa13d,No,NoDisponible,,,,,,,
919,Baiomys musculus,194786,-96.8583333,18.1583333,,False,6,13.61,Mammalia,Rodentia,Cricetidae,1402,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05272df8922b7f7d3be7560b356b2043,05272df8922b7f7d3be7560b356b2043,No,NoDisponible,,,,,,,
819,Baiomys musculus,174975,-98.94915,18.5189833,,False,6,16.45,Mammalia,Rodentia,Cricetidae,1204,Terrestre,2008,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0535afe5b1eeac25af4f79370ec2c484,0535afe5b1eeac25af4f79370ec2c484,No,NoDisponible,,,,,,,
695,Baiomys musculus,131978,-104.4453348,19.8316657,,False,7,18.55,Mammalia,Rodentia,Cricetidae,1598,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0557fe15ad9cf648d53c9ce3baef2d10,0557fe15ad9cf648d53c9ce3baef2d10,No,NoDisponible,,,,,,,
229,Baiomys musculus,208878,-94.9745,16.71658,,False,6,17.26,Mammalia,Rodentia,Cricetidae,206,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05d44c64facff1da9f10df7092f57720,05d44c64facff1da9f10df7092f57720,No,NoDisponible,,,,,,,
7,Baiomys musculus,136542,-103.8817499,19.1493333,,False,6,14.68,Mammalia,Rodentia,Cricetidae,225,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05d81261ea8fcdafa05a2135bda89db8,05d81261ea8fcdafa05a2135bda89db8,No,NoDisponible,,,,,,,
420,Baiomys musculus,136549,-103.759953,18.778879,,False,6,14.07,Mammalia,Rodentia,Cricetidae,13,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05f879c2cbc1629746ba98f50631f215,05f879c2cbc1629746ba98f50631f215,No,NoDisponible,,,,,,,
186,Baiomys musculus,169921,-100.02871,17.0183,,False,7,24.96,Mammalia,Rodentia,Cricetidae,114,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=060bec1b772239168c0da0f7a53b3f53,060bec1b772239168c0da0f7a53b3f53,No,NoDisponible,,,,,,,
863,Baiomys musculus,184565,-98.0139167,16.3308167,,False,6,17.43,Mammalia,Rodentia,Cricetidae,48,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=063097cabce11267b7ac58e1cca8266b,063097cabce11267b7ac58e1cca8266b,No,NoDisponible,,,,,,,
986,Baiomys musculus,194503,-97.08,16.0944444,,False,7,24.75,Mammalia,Rodentia,Cricetidae,690,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=063522bf01c8ce4aa8ebdda4e61ae136,063522bf01c8ce4aa8ebdda4e61ae136,No,NoDisponible,,,,,,,
