,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
59,Bassariscus sumichrasti,208830,-95,16.4166667,,False,1,10.63,Mammalia,Carnivora,Procyonidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0248f34144bb9dd503a9ed11f42cfe67,0248f34144bb9dd503a9ed11f42cfe67,No,NoDisponible,,,,,,,
69,Bassariscus sumichrasti,230836,-92.1341667,16.2511111,,False,1,20.12,Mammalia,Carnivora,Procyonidae,1638,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0262691ce7cba552e4dd7b13fb79d1cf,0262691ce7cba552e4dd7b13fb79d1cf,No,NoDisponible,,,,,,,
43,Bassariscus sumichrasti,194896,-96.8755556,19.4336111,,False,1,21.62,Mammalia,Carnivora,Procyonidae,1041,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06691ddded8fd0010ca527b948fa22c7,06691ddded8fd0010ca527b948fa22c7,No,NoDisponible,,,,,,,
107,Bassariscus sumichrasti,226540,-92.6325,15.4202778,,False,2,41.91,Mammalia,Carnivora,Procyonidae,1460,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08a326acaf5a892ac4daea02b99106dd,08a326acaf5a892ac4daea02b99106dd,No,NoDisponible,,,,,,,
33,Bassariscus sumichrasti,194906,-96.9872544,19.5539075,,False,1,21.88,Mammalia,Carnivora,Procyonidae,1695,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0905743c89b0262b99c1cf0c8a521f71,0905743c89b0262b99c1cf0c8a521f71,No,NoDisponible,,,,,,,
28,Bassariscus sumichrasti,208797,-95.2389,16.3244,,False,1,14.92,Mammalia,Carnivora,Procyonidae,41,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=096882d1ddf5771ad14168319441a4ec,096882d1ddf5771ad14168319441a4ec,No,NoDisponible,,,,,,,
34,Bassariscus sumichrasti,175056,-99.2191486,19.4287322,,False,1,6.66,Mammalia,Carnivora,Procyonidae,2330,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a762bba397bf1c07b78acb3eb8d2a1b,0a762bba397bf1c07b78acb3eb8d2a1b,No,NoDisponible,,,,,,,
96,Bassariscus sumichrasti,230706,-92.2286111,15.1575,,False,2,48.02,Mammalia,Carnivora,Procyonidae,1733,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b03222b1a48804d469efea67826891e,0b03222b1a48804d469efea67826891e,No,NoDisponible,,,,,,,
105,Bassariscus sumichrasti,230732,-92.3416667,15.4252778,,False,1,22.89,Mammalia,Carnivora,Procyonidae,3018,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12c4d973cb9e96f2e779724da7e92cfc,12c4d973cb9e96f2e779724da7e92cfc,No,NoDisponible,,,,,,,
68,Bassariscus sumichrasti,199369,-96.3891667,15.9186111,,False,2,41.57,Mammalia,Carnivora,Procyonidae,792,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12c5610bf8008816a2052a5f9ce49f0f,12c5610bf8008816a2052a5f9ce49f0f,No,NoDisponible,,,,,,,
