,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
7,Bison bison,161179,-100.9697227,25.3499986,,True,1,-132.78,Mammalia,Artiodactyla,Bovidae,2556,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b27fe25446f6cf92ece8d6ef987e011,1b27fe25446f6cf92ece8d6ef987e011,No,NoDisponible,NoDisponible,,,,,,
3,Bison bison,252446,-89.475,20.2583333,,True,0,-194.23,Mammalia,Artiodactyla,Bovidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=27a89bbbce11c1bb5dc9346df32adace,27a89bbbce11c1bb5dc9346df32adace,Si,NoDisponible,NoDisponible,,No,,,,
10,Bison bison,101459,-108.564183,30.8754194,,True,1,-123.78,Mammalia,Artiodactyla,Bovidae,1411,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37330040fbdc15dc4415c76b6ac2beef,37330040fbdc15dc4415c76b6ac2beef,No,NoDisponible,NoDisponible,,,,,,
9,Bison bison,101459,-108.5288647,30.8931755,,True,1,-123.78,Mammalia,Artiodactyla,Bovidae,1404,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3de8686ea86a5fb698c5b29094226a03,3de8686ea86a5fb698c5b29094226a03,No,NoDisponible,NoDisponible,,,,,,
17,Bison bison,101456,-108.4207166,30.8399019,,True,1,-113.6,Mammalia,Artiodactyla,Bovidae,1426,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ff56f18643362ea19ff35bd7255241a,3ff56f18643362ea19ff35bd7255241a,No,NoDisponible,NoDisponible,,,,,,
0,Bison bison,165675,-100.0916667,21.925,,True,0,-180.74,Mammalia,Artiodactyla,Bovidae,1033,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=45c46df2b4d5275a52b5f7b63946ed3c,45c46df2b4d5275a52b5f7b63946ed3c,Si,NoDisponible,NoDisponible,,No,,,,
24,Bison bison,161120,-100.95315,25.0273,,False,2,51.33,Mammalia,Artiodactyla,Bovidae,2328,Terrestre,1983,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4d291678a28909c4fa26af62d3d047bd,4d291678a28909c4fa26af62d3d047bd,No,NoDisponible,NoDisponible,,,,,,
1,Bison bison,151278,-101.8811111,22.6513889,,True,1,-106.09,Mammalia,Artiodactyla,Bovidae,2110,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4eb67981d986d1823d99effa9152100a,4eb67981d986d1823d99effa9152100a,Si,NoDisponible,NoDisponible,,No,,,,
22,Bison bison,119063,-106.22444,28.54028,,True,0,-232.17,Mammalia,Artiodactyla,Bovidae,1588,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5324d8822615aacad4baeb5613983355,5324d8822615aacad4baeb5613983355,No,NoDisponible,NoDisponible,,,,,,
4,Bison bison,252446,-89.475,20.2583333,,True,0,-194.23,Mammalia,Artiodactyla,Bovidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=54839da423b45eae83299a535caa5b45,54839da423b45eae83299a535caa5b45,Si,NoDisponible,NoDisponible,,No,,,,
12,Bison bison,101467,-108.4341127,30.8878805,,True,1,-114.5,Mammalia,Artiodactyla,Bovidae,1395,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5780b42bea06bbb28f4be5f2e1aac3b5,5780b42bea06bbb28f4be5f2e1aac3b5,No,NoDisponible,NoDisponible,,,,,,
14,Bison bison,101460,-108.5239769,30.9432605,,True,1,-136.4,Mammalia,Artiodactyla,Bovidae,1395,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5b72349ddbb54c578f80757eabb10595,5b72349ddbb54c578f80757eabb10595,No,NoDisponible,NoDisponible,,,,,,
19,Bison bison,101480,-108.2497547,30.8142836,,True,1,-133.24,Mammalia,Artiodactyla,Bovidae,1424,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=63d64d597df935d8e085f30a2aed447f,63d64d597df935d8e085f30a2aed447f,No,NoDisponible,NoDisponible,,,,,,
8,Bison bison,101468,-108.4409966,30.9937888,,True,1,-125.08,Mammalia,Artiodactyla,Bovidae,1375,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=726e28053f8019ddb6b13a3597021bea,726e28053f8019ddb6b13a3597021bea,No,NoDisponible,NoDisponible,,,,,,
5,Bison bison,252446,-89.475,20.2583333,,True,0,-194.23,Mammalia,Artiodactyla,Bovidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8c50c0493947aada8a47ebd0548ee466,8c50c0493947aada8a47ebd0548ee466,Si,NoDisponible,NoDisponible,,No,,,,
6,Bison bison,252446,-89.475,20.2583333,,True,0,-194.23,Mammalia,Artiodactyla,Bovidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=91f335f312cefc65656ba0477fb3aae3,91f335f312cefc65656ba0477fb3aae3,Si,NoDisponible,NoDisponible,,No,,,,
20,Bison bison,101461,-108.5959086,30.997718,,True,0,-188.76,Mammalia,Artiodactyla,Bovidae,1435,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=977997dbeecad87804078a8394885a24,977997dbeecad87804078a8394885a24,No,NoDisponible,NoDisponible,,,,,,
25,Bison bison,161120,-100.95315,25.0273,,False,2,51.33,Mammalia,Artiodactyla,Bovidae,2328,Terrestre,1985,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a20f66b7c3b65234b2724e1733f2b6e6,a20f66b7c3b65234b2724e1733f2b6e6,No,NoDisponible,NoDisponible,,,,,,
23,Bison bison,119137,-106.0719444,28.6316667,,True,0,-169.96,Mammalia,Artiodactyla,Bovidae,1434,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a8bbb4b79f8bc8edece44a422ff3432b,a8bbb4b79f8bc8edece44a422ff3432b,No,NoDisponible,NoDisponible,,,,,,
26,Bison bison,161120,-100.95315,25.0273,,False,2,51.33,Mammalia,Artiodactyla,Bovidae,2328,Terrestre,1985,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b076710dc7067c5cc219220af857e1cc,b076710dc7067c5cc219220af857e1cc,No,NoDisponible,NoDisponible,,,,,,
2,Bison bison,151278,-101.8811111,22.6513889,,True,1,-106.09,Mammalia,Artiodactyla,Bovidae,2110,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bb598903102667edaddec3b8c99457fe,bb598903102667edaddec3b8c99457fe,Si,NoDisponible,NoDisponible,,No,,,,
13,Bison bison,101467,-108.3831124,30.9155208,,True,1,-114.5,Mammalia,Artiodactyla,Bovidae,1395,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bf2e88c83d46e114f953efce62e03616,bf2e88c83d46e114f953efce62e03616,No,NoDisponible,NoDisponible,,,,,,
11,Bison bison,101465,-108.5096844,30.8873563,,True,1,-123.3,Mammalia,Artiodactyla,Bovidae,1408,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d3899cf97355b8d38fa05342a1c16f02,d3899cf97355b8d38fa05342a1c16f02,No,NoDisponible,NoDisponible,,,,,,
21,Bison bison,142045,-103.3111111,25.4772222,,True,0,-205.05,Mammalia,Artiodactyla,Bovidae,1142,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e4573a9ffd66726afdb3accc499106c1,e4573a9ffd66726afdb3accc499106c1,No,NoDisponible,NoDisponible,,,,,,
15,Bison bison,101460,-108.5669722,30.9763499,,True,1,-136.4,Mammalia,Artiodactyla,Bovidae,1386,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e83a9a463f11a3528b1e950d2039597b,e83a9a463f11a3528b1e950d2039597b,No,NoDisponible,NoDisponible,,,,,,
16,Bison bison,101458,-108.5981697,30.9412627,,True,0,-159.76,Mammalia,Artiodactyla,Bovidae,1404,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ea87ffd0e6d4fea879ac6528023e9909,ea87ffd0e6d4fea879ac6528023e9909,No,NoDisponible,NoDisponible,,,,,,
18,Bison bison,101506,-108.5978947,31.2245202,,True,0,-195.32,Mammalia,Artiodactyla,Bovidae,1472,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ec12e599a24894f7dd21415b09aa0e98,ec12e599a24894f7dd21415b09aa0e98,No,NoDisponible,NoDisponible,,,,,,
