,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
48,Caluromys derbianus,218046,-93.8,16.3833333,,True,1,-12.08,Mammalia,Didelphimorphia,Didelphidae,644,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04227c7698249de9999a42b6c239ef70,04227c7698249de9999a42b6c239ef70,Si,NoDisponible,No,Si,Si,,,,
35,Caluromys derbianus,208887,-95.0388889,16.8777778,,True,1,-15.98,Mammalia,Didelphimorphia,Didelphidae,221,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05c870b185548c20f77c5a3e27099cf2,05c870b185548c20f77c5a3e27099cf2,No,NoDisponible,,,,,,,
14,Caluromys derbianus,226761,-92.9511111,17.5463889,,False,3,28.45,Mammalia,Didelphimorphia,Didelphidae,55,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d125b3597a40da7a2485286f9cb186a,0d125b3597a40da7a2485286f9cb186a,No,NoDisponible,,,,,,,
36,Caluromys derbianus,208887,-95.0388889,16.8777778,,True,1,-15.98,Mammalia,Didelphimorphia,Didelphidae,221,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10b10e3dbee162f63c8cd92652ac7a03,10b10e3dbee162f63c8cd92652ac7a03,No,NoDisponible,,,,,,,
4,Caluromys derbianus,226761,-92.9436,17.5503,,False,3,28.45,Mammalia,Didelphimorphia,Didelphidae,65,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11e9b0ff68a60c2934231e1e9ce5ee74,11e9b0ff68a60c2934231e1e9ce5ee74,No,NoDisponible,,,,,,,
33,Caluromys derbianus,209074,-95.1336111,18.4366667,,False,3,26.44,Mammalia,Didelphimorphia,Didelphidae,346,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19ef784053ab72be9d1f3a924607bc17,19ef784053ab72be9d1f3a924607bc17,No,NoDisponible,,,,,,,
37,Caluromys derbianus,230642,-92.2294444,14.6058333,,True,1,-23.62,Mammalia,Didelphimorphia,Didelphidae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2858e25c16f3d260cb2d270e79e4b790,2858e25c16f3d260cb2d270e79e4b790,Si,NoDisponible,No,Si,Si,,,,
15,Caluromys derbianus,226761,-92.9511111,17.5463889,,False,3,28.45,Mammalia,Didelphimorphia,Didelphidae,55,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=28a897443c293c166de664559f43563a,28a897443c293c166de664559f43563a,No,NoDisponible,,,,,,,
6,Caluromys derbianus,226761,-92.9379508,17.548,,False,3,28.45,Mammalia,Didelphimorphia,Didelphidae,64,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3765bdcb912292c40e672f0844e5dc29,3765bdcb912292c40e672f0844e5dc29,No,NoDisponible,,,,,,,
31,Caluromys derbianus,194836,-97.0259944,19.0078333,,True,0,-83.59,Mammalia,Didelphimorphia,Didelphidae,1320,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3b379c66d92d6a59e9d3156740ca20da,3b379c66d92d6a59e9d3156740ca20da,No,NoDisponible,,,,,,,
44,Caluromys derbianus,190149,-97.7344444,21.4855556,,False,2,-1.08,Mammalia,Didelphimorphia,Didelphidae,45,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f48b90928916176c095f11bbb0cace7,3f48b90928916176c095f11bbb0cace7,No,NoDisponible,,,,,,,
20,Caluromys derbianus,226752,-92.6219091,17.5197736,,False,3,31.97,Mammalia,Didelphimorphia,Didelphidae,69,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4e7bc9a7f9e9d4024cd99c7da1651c72,4e7bc9a7f9e9d4024cd99c7da1651c72,No,NoDisponible,,,,,,,
29,Caluromys derbianus,230976,-92.04453,17.48592,,False,3,31.37,Mammalia,Didelphimorphia,Didelphidae,134,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5908de3ae53a368897056ae86383afd9,5908de3ae53a368897056ae86383afd9,No,NoDisponible,,,,,,,
7,Caluromys derbianus,226761,-92.9379508,17.548,,False,3,28.45,Mammalia,Didelphimorphia,Didelphidae,64,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=599d38b0bcaf51e2e0e3a2f88190c81f,599d38b0bcaf51e2e0e3a2f88190c81f,No,NoDisponible,,,,,,,
23,Caluromys derbianus,230983,-92.4604555,17.7170205,,False,3,26.81,Mammalia,Didelphimorphia,Didelphidae,19,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5c265b0b32ab8cfcf47ede5d7aa44219,5c265b0b32ab8cfcf47ede5d7aa44219,No,NoDisponible,,,,,,,
18,Caluromys derbianus,261102,-88.0741666,19.3897222,,False,3,23.29,Mammalia,Didelphimorphia,Didelphidae,11,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=60bbfc44a9d6783e67b2ddd3cc422649,60bbfc44a9d6783e67b2ddd3cc422649,No,NoDisponible,,,,,,,
46,Caluromys derbianus,261097,-88.1005556,19.2238889,,False,3,22.48,Mammalia,Didelphimorphia,Didelphidae,17,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=61fd7151218b5b53b6d703006667e635,61fd7151218b5b53b6d703006667e635,No,NoDisponible,,,,,,,
28,Caluromys derbianus,209077,-95.1321661,18.505275,,False,3,26.22,Mammalia,Didelphimorphia,Didelphidae,958,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7275851ca9d1e83d2d75aec9eaae82a5,7275851ca9d1e83d2d75aec9eaae82a5,No,NoDisponible,,,,,,,
8,Caluromys derbianus,226761,-92.9379508,17.548,,False,3,28.45,Mammalia,Didelphimorphia,Didelphidae,64,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=749e80b615e19948f2a339155a505597,749e80b615e19948f2a339155a505597,No,NoDisponible,,,,,,,
9,Caluromys derbianus,226761,-92.9379508,17.548,,False,3,28.45,Mammalia,Didelphimorphia,Didelphidae,64,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=77412d2c93a9672c573d7c712801bd48,77412d2c93a9672c573d7c712801bd48,No,NoDisponible,,,,,,,
34,Caluromys derbianus,208951,-95.0244444,17.4327778,,False,3,22.28,Mammalia,Didelphimorphia,Didelphidae,19,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=819bb47e173ed0568fac83182e423127,819bb47e173ed0568fac83182e423127,No,NoDisponible,,,,,,,
1,Caluromys derbianus,185169,-98.2745843,21.6449603,,True,1,-18.18,Mammalia,Didelphimorphia,Didelphidae,65,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=82f038fd55e89ec3d18f866ebb57ce5c,82f038fd55e89ec3d18f866ebb57ce5c,No,NoDisponible,,,,,,,
42,Caluromys derbianus,209014,-95.1488889,18.0652778,,True,1,-30.13,Mammalia,Didelphimorphia,Didelphidae,27,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8987541e3dbde4978461f2e954839d72,8987541e3dbde4978461f2e954839d72,No,NoDisponible,,,,,,,
22,Caluromys derbianus,230984,-92.4600038,17.7823533,,False,3,29.38,Mammalia,Didelphimorphia,Didelphidae,27,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8b747dd99e56ffe6fb8e28b4062deb1e,8b747dd99e56ffe6fb8e28b4062deb1e,No,NoDisponible,,,,,,,
24,Caluromys derbianus,209080,-95.0574983,18.5699347,,False,3,24.16,Mammalia,Didelphimorphia,Didelphidae,11,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=98ee9f693b7e3c71c4fa1aad504febd9,98ee9f693b7e3c71c4fa1aad504febd9,No,NoDisponible,,,,,,,
41,Caluromys derbianus,209052,-95.2169444,18.4366667,,False,3,23.48,Mammalia,Didelphimorphia,Didelphidae,265,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9b0840dd340e3a03d476b43a4385a2fb,9b0840dd340e3a03d476b43a4385a2fb,No,NoDisponible,,,,,,,
21,Caluromys derbianus,209076,-95.071413,18.4918405,,False,3,30.67,Mammalia,Didelphimorphia,Didelphidae,482,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9ce8c4a587694ddb217ca8c8805e2c97,9ce8c4a587694ddb217ca8c8805e2c97,No,NoDisponible,,,,,,,
16,Caluromys derbianus,226766,-92.9219512,17.811,,False,3,29.81,Mammalia,Didelphimorphia,Didelphidae,12,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a0f3747531b50952c764580b46e36ad6,a0f3747531b50952c764580b46e36ad6,No,NoDisponible,,,,,,,
45,Caluromys derbianus,190149,-97.7344444,21.4855556,,False,2,-1.08,Mammalia,Didelphimorphia,Didelphidae,45,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a47a97bb0fc6236c649f2855bce37e41,a47a97bb0fc6236c649f2855bce37e41,No,NoDisponible,,,,,,,
38,Caluromys derbianus,243672,-90.7361111,18.6066667,,True,1,-15.47,Mammalia,Didelphimorphia,Didelphidae,81,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a6f48662af4583b06314743bd4139d83,a6f48662af4583b06314743bd4139d83,No,NoDisponible,,,,,,,
47,Caluromys derbianus,269506,-87.3327778,20.3630556,,False,3,20.57,Mammalia,Didelphimorphia,Didelphidae,13,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a9774929101586e6d5f688498817bfa3,a9774929101586e6d5f688498817bfa3,No,NoDisponible,,,,,,,
49,Caluromys derbianus,218046,-93.8,16.3833333,,True,1,-12.08,Mammalia,Didelphimorphia,Didelphidae,644,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ab9f5456e48f370525b213fdb510a667,ab9f5456e48f370525b213fdb510a667,Si,NoDisponible,No,Si,Si,,,,
19,Caluromys derbianus,261102,-88.0741667,19.3897222,,False,3,23.29,Mammalia,Didelphimorphia,Didelphidae,11,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b034108a974956ca6b5ee95d54ba7d80,b034108a974956ca6b5ee95d54ba7d80,No,NoDisponible,,,,,,,
2,Caluromys derbianus,194851,-96.772098,18.678069,,False,3,26.06,Mammalia,Didelphimorphia,Didelphidae,339,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b10bd15472d27f1c63226676f25ce684,b10bd15472d27f1c63226676f25ce684,No,NoDisponible,,,,,,,
5,Caluromys derbianus,226761,-92.9436,17.5503,,False,3,28.45,Mammalia,Didelphimorphia,Didelphidae,65,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b19d658f713c7956aec9d1143043cf71,b19d658f713c7956aec9d1143043cf71,No,NoDisponible,,,,,,,
12,Caluromys derbianus,226761,-92.9528,17.5481,,False,3,28.45,Mammalia,Didelphimorphia,Didelphidae,47,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b1be6857aa279db24d02cb4c7a0804b2,b1be6857aa279db24d02cb4c7a0804b2,No,NoDisponible,,,,,,,
0,Caluromys derbianus,230972,-92.0358333,17.3638889,,False,3,30.7,Mammalia,Didelphimorphia,Didelphidae,96,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bbaf6b91093c7aaf49e6f835b1f8e271,bbaf6b91093c7aaf49e6f835b1f8e271,No,NoDisponible,,,,,,,
10,Caluromys derbianus,226761,-92.9379508,17.548,,False,3,28.45,Mammalia,Didelphimorphia,Didelphidae,64,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=be95c22f7150b200b3e3115c594230ae,be95c22f7150b200b3e3115c594230ae,No,NoDisponible,,,,,,,
11,Caluromys derbianus,226761,-92.9379508,17.548,,False,3,28.45,Mammalia,Didelphimorphia,Didelphidae,64,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c1be82d6c3f0a1694bd886c276848569,c1be82d6c3f0a1694bd886c276848569,No,NoDisponible,,,,,,,
39,Caluromys derbianus,243672,-90.7361111,18.6066667,,True,1,-15.47,Mammalia,Didelphimorphia,Didelphidae,81,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c2a88287ba04dc8d79143df9a5ec27d0,c2a88287ba04dc8d79143df9a5ec27d0,No,NoDisponible,,,,,,,
13,Caluromys derbianus,226761,-92.9528,17.5481,,False,3,28.45,Mammalia,Didelphimorphia,Didelphidae,47,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d3bef3e69f42665c72fe950800e2db29,d3bef3e69f42665c72fe950800e2db29,No,NoDisponible,,,,,,,
26,Caluromys derbianus,213696,-94.2960774,18.0786366,,False,3,23.2,Mammalia,Didelphimorphia,Didelphidae,19,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d9297b4508d4c44e557cefb302e1bb99,d9297b4508d4c44e557cefb302e1bb99,No,NoDisponible,,,,,,,
25,Caluromys derbianus,194746,-96.7040927,17.949813,,True,1,-10.55,Mammalia,Didelphimorphia,Didelphidae,1171,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=df6dcc66f65536d399adc17741814de6,df6dcc66f65536d399adc17741814de6,No,NoDisponible,,,,,,,
