,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
13,Canis lupus,252446,-89.475,20.2583333,,True,1,-35.17,Mammalia,Carnivora,Canidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0366a66250a71d17ced7f88f87fd7fc0,0366a66250a71d17ced7f88f87fd7fc0,Si,NoDisponible,No,No,No,,,,
14,Canis lupus,252446,-89.475,20.2583333,,True,1,-35.17,Mammalia,Carnivora,Canidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=043508b939d18b272b5778e30b382fcd,043508b939d18b272b5778e30b382fcd,Si,NoDisponible,No,No,No,,,,
29,Canis lupus,101362,-108.3333333,29.9666667,,False,2,12.45,Mammalia,Carnivora,Canidae,2202,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0822970f52384e0157082bb61b83c70c,0822970f52384e0157082bb61b83c70c,Si,NoDisponible,,,,,,,
15,Canis lupus,252446,-89.475,20.2583333,,True,1,-35.17,Mammalia,Carnivora,Canidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=088e0544be934f675baf8a3a0cbceac6,088e0544be934f675baf8a3a0cbceac6,No,NoDisponible,No,No,No,,,,
56,Canis lupus,105610,-107.9002778,28.7091667,,False,2,12.37,Mammalia,Carnivora,Canidae,1778,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b1303742386e086d0473762ec5e0fef,0b1303742386e086d0473762ec5e0fef,No,NoDisponible,,,,,,,
46,Canis lupus,123123,-105.3594444,23.7752778,,False,2,24.89,Mammalia,Carnivora,Canidae,2564,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b5d4a66715798d3e80166cf82de0a5a,0b5d4a66715798d3e80166cf82de0a5a,No,NoDisponible,,,,,,,
34,Canis lupus,96892,-108.7,29.9666667,,False,2,17.49,Mammalia,Carnivora,Canidae,1790,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c42fe9d423b123553e8b956b3982e75,0c42fe9d423b123553e8b956b3982e75,No,NoDisponible,,,,,,,
57,Canis lupus,105798,-108.0833333,30.3166667,,False,2,-3.97,Mammalia,Carnivora,Canidae,1556,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1075881f970e7cb0113c825158a68a53,1075881f970e7cb0113c825158a68a53,No,NoDisponible,,,,,,,
53,Canis lupus,101301,-108.3333333,29.5666667,,False,2,21.94,Mammalia,Carnivora,Canidae,2266,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11a207ac767634fef074418ced93f8a1,11a207ac767634fef074418ced93f8a1,No,NoDisponible,,,,,,,
48,Canis lupus,114736,-106.3833333,29.8166667,,False,2,-4.07,Mammalia,Carnivora,Canidae,1625,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a60f7a11e42b0411d6304d0f5480ab9,1a60f7a11e42b0411d6304d0f5480ab9,No,NoDisponible,,,,,,,
7,Canis lupus,175142,-99.170371,19.973414,,False,2,9.47,Mammalia,Carnivora,Canidae,2195,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d9379f6032822b0b4f635142e8344bf,1d9379f6032822b0b4f635142e8344bf,No,NoDisponible,,,,,,,
