,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
722,Carollia perspicillata,208945,-95.125,17.275,,False,8,25.85,Mammalia,Chiroptera,Phyllostomidae,171,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0017aa2627f8f9ed34fa1277985dce4a,0017aa2627f8f9ed34fa1277985dce4a,No,NoDisponible,,,,,,,
678,Carollia perspicillata,208929,-95.1083333,17.025,,False,8,28.68,Mammalia,Chiroptera,Phyllostomidae,219,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=005c2467d2d41badc4cf17690b4388fc,005c2467d2d41badc4cf17690b4388fc,No,NoDisponible,,,,,,,
487,Carollia perspicillata,226707,-93.0342482,17.2919444,,False,9,44.59,Mammalia,Chiroptera,Phyllostomidae,1364,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008c784b632c01be23aa77eefe6e0e8b,008c784b632c01be23aa77eefe6e0e8b,No,NoDisponible,,,,,,,
641,Carollia perspicillata,208933,-95.1083333,17.1583333,,False,8,24.24,Mammalia,Chiroptera,Phyllostomidae,78,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=009256bd9f2df1045936218340f6df78,009256bd9f2df1045936218340f6df78,No,NoDisponible,,,,,,,
870,Carollia perspicillata,239214,-90.9333333,16.1166667,,False,8,33.35,Mammalia,Chiroptera,Phyllostomidae,162,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00f88e5c4243a899d81fb807616c9a25,00f88e5c4243a899d81fb807616c9a25,No,NoDisponible,,,,,,,
368,Carollia perspicillata,208888,-95.0416666,16.9891666,,False,8,28.22,Mammalia,Chiroptera,Phyllostomidae,124,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01263e59457749b6407164abf5d70973,01263e59457749b6407164abf5d70973,No,NoDisponible,,,,,,,
723,Carollia perspicillata,208945,-95.125,17.275,,False,8,25.85,Mammalia,Chiroptera,Phyllostomidae,171,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0135d15a49e785903bc8981027522040,0135d15a49e785903bc8981027522040,No,NoDisponible,,,,,,,
534,Carollia perspicillata,247955,-90.135842,18.378457,,False,7,14.96,Mammalia,Chiroptera,Phyllostomidae,174,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0162a02194dc04563031068ef5466e84,0162a02194dc04563031068ef5466e84,No,NoDisponible,,,,,,,
676,Carollia perspicillata,194786,-96.8583333,18.1583333,,False,6,2.67,Mammalia,Chiroptera,Phyllostomidae,1402,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01724083bc30448bb59317420d7099c9,01724083bc30448bb59317420d7099c9,No,NoDisponible,,,,,,,
616,Carollia perspicillata,208933,-95.1083333,17.1416667,,False,8,24.24,Mammalia,Chiroptera,Phyllostomidae,83,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01a1343b09a6a4f6dce5508c64fd38f8,01a1343b09a6a4f6dce5508c64fd38f8,No,NoDisponible,,,,,,,
