,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
436,Carollia subrufa,222524,-93.1452778,16.85,,False,2,14.27,Mammalia,Chiroptera,Phyllostomidae,1141,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001996ca700f99ebb0d365d42f8f8c32,001996ca700f99ebb0d365d42f8f8c32,No,NoDisponible,,,,,,,
20,Carollia subrufa,208997,-95.1325,17.7358333,,False,2,15.35,Mammalia,Chiroptera,Phyllostomidae,36,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00231001987b28779d00ea0baa488afa,00231001987b28779d00ea0baa488afa,Si,NoDisponible,No,No,No,,,,
963,Carollia subrufa,145886,-102.7561917,18.0736944,,False,2,20.92,Mammalia,Chiroptera,Phyllostomidae,30,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00759c260dd5c2ad5a67c76e13f35454,00759c260dd5c2ad5a67c76e13f35454,No,NoDisponible,,,,,,,
673,Carollia subrufa,247900,-89.9984928,17.9433333,,False,2,12.94,Mammalia,Chiroptera,Phyllostomidae,249,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=009bff30934c80075dacb426e4a2b218,009bff30934c80075dacb426e4a2b218,Si,NoDisponible,No,No,Si,,,,
136,Carollia subrufa,226645,-93.1008333,16.885,,False,2,20.15,Mammalia,Chiroptera,Phyllostomidae,451,Terrestre,1990,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e321e8eff3993f248980b35c3ded88,00e321e8eff3993f248980b35c3ded88,No,NoDisponible,,,,,,,
568,Carollia subrufa,208872,-95.0336111,16.6863889,,False,2,19.45,Mammalia,Chiroptera,Phyllostomidae,211,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01204faacbfd7890458bcadae3918a68,01204faacbfd7890458bcadae3918a68,No,NoDisponible,,,,,,,
42,Carollia subrufa,226512,-92.914498,15.593124,,False,3,30.99,Mammalia,Chiroptera,Phyllostomidae,363,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=013fb949897ef6356eded56c0dee6124,013fb949897ef6356eded56c0dee6124,No,NoDisponible,,,,,,,
837,Carollia subrufa,136534,-104.0163888,19.1666666,,False,2,24.75,Mammalia,Chiroptera,Phyllostomidae,820,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0163613b21458d46cf99c8c9924caaef,0163613b21458d46cf99c8c9924caaef,No,NoDisponible,,,,,,,
838,Carollia subrufa,136534,-104.0163888,19.1666666,,False,2,24.75,Mammalia,Chiroptera,Phyllostomidae,820,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0179e8181b6c84a054f31cae1926fd5b,0179e8181b6c84a054f31cae1926fd5b,No,NoDisponible,,,,,,,
1071,Carollia subrufa,204159,-95.4916667,16.3416667,,False,2,14.45,Mammalia,Chiroptera,Phyllostomidae,406,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=017fa69aeb5fb35136eca53b2455c995,017fa69aeb5fb35136eca53b2455c995,No,NoDisponible,,,,,,,
877,Carollia subrufa,194657,-96.839798,17.0333061,,False,1,-0.12,Mammalia,Chiroptera,Phyllostomidae,1743,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01d927599ddd87055427ebe3fadc2cce,01d927599ddd87055427ebe3fadc2cce,Si,NoDisponible,No,No,Si,,,,
465,Carollia subrufa,204160,-95.4788889,16.4108333,,False,2,17.33,Mammalia,Chiroptera,Phyllostomidae,239,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01fb03b5f7e5784df63cc30e323c44d8,01fb03b5f7e5784df63cc30e323c44d8,No,NoDisponible,,,,,,,
752,Carollia subrufa,226529,-92.8452206,15.3405556,,False,2,26.77,Mammalia,Chiroptera,Phyllostomidae,23,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=027a14d9074f975956e1b467e91124db,027a14d9074f975956e1b467e91124db,No,NoDisponible,,,,,,,
878,Carollia subrufa,194657,-96.839798,17.0333061,,False,1,-0.12,Mammalia,Chiroptera,Phyllostomidae,1743,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02813e40e0a7fb3ff370ec54aa310c00,02813e40e0a7fb3ff370ec54aa310c00,Si,NoDisponible,No,No,Si,,,,
126,Carollia subrufa,136542,-103.882873,19.134743,,False,2,15.68,Mammalia,Chiroptera,Phyllostomidae,213,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02cef8ee9b2cfc32b45592061b1f0f73,02cef8ee9b2cfc32b45592061b1f0f73,No,NoDisponible,,,,,,,
972,Carollia subrufa,169980,-99.4672222,17.3605555,,False,2,20.59,Mammalia,Chiroptera,Phyllostomidae,823,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02e3d1721611df86a6ec2c1e399c0351,02e3d1721611df86a6ec2c1e399c0351,No,NoDisponible,,,,,,,
1095,Carollia subrufa,145923,-102.7891917,18.1052694,,False,2,24.3,Mammalia,Chiroptera,Phyllostomidae,11,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02fe1d6bbae90caf6c1e0c08a15533a6,02fe1d6bbae90caf6c1e0c08a15533a6,No,NoDisponible,,,,,,,
628,Carollia subrufa,218081,-93.9732623,16.46383,,False,1,8.41,Mammalia,Chiroptera,Phyllostomidae,827,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03235c8284be899d192beba6a4785d1e,03235c8284be899d192beba6a4785d1e,No,NoDisponible,,,,,,,
1203,Carollia subrufa,222406,-93.6552778,16.1252778,,False,3,37.77,Mammalia,Chiroptera,Phyllostomidae,592,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0326f59ad3d84ab6c73f3fb6e6242cd1,0326f59ad3d84ab6c73f3fb6e6242cd1,No,NoDisponible,,,,,,,
700,Carollia subrufa,184632,-97.9292341,16.9672222,,False,2,19.43,Mammalia,Chiroptera,Phyllostomidae,788,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=032887aeb8f9fd6dc04a12d4ea5a39a0,032887aeb8f9fd6dc04a12d4ea5a39a0,No,NoDisponible,,,,,,,
569,Carollia subrufa,208872,-95.0336111,16.6863889,,False,2,19.45,Mammalia,Chiroptera,Phyllostomidae,211,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=032af5fa7a806d89091558368e337212,032af5fa7a806d89091558368e337212,No,NoDisponible,,,,,,,
275,Carollia subrufa,235158,-91.9466667,17.4755556,,False,2,18.71,Mammalia,Chiroptera,Phyllostomidae,95,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=033d1637c6e798fa4869f94ec1d6856a,033d1637c6e798fa4869f94ec1d6856a,Si,NoDisponible,No,No,Si,,,,
1129,Carollia subrufa,218040,-93.89,16.4066667,,False,2,13.06,Mammalia,Chiroptera,Phyllostomidae,738,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03580dc352caa6ca7b8c0bb35e44f541,03580dc352caa6ca7b8c0bb35e44f541,No,NoDisponible,,,,,,,
214,Carollia subrufa,209079,-95.0355556,18.5311111,,False,2,22.43,Mammalia,Chiroptera,Phyllostomidae,9,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03732af8587ae936335064f3ff195967,03732af8587ae936335064f3ff195967,Si,NoDisponible,No,No,No,,,,
69,Carollia subrufa,226531,-92.715671,15.3416203,,False,3,29.83,Mammalia,Chiroptera,Phyllostomidae,66,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03770738880fe7ce1a2c9142cf8c58d3,03770738880fe7ce1a2c9142cf8c58d3,No,NoDisponible,,,,,,,
743,Carollia subrufa,226708,-93.0294444,17.3552777,,False,3,33.23,Mammalia,Chiroptera,Phyllostomidae,1064,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=039e6e0bf7e11f4909da5e396b9eaea9,039e6e0bf7e11f4909da5e396b9eaea9,No,NoDisponible,,,,,,,
113,Carollia subrufa,222402,-93.6688889,16.0061111,,False,2,23.2,Mammalia,Chiroptera,Phyllostomidae,62,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04225925e24dde50332f1e4a00683c91,04225925e24dde50332f1e4a00683c91,No,NoDisponible,,,,,,,
1172,Carollia subrufa,230807,-92.4836111,16.3227778,,False,2,20.27,Mammalia,Chiroptera,Phyllostomidae,661,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=044aa04bb725a18b95709ce1b252d0de,044aa04bb725a18b95709ce1b252d0de,No,NoDisponible,,,,,,,
239,Carollia subrufa,209079,-95.0352778,18.5038889,,False,2,22.43,Mammalia,Chiroptera,Phyllostomidae,26,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0454ceafb034ed79be85af15e434b93d,0454ceafb034ed79be85af15e434b93d,Si,NoDisponible,No,No,No,,,,
1151,Carollia subrufa,222381,-93.2538889,15.5430556,,False,2,24.73,Mammalia,Chiroptera,Phyllostomidae,18,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04747a1adee07d39cd6f0b87771cb99d,04747a1adee07d39cd6f0b87771cb99d,No,NoDisponible,,,,,,,
1027,Carollia subrufa,226629,-93.1002777,16.6041666,,False,2,22.64,Mammalia,Chiroptera,Phyllostomidae,442,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04d1d053e2618fa889326e1217df49b1,04d1d053e2618fa889326e1217df49b1,No,NoDisponible,,,,,,,
705,Carollia subrufa,184632,-97.892304,16.988254,,False,2,19.43,Mammalia,Chiroptera,Phyllostomidae,734,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=050d5e82fbd7d5a52f53b8cabb7d587e,050d5e82fbd7d5a52f53b8cabb7d587e,No,NoDisponible,,,,,,,
697,Carollia subrufa,184631,-97.929234,16.9233333,,False,2,25.02,Mammalia,Chiroptera,Phyllostomidae,649,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05278457fbabed1de204f4d6e152cf7c,05278457fbabed1de204f4d6e152cf7c,No,NoDisponible,,,,,,,
674,Carollia subrufa,247900,-89.9984928,17.9433333,,False,2,12.94,Mammalia,Chiroptera,Phyllostomidae,249,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0645fd940d882ccb340ba9c5b0f229a1,0645fd940d882ccb340ba9c5b0f229a1,Si,NoDisponible,No,No,Si,,,,
240,Carollia subrufa,209079,-95.0352778,18.5038889,,False,2,22.43,Mammalia,Chiroptera,Phyllostomidae,26,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=064646d17d09f8c0836192b3a2cf7154,064646d17d09f8c0836192b3a2cf7154,Si,NoDisponible,No,No,No,,,,
241,Carollia subrufa,209079,-95.0352778,18.5038889,,False,2,22.43,Mammalia,Chiroptera,Phyllostomidae,26,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=065155741898df7a51aed6fbfd3d2704,065155741898df7a51aed6fbfd3d2704,Si,NoDisponible,No,No,No,,,,
1144,Carollia subrufa,230828,-92.0533333,15.9597222,,False,2,16.26,Mammalia,Chiroptera,Phyllostomidae,760,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0689e6e2c3ee99a6fc299f4144f0093d,0689e6e2c3ee99a6fc299f4144f0093d,No,NoDisponible,,,,,,,
895,Carollia subrufa,222495,-93.4561111,16.8788889,,False,2,11.51,Mammalia,Chiroptera,Phyllostomidae,1002,Terrestre,1997,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06c77f7f36c98486925ecbbc6deb1b71,06c77f7f36c98486925ecbbc6deb1b71,No,NoDisponible,,,,,,,
1007,Carollia subrufa,199363,-96.4916666,15.9527777,,False,3,32.22,Mammalia,Chiroptera,Phyllostomidae,949,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06cfd4177b995ad11ab23bb019bc1bc8,06cfd4177b995ad11ab23bb019bc1bc8,No,NoDisponible,,,,,,,
897,Carollia subrufa,222386,-93.398331,15.7455559,,False,2,22.13,Mammalia,Chiroptera,Phyllostomidae,8,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06e46089aa7a3e76717e8fa50e109056,06e46089aa7a3e76717e8fa50e109056,No,NoDisponible,,,,,,,
558,Carollia subrufa,260959,-88.3053,18.5036,,False,2,18.15,Mammalia,Chiroptera,Phyllostomidae,15,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07011db061adfd589934b81a57e2566d,07011db061adfd589934b81a57e2566d,Si,NoDisponible,No,No,Si,,,,
750,Carollia subrufa,226708,-93.0136111,17.37,,False,3,33.23,Mammalia,Chiroptera,Phyllostomidae,234,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=071ddda67aef0db3f881cfd8ec8b0384,071ddda67aef0db3f881cfd8ec8b0384,No,NoDisponible,,,,,,,
71,Carollia subrufa,226531,-92.7338889,15.3677778,,False,3,29.83,Mammalia,Chiroptera,Phyllostomidae,59,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07980ca3acdbba0fdba8044b2fbfa81a,07980ca3acdbba0fdba8044b2fbfa81a,No,NoDisponible,,,,,,,
0,Carollia subrufa,208997,-95.1416667,17.7416667,,False,2,15.35,Mammalia,Chiroptera,Phyllostomidae,18,Terrestre,1904,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07c94c7aee636e7d29782c9f8be56cca,07c94c7aee636e7d29782c9f8be56cca,Si,NoDisponible,No,No,No,,,,
419,Carollia subrufa,222524,-93.1436111,16.8363889,,False,2,14.27,Mammalia,Chiroptera,Phyllostomidae,1231,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07d25dd33cb2bdfd02bd793b9ccca665,07d25dd33cb2bdfd02bd793b9ccca665,No,NoDisponible,,,,,,,
751,Carollia subrufa,226708,-93.0141667,17.3722222,,False,3,33.23,Mammalia,Chiroptera,Phyllostomidae,271,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0833be247910ffc4d06105b724cdf33c,0833be247910ffc4d06105b724cdf33c,No,NoDisponible,,,,,,,
563,Carollia subrufa,226504,-93.0169444,15.5719167,,False,3,35.39,Mammalia,Chiroptera,Phyllostomidae,340,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08a4d1024cd2198eaaef84423d0cf240,08a4d1024cd2198eaaef84423d0cf240,No,NoDisponible,,,,,,,
962,Carollia subrufa,145886,-102.7563888,18.0733333,,False,2,20.92,Mammalia,Chiroptera,Phyllostomidae,21,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08b6182da2aebb86af0e81176a80236e,08b6182da2aebb86af0e81176a80236e,No,NoDisponible,,,,,,,
763,Carollia subrufa,226502,-93.0661111,15.5577777,,False,2,24.03,Mammalia,Chiroptera,Phyllostomidae,23,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08bd04d87cda9d81927d945abef8cd66,08bd04d87cda9d81927d945abef8cd66,No,NoDisponible,,,,,,,
117,Carollia subrufa,222402,-93.6838889,16.0258333,,False,2,23.2,Mammalia,Chiroptera,Phyllostomidae,59,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=098796f18256b13255c831cb67b01f22,098796f18256b13255c831cb67b01f22,No,NoDisponible,,,,,,,
