,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
7,Chaetodipus formosus,73614,-111.90273,26.811418,,False,3,14.04,Mammalia,Rodentia,Heteromyidae,131,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02c818e7fa03eb20a5896f3a671d7f89,02c818e7fa03eb20a5896f3a671d7f89,No,NoDisponible,NoDisponible,,Si,,,,
8,Chaetodipus formosus,73614,-111.90273,26.811418,,False,3,14.04,Mammalia,Rodentia,Heteromyidae,131,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=077565a80fbe8dc637f1887568ef6747,077565a80fbe8dc637f1887568ef6747,No,NoDisponible,NoDisponible,,Si,,,,
0,Chaetodipus formosus,73614,-111.901515,26.835878,,False,3,14.04,Mammalia,Rodentia,Heteromyidae,37,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a9fee94caae87bda9dda1561fef8f04,0a9fee94caae87bda9dda1561fef8f04,No,NoDisponible,NoDisponible,,Si,,,,
13,Chaetodipus formosus,51414,-114.966429,31.072429,,False,3,17.79,Mammalia,Rodentia,Heteromyidae,239,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ba8f9340dec966c38273e64f54c6d95,0ba8f9340dec966c38273e64f54c6d95,No,NoDisponible,NoDisponible,,Si,,,,
14,Chaetodipus formosus,51414,-114.966429,31.072429,,False,3,17.79,Mammalia,Rodentia,Heteromyidae,239,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c942cc396b956c687c6aad0b3db8057,0c942cc396b956c687c6aad0b3db8057,No,NoDisponible,NoDisponible,,Si,,,,
9,Chaetodipus formosus,73614,-111.90273,26.811418,,False,3,14.04,Mammalia,Rodentia,Heteromyidae,131,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17378bc0325fd81654ba69da151dee49,17378bc0325fd81654ba69da151dee49,No,NoDisponible,NoDisponible,,Si,,,,
25,Chaetodipus formosus,55803,-113.9042892,28.8934631,,False,3,17.35,Mammalia,Rodentia,Heteromyidae,232,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d7bb8957dda20a6a6ea47f3710999f9,1d7bb8957dda20a6a6ea47f3710999f9,No,NoDisponible,NoDisponible,,Si,,,,
1,Chaetodipus formosus,73614,-111.901515,26.835878,,False,3,14.04,Mammalia,Rodentia,Heteromyidae,37,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=21eba4c20d79de730fa6b1d23e2cf7f0,21eba4c20d79de730fa6b1d23e2cf7f0,No,NoDisponible,NoDisponible,,Si,,,,
29,Chaetodipus formosus,42273,-115.8304597,31.6544894,,False,1,2.95,Mammalia,Rodentia,Heteromyidae,1173,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=259f9f77080e95ee310c7fb6a7dae091,259f9f77080e95ee310c7fb6a7dae091,No,NoDisponible,NoDisponible,,Si,,,,
15,Chaetodipus formosus,51414,-114.966429,31.072429,,False,3,17.79,Mammalia,Rodentia,Heteromyidae,239,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2b18b12757e4317e2a22d6f7dfd187e2,2b18b12757e4317e2a22d6f7dfd187e2,No,NoDisponible,NoDisponible,,Si,,,,
21,Chaetodipus formosus,77983,-111.3004117,24.966667,,False,2,7.51,Mammalia,Rodentia,Heteromyidae,180,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=31c32d02d24ebed6cd0440b479c815d2,31c32d02d24ebed6cd0440b479c815d2,No,NoDisponible,NoDisponible,,Si,,,,
34,Chaetodipus formosus,51290,-114.803,29.97074,,False,2,11.11,Mammalia,Rodentia,Heteromyidae,700,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=385a02a5f4dbcf3986cc2ead8cc3bf92,385a02a5f4dbcf3986cc2ead8cc3bf92,No,NoDisponible,NoDisponible,,Si,,,,
33,Chaetodipus formosus,51421,-114.8352778,31.0275,,False,3,15.86,Mammalia,Rodentia,Heteromyidae,20,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3a0d6e8b4b64d6064a7928e6bc6a3edd,3a0d6e8b4b64d6064a7928e6bc6a3edd,No,NoDisponible,NoDisponible,,Si,,,,
20,Chaetodipus formosus,64755,-112.866667,28.416667,,False,3,15.57,Mammalia,Rodentia,Heteromyidae,16,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3df6c01db121a1ac51371d54232bea54,3df6c01db121a1ac51371d54232bea54,No,NoDisponible,NoDisponible,,Si,,,,
17,Chaetodipus formosus,51459,-114.903457,31.123665,,False,3,14.82,Mammalia,Rodentia,Heteromyidae,54,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e821309ef83aa246f4be159fce48b35,3e821309ef83aa246f4be159fce48b35,No,NoDisponible,NoDisponible,,Si,,,,
16,Chaetodipus formosus,51414,-114.966429,31.072429,,False,3,17.79,Mammalia,Rodentia,Heteromyidae,239,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=495dc76da8b32a1a8364b4cd0ca313c2,495dc76da8b32a1a8364b4cd0ca313c2,No,NoDisponible,NoDisponible,,Si,,,,
35,Chaetodipus formosus,51290,-114.803,29.97074,,False,2,11.11,Mammalia,Rodentia,Heteromyidae,700,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4c5ad9b0bf49def36c597c871485fb5e,4c5ad9b0bf49def36c597c871485fb5e,No,NoDisponible,NoDisponible,,Si,,,,
2,Chaetodipus formosus,73614,-111.901515,26.835878,,False,3,14.04,Mammalia,Rodentia,Heteromyidae,37,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=590de792ea577243b697d84515fe1b2e,590de792ea577243b697d84515fe1b2e,No,NoDisponible,NoDisponible,,Si,,,,
10,Chaetodipus formosus,73614,-111.90273,26.811418,,False,3,14.04,Mammalia,Rodentia,Heteromyidae,131,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5df052d21e534a717a88bffaf5d20be7,5df052d21e534a717a88bffaf5d20be7,No,NoDisponible,NoDisponible,,Si,,,,
18,Chaetodipus formosus,51459,-114.903457,31.123665,,False,3,14.82,Mammalia,Rodentia,Heteromyidae,54,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=613dd561b667b6f285d3d8bf0c9d673f,613dd561b667b6f285d3d8bf0c9d673f,No,NoDisponible,NoDisponible,,Si,,,,
36,Chaetodipus formosus,51290,-114.803,29.97074,,False,2,11.11,Mammalia,Rodentia,Heteromyidae,700,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=701542fa87ef060dab6eec03f368bfcd,701542fa87ef060dab6eec03f368bfcd,No,NoDisponible,NoDisponible,,Si,,,,
37,Chaetodipus formosus,55876,-114.3177,29.74072,,True,0,-27.77,Mammalia,Rodentia,Heteromyidae,6,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7660ac2c553597bab645d374a44e2590,7660ac2c553597bab645d374a44e2590,No,NoDisponible,NoDisponible,,Si,,,,
