,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Chaetodipus goldmani,92010,-109.32271,27.17469,,False,6,17.24,Mammalia,Rodentia,Heteromyidae,71,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0076b432bce3b8c3901bb568965237cf,0076b432bce3b8c3901bb568965237cf,No,NoDisponible,,,,,,,
342,Chaetodipus goldmani,96480,-109.010091,27.0375,,False,6,16.05,Mammalia,Rodentia,Heteromyidae,528,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008026f69b2d5c9a6274b94c9d9624c0,008026f69b2d5c9a6274b94c9d9624c0,No,NoDisponible,,,,,,,
559,Chaetodipus goldmani,96501,-108.9325891,27.02333,,False,6,14.5,Mammalia,Rodentia,Heteromyidae,372,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0084c2d212c1d124fe60608855beb951,0084c2d212c1d124fe60608855beb951,No,NoDisponible,,,,,,,
1409,Chaetodipus goldmani,96479,-109.014849,27.016643,,False,5,5.93,Mammalia,Rodentia,Heteromyidae,960,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008b89bec63a8529b9d34c2af722fb80,008b89bec63a8529b9d34c2af722fb80,No,NoDisponible,,,,,,,
391,Chaetodipus goldmani,92012,-109.2592679,27.225,,False,6,18.41,Mammalia,Rodentia,Heteromyidae,71,Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d3c4d4840feb056977dc37c891e82d,00d3c4d4840feb056977dc37c891e82d,No,NoDisponible,,,,,,,
214,Chaetodipus goldmani,91968,-109.3008374,27.0758794,,False,6,17.05,Mammalia,Rodentia,Heteromyidae,114,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=011c23762b662ea1936faef4c8465ee0,011c23762b662ea1936faef4c8465ee0,No,NoDisponible,,,,,,,
679,Chaetodipus goldmani,100882,-108.6175783,26.4452129,,False,6,17.28,Mammalia,Rodentia,Heteromyidae,77,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=017033317feb086934355efcd0f0fb95,017033317feb086934355efcd0f0fb95,No,NoDisponible,,,,,,,
1351,Chaetodipus goldmani,96411,-109.003527,26.369593,,False,6,17.49,Mammalia,Rodentia,Heteromyidae,30,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=018f5569958ba367f78b1c43f667bcb4,018f5569958ba367f78b1c43f667bcb4,No,NoDisponible,,,,,,,
1485,Chaetodipus goldmani,96351,-109.0110016,25.9500008,,False,5,8.26,Mammalia,Rodentia,Heteromyidae,14,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0206715bef1acdea27b92fb81b012417,0206715bef1acdea27b92fb81b012417,No,NoDisponible,,,,,,,
69,Chaetodipus goldmani,91966,-109.3076361,27.075968,,False,6,18.48,Mammalia,Rodentia,Heteromyidae,107,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=020c8fe63f20e22532174386e1f9e2ba,020c8fe63f20e22532174386e1f9e2ba,No,NoDisponible,,,,,,,
