,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
65,Chaetodipus intermedius,69612,-112.124698,30.720423,,False,5,13.25,Mammalia,Rodentia,Heteromyidae,289,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=006eb876ac5c9728b83704839f43341b,006eb876ac5c9728b83704839f43341b,No,NoDisponible,,,,,,,
33,Chaetodipus intermedius,69367,-112.2936111,29.0155556,,False,5,8.25,Mammalia,Rodentia,Heteromyidae,170,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=035cc22b3740c4ad0306e62f0bf05530,035cc22b3740c4ad0306e62f0bf05530,No,NoDisponible,,,,,,,
34,Chaetodipus intermedius,69367,-112.2936111,29.0155556,,False,5,8.25,Mammalia,Rodentia,Heteromyidae,170,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04293d50350fbb45e1d1ef6f81d373a6,04293d50350fbb45e1d1ef6f81d373a6,No,NoDisponible,,,,,,,
221,Chaetodipus intermedius,137752,-103.917735,29.099179,,False,4,0.61,Mammalia,Rodentia,Heteromyidae,1099,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04c3d5014de40c174a5f909405e9284c,04c3d5014de40c174a5f909405e9284c,Si,NoDisponible,No,No,Si,,,,
55,Chaetodipus intermedius,119235,-106.243027,29.683867,,False,4,4.48,Mammalia,Rodentia,Heteromyidae,1532,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05041ae46719ba48b5d6c98ebebfb914,05041ae46719ba48b5d6c98ebebfb914,No,NoDisponible,,,,,,,
82,Chaetodipus intermedius,60764,-113.569792,31.940217,,False,5,17.73,Mammalia,Rodentia,Heteromyidae,151,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05bac306712ae62c672ca671c336bc6d,05bac306712ae62c672ca671c336bc6d,No,NoDisponible,,,,,,,
269,Chaetodipus intermedius,92496,-109.5488889,31.3258333,,False,4,4.13,Mammalia,Rodentia,Heteromyidae,1214,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0623f651ba3a5e2ebcd257ac6e71d352,0623f651ba3a5e2ebcd257ac6e71d352,No,NoDisponible,,,,,,,
225,Chaetodipus intermedius,189590,-97.675,16.9583333,,True,0,-48.16,Mammalia,Rodentia,Heteromyidae,2598,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=071a67c2a7dc9497be0e0a4c58e688d2,071a67c2a7dc9497be0e0a4c58e688d2,Si,NoDisponible,No,No,No,,,,
0,Chaetodipus intermedius,73864,-111.98766,28.8666,,False,5,9.26,Mammalia,Rodentia,Heteromyidae,16,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08868b754271496d04b53db93775ad4d,08868b754271496d04b53db93775ad4d,Si,NoDisponible,No,No,Si,,,,
133,Chaetodipus intermedius,60797,-113.3838566,32.013542,,False,5,17.02,Mammalia,Rodentia,Heteromyidae,215,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09660a78433833e113764ff6d4db69c3,09660a78433833e113764ff6d4db69c3,No,NoDisponible,,,,,,,
