,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
309,Chaetodipus nelsoni,156036,-101.6761754,22.519,,False,5,14.35,Mammalia,Rodentia,Heteromyidae,2733,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=000086e300f30ef4ecb00bc9bb5efe60,000086e300f30ef4ecb00bc9bb5efe60,No,NoDisponible,,,,,,,
242,Chaetodipus nelsoni,161007,-100.635155,23.597,,False,5,10.95,Mammalia,Rodentia,Heteromyidae,1490,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=000991f6b5f8b0e3af7235070c46d4b8,000991f6b5f8b0e3af7235070c46d4b8,No,NoDisponible,,,,,,,
1087,Chaetodipus nelsoni,119063,-106.2391667,28.545,,False,4,6.16,Mammalia,Rodentia,Heteromyidae,1607,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0032515287799161c80feb8a1b3d73cc,0032515287799161c80feb8a1b3d73cc,Si,NoDisponible,No,No,Si,,,,
243,Chaetodipus nelsoni,161007,-100.635155,23.597,,False,5,10.95,Mammalia,Rodentia,Heteromyidae,1490,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=007776a6634365596113a0b550788e0a,007776a6634365596113a0b550788e0a,No,NoDisponible,,,,,,,
989,Chaetodipus nelsoni,137369,-103.8475,25.8327778,,False,4,7.35,Mammalia,Rodentia,Heteromyidae,1309,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008921434e353aba7c7c3269032ce33d,008921434e353aba7c7c3269032ce33d,No,NoDisponible,,,,,,,
244,Chaetodipus nelsoni,161007,-100.635155,23.597,,False,5,10.95,Mammalia,Rodentia,Heteromyidae,1490,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a2563806422f67595d165250cff428,00a2563806422f67595d165250cff428,No,NoDisponible,,,,,,,
30,Chaetodipus nelsoni,156371,-101.635417,25.332471,,False,5,14.2,Mammalia,Rodentia,Heteromyidae,1642,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e52f5111ea4cfb29af2ea757e24044,00e52f5111ea4cfb29af2ea757e24044,No,NoDisponible,,,,,,,
464,Chaetodipus nelsoni,132454,-104.3124167,23.7002,,False,5,14.64,Mammalia,Rodentia,Heteromyidae,1693,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00f6dab94d607cf7b0a2b74591407a17,00f6dab94d607cf7b0a2b74591407a17,No,NoDisponible,,,,,,,
714,Chaetodipus nelsoni,132425,-104.4234833,23.5196333,,False,5,11.22,Mammalia,Rodentia,Heteromyidae,1523,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=011569961a0802f9cef98484d70d6740,011569961a0802f9cef98484d70d6740,No,NoDisponible,,,,,,,
748,Chaetodipus nelsoni,132426,-104.45765,23.5335333,,False,5,13.55,Mammalia,Rodentia,Heteromyidae,1720,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01301c67bf329e5b125a959a9d0a99df,01301c67bf329e5b125a959a9d0a99df,No,NoDisponible,,,,,,,
1249,Chaetodipus nelsoni,141785,-103.2730556,23.2147222,,False,5,12.4,Mammalia,Rodentia,Heteromyidae,2143,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014284c38d78f8c3220ff7eadaee5b5a,014284c38d78f8c3220ff7eadaee5b5a,No,NoDisponible,,,,,,,
70,Chaetodipus nelsoni,151278,-101.8566666,22.6399999,,False,5,12.44,Mammalia,Rodentia,Heteromyidae,2135,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01764d7805c45143749d2584c193f356,01764d7805c45143749d2584c193f356,No,NoDisponible,,,,,,,
316,Chaetodipus nelsoni,156040,-101.6781759,22.628,,False,5,11.93,Mammalia,Rodentia,Heteromyidae,2126,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=017712dbb11130835bfe1c9f4d841686,017712dbb11130835bfe1c9f4d841686,No,NoDisponible,,,,,,,
618,Chaetodipus nelsoni,132454,-104.3015556,23.6965,,False,5,14.64,Mammalia,Rodentia,Heteromyidae,1602,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=017b961b1461e9eb9fa340d67fad9744,017b961b1461e9eb9fa340d67fad9744,No,NoDisponible,,,,,,,
663,Chaetodipus nelsoni,132425,-104.4245667,23.5146167,,False,5,11.22,Mammalia,Rodentia,Heteromyidae,1530,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0231a20009d9f40c68e7777fc4cd0cb0,0231a20009d9f40c68e7777fc4cd0cb0,No,NoDisponible,,,,,,,
1234,Chaetodipus nelsoni,160858,-100.9761111,22.8011111,,False,5,11.91,Mammalia,Rodentia,Heteromyidae,1646,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=028ddb8c21047e82af9b4953ccbeb3c4,028ddb8c21047e82af9b4953ccbeb3c4,No,NoDisponible,,,,,,,
193,Chaetodipus nelsoni,151774,-102.1416666,27.0416666,,False,3,3.66,Mammalia,Rodentia,Heteromyidae,837,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02902ecd20e59e4eac1f4e8b92418cbb,02902ecd20e59e4eac1f4e8b92418cbb,No,NoDisponible,,,,,,,
1138,Chaetodipus nelsoni,132673,-104.6,25.5666667,,False,5,10.77,Mammalia,Rodentia,Heteromyidae,1915,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02a9d274b1776f018aa4e69fb0d9b3d5,02a9d274b1776f018aa4e69fb0d9b3d5,No,NoDisponible,,,,,,,
1024,Chaetodipus nelsoni,146349,-102.4372222,21.5258333,,False,4,4.91,Mammalia,Rodentia,Heteromyidae,1714,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02e7d5032c94838e16c5d4929ba0fcce,02e7d5032c94838e16c5d4929ba0fcce,No,NoDisponible,,,,,,,
110,Chaetodipus nelsoni,137339,-103.546989,25.322791,,False,4,6.89,Mammalia,Rodentia,Heteromyidae,1244,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0308995021d2cb436268f7d02d2b98ea,0308995021d2cb436268f7d02d2b98ea,No,NoDisponible,,,,,,,
752,Chaetodipus nelsoni,132427,-104.4130167,23.5144167,,False,5,11.85,Mammalia,Rodentia,Heteromyidae,1520,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0308bc26c5fdf69cd84a6df6c4f9c9d8,0308bc26c5fdf69cd84a6df6c4f9c9d8,No,NoDisponible,,,,,,,
1254,Chaetodipus nelsoni,146517,-102.8680556,23.3580556,,False,5,11.7,Mammalia,Rodentia,Heteromyidae,2064,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03383c8459e6100c2f10be238bad7507,03383c8459e6100c2f10be238bad7507,No,NoDisponible,,,,,,,
1101,Chaetodipus nelsoni,127861,-104.9011111,24.4113889,,True,2,-5.56,Mammalia,Rodentia,Heteromyidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=034153c1e718f1f013a7aecc89d5e752,034153c1e718f1f013a7aecc89d5e752,No,NoDisponible,,,,,,,
1078,Chaetodipus nelsoni,123355,-105.5308333,25.8327778,,False,5,9.81,Mammalia,Rodentia,Heteromyidae,1874,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=034eda74f077dd8bb77caa3a977f05f8,034eda74f077dd8bb77caa3a977f05f8,No,NoDisponible,,,,,,,
245,Chaetodipus nelsoni,161007,-100.635155,23.597,,False,5,10.95,Mammalia,Rodentia,Heteromyidae,1490,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03547616031e04ffe4e281cc3142b79e,03547616031e04ffe4e281cc3142b79e,No,NoDisponible,,,,,,,
99,Chaetodipus nelsoni,137339,-103.532,25.316,,False,4,6.89,Mammalia,Rodentia,Heteromyidae,1232,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=037c0c2e8e4f14cc6068c61e7eb1fb05,037c0c2e8e4f14cc6068c61e7eb1fb05,No,NoDisponible,,,,,,,
424,Chaetodipus nelsoni,137794,-104.009382,29.19587,,False,4,6.02,Mammalia,Rodentia,Heteromyidae,1362,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0399a61d5a92798cfbbcd41920b51377,0399a61d5a92798cfbbcd41920b51377,No,NoDisponible,,,,,,,
465,Chaetodipus nelsoni,132454,-104.3124167,23.7002,,False,5,14.64,Mammalia,Rodentia,Heteromyidae,1693,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03a22c1954de612ccb5e890aec417fd4,03a22c1954de612ccb5e890aec417fd4,No,NoDisponible,,,,,,,
1227,Chaetodipus nelsoni,127851,-104.7016667,24.0016667,,False,5,11.73,Mammalia,Rodentia,Heteromyidae,1893,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03c25fc8abb9cc9c9c68de79e2869da1,03c25fc8abb9cc9c9c68de79e2869da1,No,NoDisponible,,,,,,,
390,Chaetodipus nelsoni,165862,-100.2769569,23.7063651,,False,5,12.11,Mammalia,Rodentia,Heteromyidae,1915,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03ff88d4637ac887c8d788700d2b4833,03ff88d4637ac887c8d788700d2b4833,No,NoDisponible,,,,,,,
466,Chaetodipus nelsoni,132454,-104.3124167,23.7002,,False,5,14.64,Mammalia,Rodentia,Heteromyidae,1693,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0417314611c9c7c1732be0831d38e0f1,0417314611c9c7c1732be0831d38e0f1,No,NoDisponible,,,,,,,
1231,Chaetodipus nelsoni,137484,-103.7833333,26.6666667,,False,4,5.1,Mammalia,Rodentia,Heteromyidae,1125,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04cd8a8ec32e713c9fa49200d3232c28,04cd8a8ec32e713c9fa49200d3232c28,No,NoDisponible,,,,,,,
467,Chaetodipus nelsoni,132454,-104.3124167,23.7002,,False,5,14.64,Mammalia,Rodentia,Heteromyidae,1693,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04d1f398d0a10be5e43b203a25bb5bf7,04d1f398d0a10be5e43b203a25bb5bf7,No,NoDisponible,,,,,,,
1209,Chaetodipus nelsoni,137476,-103.9272222,26.6747222,,False,4,4.35,Mammalia,Rodentia,Heteromyidae,1122,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04ec297b1d5c6742c0809cbd5da0ce30,04ec297b1d5c6742c0809cbd5da0ce30,No,NoDisponible,,,,,,,
482,Chaetodipus nelsoni,132454,-104.3158167,23.6992667,,False,5,14.64,Mammalia,Rodentia,Heteromyidae,1744,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05c0a52a88c5442cdf427a5356e81c96,05c0a52a88c5442cdf427a5356e81c96,No,NoDisponible,,,,,,,
607,Chaetodipus nelsoni,132454,-104.3179833,23.6991667,,False,5,14.64,Mammalia,Rodentia,Heteromyidae,1757,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0600bc92b1409462ab26ef167cb85b7e,0600bc92b1409462ab26ef167cb85b7e,No,NoDisponible,,,,,,,
1167,Chaetodipus nelsoni,175344,-98.9122222,21.5613889,,True,0,-42.91,Mammalia,Rodentia,Heteromyidae,326,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=060ad7ae3d5cd0d719bdc67f4ba68f81,060ad7ae3d5cd0d719bdc67f4ba68f81,Si,NoDisponible,No,No,Si,,,,
664,Chaetodipus nelsoni,132425,-104.4245667,23.5146167,,False,5,11.22,Mammalia,Rodentia,Heteromyidae,1530,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06429862f50b0d55fbd89de38801b1d6,06429862f50b0d55fbd89de38801b1d6,No,NoDisponible,,,,,,,
281,Chaetodipus nelsoni,160726,-101.1161594,21.841,,False,5,13.52,Mammalia,Rodentia,Heteromyidae,1968,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=069ab234e449598122448ead18a39a55,069ab234e449598122448ead18a39a55,No,NoDisponible,,,,,,,
573,Chaetodipus nelsoni,132454,-104.2975,23.6795,,False,5,14.64,Mammalia,Rodentia,Heteromyidae,1529,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06ac14566ccd859f62cee6cdfd900eb8,06ac14566ccd859f62cee6cdfd900eb8,No,NoDisponible,,,,,,,
