,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1194,Choeronycteris mexicana,150984,-102.2486111,20.4783333,,False,2,10.65,Mammalia,Chiroptera,Phyllostomidae,1619,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003b486ea4010d1dce8b5b8cb4b3c0e5,003b486ea4010d1dce8b5b8cb4b3c0e5,No,NoDisponible,,,,,,,
553,Choeronycteris mexicana,118462,-105.902779,23.42444,,False,2,7.41,Mammalia,Chiroptera,Phyllostomidae,603,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=005dfd23dd3919cdf52872d8547061c1,005dfd23dd3919cdf52872d8547061c1,No,NoDisponible,,,,,,,
956,Choeronycteris mexicana,137111,-103.9211111,23.8763889,,False,2,11.92,Mammalia,Chiroptera,Phyllostomidae,2370,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00943aa91e73d1c424d8a3ad704fd7ec,00943aa91e73d1c424d8a3ad704fd7ec,No,NoDisponible,,,,,,,
700,Choeronycteris mexicana,194669,-96.68946,17.16105,,False,2,7.92,Mammalia,Chiroptera,Phyllostomidae,3112,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014baf1018cf6d0d442e1a319c72df03,014baf1018cf6d0d442e1a319c72df03,Si,NoDisponible,No,Si,Si,,,,
408,Choeronycteris mexicana,199453,-96.4080872,16.9222222,,False,2,13.21,Mammalia,Chiroptera,Phyllostomidae,1645,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=016c655c1e156bdf94ba97fe505a08d3,016c655c1e156bdf94ba97fe505a08d3,No,NoDisponible,,,,,,,
1152,Choeronycteris mexicana,170410,-99.5644444,20.9152778,,False,2,12.4,Mammalia,Chiroptera,Phyllostomidae,2426,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=018092e8110b00fb5183816ce464f5d0,018092e8110b00fb5183816ce464f5d0,No,NoDisponible,,,,,,,
932,Choeronycteris mexicana,151781,-102.0138889,26.7533333,,False,2,4.9,Mammalia,Chiroptera,Phyllostomidae,847,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01d03f5c4371828b78a9823bf4742b2e,01d03f5c4371828b78a9823bf4742b2e,No,NoDisponible,,,,,,,
729,Choeronycteris mexicana,165721,-100.445618,22.7054195,,False,2,9.9,Mammalia,Chiroptera,Phyllostomidae,1936,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01d584a6abeffd0da4f4f1e58fc28972,01d584a6abeffd0da4f4f1e58fc28972,No,NoDisponible,,,,,,,
755,Choeronycteris mexicana,96511,-108.7083333,26.9749999,,False,2,2.35,Mammalia,Chiroptera,Phyllostomidae,725,Terrestre,1931,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01d765a7fed88e5fe1cffe4d4c0e962d,01d765a7fed88e5fe1cffe4d4c0e962d,No,NoDisponible,,,,,,,
318,Choeronycteris mexicana,60292,-113.69757,28.23333,,False,2,6.33,Mammalia,Chiroptera,Phyllostomidae,267,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01fbab91d4874f734ddfa7daa7b040c8,01fbab91d4874f734ddfa7daa7b040c8,No,NoDisponible,,,,,,,
666,Choeronycteris mexicana,96507,-108.6941666,26.9027777,,False,2,2.36,Mammalia,Chiroptera,Phyllostomidae,402,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=023e2ce5e9bc5bad769bf4f9025167f4,023e2ce5e9bc5bad769bf4f9025167f4,No,NoDisponible,,,,,,,
602,Choeronycteris mexicana,132514,-104.2877778,24.1175,,False,2,8.3,Mammalia,Chiroptera,Phyllostomidae,1867,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=025cd3fea3bd30bbd5e5166227a99d7a,025cd3fea3bd30bbd5e5166227a99d7a,No,NoDisponible,,,,,,,
813,Choeronycteris mexicana,132427,-104.367,23.4651667,,False,2,14.46,Mammalia,Chiroptera,Phyllostomidae,1561,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02637fd1a488b448d582d284b9da837a,02637fd1a488b448d582d284b9da837a,No,NoDisponible,,,,,,,
0,Choeronycteris mexicana,132067,-104.24,20.3166667,,False,2,9.21,Mammalia,Chiroptera,Phyllostomidae,1661,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02c617919bc38ba14955ed07743871e4,02c617919bc38ba14955ed07743871e4,No,NoDisponible,,,,,,,
6,Choeronycteris mexicana,127641,-105.0085814,22.69135,,False,2,10.86,Mammalia,Chiroptera,Phyllostomidae,1132,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02cd9ccb15583ec99be5ffb366bb3cda,02cd9ccb15583ec99be5ffb366bb3cda,No,NoDisponible,,,,,,,
548,Choeronycteris mexicana,175559,-99.3804028,23.5952778,,False,2,7.72,Mammalia,Chiroptera,Phyllostomidae,818,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02eca4cd4a23bf28d1f6ebd10878e7a3,02eca4cd4a23bf28d1f6ebd10878e7a3,No,NoDisponible,,,,,,,
354,Choeronycteris mexicana,60300,-113.5499972,28.2333305,,False,2,6.13,Mammalia,Chiroptera,Phyllostomidae,563,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02fa3a4542505010ac696c774a1da90b,02fa3a4542505010ac696c774a1da90b,No,NoDisponible,,,,,,,
821,Choeronycteris mexicana,132454,-104.3003267,23.6963167,,False,2,11.63,Mammalia,Chiroptera,Phyllostomidae,1624,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02fd93692bdf827e6f3019f3c9df51e1,02fd93692bdf827e6f3019f3c9df51e1,No,NoDisponible,,,,,,,
1171,Choeronycteris mexicana,170078,-99.8711111,18.6319444,,False,2,12.76,Mammalia,Chiroptera,Phyllostomidae,1415,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=030ddb5640d80b1b6a6098e5606ee922,030ddb5640d80b1b6a6098e5606ee922,No,NoDisponible,,,,,,,
740,Choeronycteris mexicana,91966,-109.322227,27.0760689,,False,2,5.84,Mammalia,Chiroptera,Phyllostomidae,91,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03741484386c20814afcd20c27e69e46,03741484386c20814afcd20c27e69e46,No,NoDisponible,,,,,,,
184,Choeronycteris mexicana,189798,-97.4469444,18.3286111,,False,2,17.44,Mammalia,Chiroptera,Phyllostomidae,1500,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=037831781774b1b84f55aa0e07616bdc,037831781774b1b84f55aa0e07616bdc,No,NoDisponible,,,,,,,
