,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
82,Coendou mexicanus,208951,-95.0249,17.43202,,False,4,20.28,Mammalia,Rodentia,Erethizontidae,23,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0368e09c8f40a60e1d0a73798581ea1d,0368e09c8f40a60e1d0a73798581ea1d,No,NoDisponible,,,,,,,
148,Coendou mexicanus,218025,-93.8102778,15.9336111,,False,4,13.19,Mammalia,Rodentia,Erethizontidae,11,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0427590266ada49851573e0b85d629a6,0427590266ada49851573e0b85d629a6,Si,NoDisponible,No,Si,Si,,,,
63,Coendou mexicanus,231076,-92.1976791,18.2147411,,False,4,23.79,Mammalia,Rodentia,Erethizontidae,8,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05b00c987f83b1d95c44780312e33ccd,05b00c987f83b1d95c44780312e33ccd,No,NoDisponible,,,,,,,
112,Coendou mexicanus,261209,-88.383107,20.539013,,False,4,14.58,Mammalia,Rodentia,Erethizontidae,33,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07e0c9684747b967fdbdc42b380bcbd8,07e0c9684747b967fdbdc42b380bcbd8,No,NoDisponible,,,,,,,
106,Coendou mexicanus,256900,-89.0177778,20.9313889,,False,4,10.26,Mammalia,Rodentia,Erethizontidae,22,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08b320e2b9fac5cb785de876ec0dddec,08b320e2b9fac5cb785de876ec0dddec,No,NoDisponible,,,,,,,
158,Coendou mexicanus,226483,-92.7555556,15.0669444,,False,4,14.94,Mammalia,Rodentia,Erethizontidae,15,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ba4bef0d334249f456fbdfaf4884bff,0ba4bef0d334249f456fbdfaf4884bff,No,NoDisponible,,,,,,,
47,Coendou mexicanus,261206,-88.5203383,20.7619958,,False,4,14.55,Mammalia,Rodentia,Erethizontidae,25,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f64b66903a807ac5b7c6cbdfb27d409,0f64b66903a807ac5b7c6cbdfb27d409,No,NoDisponible,,,,,,,
142,Coendou mexicanus,208874,-94.9458333,16.5444444,,False,4,10.59,Mammalia,Rodentia,Erethizontidae,23,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10758e7443481566d5cba1a15ba9dde7,10758e7443481566d5cba1a15ba9dde7,No,NoDisponible,,,,,,,
70,Coendou mexicanus,209076,-95.0155755,18.4305011,,False,4,24.56,Mammalia,Rodentia,Erethizontidae,384,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10dccd130ffcd883c1678433fca78978,10dccd130ffcd883c1678433fca78978,No,NoDisponible,,,,,,,
16,Coendou mexicanus,155916,-101.48,21.43,,True,1,-34.46,Mammalia,Rodentia,Erethizontidae,2323,Terrestre,1870,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=115822ad0e1959b65ac6a4ecab1615d9,115822ad0e1959b65ac6a4ecab1615d9,Si,NoDisponible,No,No,No,,,,
