,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
28,Cratogeomys fulvescens,189948,-97.2225587,19.56,,False,3,40.29,Mammalia,Rodentia,Geomyidae,2566,Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02c0b1a02223f1d7524c3f23d99687e8,02c0b1a02223f1d7524c3f23d99687e8,No,NoDisponible,NoDisponible,,Si,,,,
18,Cratogeomys fulvescens,189874,-97.4464,18.9869,,False,4,48.04,Mammalia,Rodentia,Geomyidae,2534,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04f6467c706f4f46b04157950099771e,04f6467c706f4f46b04157950099771e,No,NoDisponible,NoDisponible,,Si,,,,
10,Cratogeomys fulvescens,189946,-97.24278,19.56,,False,3,41.06,Mammalia,Rodentia,Geomyidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08008af17cb0d8ce40809e91bc3ef42d,08008af17cb0d8ce40809e91bc3ef42d,No,NoDisponible,NoDisponible,,Si,,,,
41,Cratogeomys fulvescens,189939,-97.367562,19.5019444,,False,2,30.07,Mammalia,Rodentia,Geomyidae,2306,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a3030ecc2d084961a02253e268e2acb,1a3030ecc2d084961a02253e268e2acb,No,NoDisponible,NoDisponible,,Si,,,,
19,Cratogeomys fulvescens,189874,-97.4464,18.9869,,False,4,48.04,Mammalia,Rodentia,Geomyidae,2534,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1da20d6c9c9d221cba219d56bed6f69e,1da20d6c9c9d221cba219d56bed6f69e,No,NoDisponible,NoDisponible,,Si,,,,
13,Cratogeomys fulvescens,189874,-97.4463889,18.9866667,,False,4,48.04,Mammalia,Rodentia,Geomyidae,2534,Terrestre,1987,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f6df5f8104cb1c1c49f159e4af59663,2f6df5f8104cb1c1c49f159e4af59663,No,NoDisponible,NoDisponible,,Si,,,,
29,Cratogeomys fulvescens,189948,-97.2225587,19.56,,False,3,40.29,Mammalia,Rodentia,Geomyidae,2566,Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f936ff012dc78e169a0520eed97f3a7,2f936ff012dc78e169a0520eed97f3a7,No,NoDisponible,NoDisponible,,Si,,,,
49,Cratogeomys fulvescens,189862,-97.386,18.842,,False,2,35.56,Mammalia,Rodentia,Geomyidae,2537,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=33ecbf76f0f0f4349f638c290498c135,33ecbf76f0f0f4349f638c290498c135,No,NoDisponible,NoDisponible,,Si,,,,
56,Cratogeomys fulvescens,189899,-97.5180556,19.2041667,,False,2,30.74,Mammalia,Rodentia,Geomyidae,2383,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=340c1b3277597a42418acb1a6a2cdb7b,340c1b3277597a42418acb1a6a2cdb7b,No,NoDisponible,NoDisponible,,Si,,,,
14,Cratogeomys fulvescens,189874,-97.4463889,18.9866667,,False,4,48.04,Mammalia,Rodentia,Geomyidae,2534,Terrestre,1987,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37e1e40f7fe00df1f24a087f826d1df8,37e1e40f7fe00df1f24a087f826d1df8,No,NoDisponible,NoDisponible,,Si,,,,
15,Cratogeomys fulvescens,189874,-97.4463889,18.9866667,,False,4,48.04,Mammalia,Rodentia,Geomyidae,2534,Terrestre,1987,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=381d5f78486bc1bb94d805253810bc26,381d5f78486bc1bb94d805253810bc26,No,NoDisponible,NoDisponible,,Si,,,,
39,Cratogeomys fulvescens,189948,-97.222,19.583,,False,3,40.29,Mammalia,Rodentia,Geomyidae,2413,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3848b36333fec39d4b6e8b1621af672b,3848b36333fec39d4b6e8b1621af672b,No,NoDisponible,NoDisponible,,Si,,,,
24,Cratogeomys fulvescens,189874,-97.4464,18.9869,,False,4,48.04,Mammalia,Rodentia,Geomyidae,2534,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3d21edc31701395200730b1946692584,3d21edc31701395200730b1946692584,No,NoDisponible,NoDisponible,,Si,,,,
30,Cratogeomys fulvescens,189948,-97.2225587,19.56,,False,3,40.29,Mammalia,Rodentia,Geomyidae,2566,Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=463815d19aaf1edbc996d75476f50cbd,463815d19aaf1edbc996d75476f50cbd,No,NoDisponible,NoDisponible,,Si,,,,
2,Cratogeomys fulvescens,189946,-97.275,19.5416667,,False,3,41.06,Mammalia,Rodentia,Geomyidae,2406,Terrestre,1942,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=46a0885cdcb9ea23cff2017c1a6e5446,46a0885cdcb9ea23cff2017c1a6e5446,No,NoDisponible,NoDisponible,,Si,,,,
31,Cratogeomys fulvescens,189948,-97.2225587,19.56,,False,3,40.29,Mammalia,Rodentia,Geomyidae,2566,Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=48d2c390625ca8106b6cc9bbf48ca75d,48d2c390625ca8106b6cc9bbf48ca75d,No,NoDisponible,NoDisponible,,Si,,,,
20,Cratogeomys fulvescens,189874,-97.4464,18.9869,,False,4,48.04,Mammalia,Rodentia,Geomyidae,2534,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4cf34f84e7c7a83461295eed10e0be42,4cf34f84e7c7a83461295eed10e0be42,No,NoDisponible,NoDisponible,,Si,,,,
21,Cratogeomys fulvescens,189874,-97.4464,18.9869,,False,4,48.04,Mammalia,Rodentia,Geomyidae,2534,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4e93932b96f1dde7f25fcf5a51792d2f,4e93932b96f1dde7f25fcf5a51792d2f,No,NoDisponible,NoDisponible,,Si,,,,
22,Cratogeomys fulvescens,189874,-97.4464,18.9869,,False,4,48.04,Mammalia,Rodentia,Geomyidae,2534,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=54e0aaa6c05f4346de4a8cace6c6d807,54e0aaa6c05f4346de4a8cace6c6d807,No,NoDisponible,NoDisponible,,Si,,,,
12,Cratogeomys fulvescens,189887,-97.225,19.1083333,,False,1,4.24,Mammalia,Rodentia,Geomyidae,3059,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=57cd2686e7fa662b457e9c337c24ea15,57cd2686e7fa662b457e9c337c24ea15,No,NoDisponible,NoDisponible,,Si,,,,
3,Cratogeomys fulvescens,189946,-97.275,19.5416667,,False,3,41.06,Mammalia,Rodentia,Geomyidae,2406,Terrestre,1942,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6063fe4ef9625312ea4a0d035454f8e7,6063fe4ef9625312ea4a0d035454f8e7,No,NoDisponible,NoDisponible,,Si,,,,
32,Cratogeomys fulvescens,189948,-97.2225587,19.56,,False,3,40.29,Mammalia,Rodentia,Geomyidae,2566,Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6689f3c85fa4620d9c72cdbaea1a8f1d,6689f3c85fa4620d9c72cdbaea1a8f1d,No,NoDisponible,NoDisponible,,Si,,,,
51,Cratogeomys fulvescens,189898,-97.534,19.273,,False,2,23.33,Mammalia,Rodentia,Geomyidae,2353,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=68c1c44fed4b2bee193f11240b14c97c,68c1c44fed4b2bee193f11240b14c97c,No,NoDisponible,NoDisponible,,Si,,,,
33,Cratogeomys fulvescens,189948,-97.2225587,19.56,,False,3,40.29,Mammalia,Rodentia,Geomyidae,2566,Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6ede631c2b71b216f137f92bbb782744,6ede631c2b71b216f137f92bbb782744,No,NoDisponible,NoDisponible,,Si,,,,
43,Cratogeomys fulvescens,189939,-97.3396608,19.5097508,,False,2,30.07,Mammalia,Rodentia,Geomyidae,2373,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6ef2b5b9afe9d21c8ad528d8ea694af0,6ef2b5b9afe9d21c8ad528d8ea694af0,No,NoDisponible,NoDisponible,,Si,,,,
0,Cratogeomys fulvescens,189946,-97.248453,19.576555,,False,3,41.06,Mammalia,Rodentia,Geomyidae,2406,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7f6cc390a14aea9b4b24b926c9cdeedc,7f6cc390a14aea9b4b24b926c9cdeedc,No,NoDisponible,NoDisponible,,Si,,,,
42,Cratogeomys fulvescens,189939,-97.367562,19.5019444,,False,2,30.07,Mammalia,Rodentia,Geomyidae,2306,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8181d8352b88fe8fa02056ee92bfb658,8181d8352b88fe8fa02056ee92bfb658,No,NoDisponible,NoDisponible,,Si,,,,
23,Cratogeomys fulvescens,189874,-97.4464,18.9869,,False,4,48.04,Mammalia,Rodentia,Geomyidae,2534,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=84791f062a691623d50a3e3f584e86ee,84791f062a691623d50a3e3f584e86ee,No,NoDisponible,NoDisponible,,Si,,,,
4,Cratogeomys fulvescens,189946,-97.275,19.5416667,,False,3,41.06,Mammalia,Rodentia,Geomyidae,2406,Terrestre,1942,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=870a8327680e748b00a9ee712055ed00,870a8327680e748b00a9ee712055ed00,No,NoDisponible,NoDisponible,,Si,,,,
52,Cratogeomys fulvescens,189873,-97.443,18.968,,False,4,48.82,Mammalia,Rodentia,Geomyidae,2612,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8916025eed584a0c9c886732dfa82708,8916025eed584a0c9c886732dfa82708,No,NoDisponible,NoDisponible,,Si,,,,
47,Cratogeomys fulvescens,189806,-97.262,18.346,,True,0,-8.31,Mammalia,Rodentia,Geomyidae,1170,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=89be277d8f252dab321442b9dec913c8,89be277d8f252dab321442b9dec913c8,No,NoDisponible,NoDisponible,,Si,,,,
7,Cratogeomys fulvescens,189946,-97.2583333,19.575,,False,3,41.06,Mammalia,Rodentia,Geomyidae,2384,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9251374a4d0a369d6fca8098c562addf,9251374a4d0a369d6fca8098c562addf,No,NoDisponible,NoDisponible,,Si,,,,
48,Cratogeomys fulvescens,189806,-97.262,18.346,,True,0,-8.31,Mammalia,Rodentia,Geomyidae,1170,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=93c8d5bb40e846ade7c96dfbe192541d,93c8d5bb40e846ade7c96dfbe192541d,No,NoDisponible,NoDisponible,,Si,,,,
34,Cratogeomys fulvescens,189948,-97.2225587,19.56,,False,3,40.29,Mammalia,Rodentia,Geomyidae,2566,Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=958d49b1bb3a8c4004641e0a0443d42b,958d49b1bb3a8c4004641e0a0443d42b,No,NoDisponible,NoDisponible,,Si,,,,
