,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
137,Cryptotis magna,175049,-99.25,19.2180556,,False,0,24.98,Mammalia,Soricomorpha,Soricidae,3369,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06aae46f0e70acbf813a8e9eefaa519e,06aae46f0e70acbf813a8e9eefaa519e,Si,NoDisponible,No,No,No,,,,
14,Cryptotis magna,199555,-96.4475,17.5558333,,False,2,92.89,Mammalia,Soricomorpha,Soricidae,2730,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09ba2a67143816dbbc3a150b6ebe69c4,09ba2a67143816dbbc3a150b6ebe69c4,No,NoDisponible,,,,,,,
15,Cryptotis magna,199555,-96.4475,17.5558333,,False,2,92.89,Mammalia,Soricomorpha,Soricidae,2730,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a2c70706781dd1e7a782b75e6b57486,0a2c70706781dd1e7a782b75e6b57486,No,NoDisponible,,,,,,,
87,Cryptotis magna,199561,-96.4073333,17.5825,,False,2,80.48,Mammalia,Soricomorpha,Soricidae,1831,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a6170a3f03b1035be3ad0900392c445,0a6170a3f03b1035be3ad0900392c445,No,NoDisponible,,,,,,,
143,Cryptotis magna,199515,-96.3253547,17.3330183,,False,2,83.28,Mammalia,Soricomorpha,Soricidae,2088,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d62757751011f5bb2be24a3c78769ff,0d62757751011f5bb2be24a3c78769ff,No,NoDisponible,,,,,,,
139,Cryptotis magna,175050,-99.3066667,19.3033333,,False,0,25.35,Mammalia,Soricomorpha,Soricidae,3118,Terrestre,1996,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f5ffedf310aff36178855b2e30f16d7,0f5ffedf310aff36178855b2e30f16d7,Si,NoDisponible,No,No,No,,,,
8,Cryptotis magna,199555,-96.4475,17.5558333,,False,2,92.89,Mammalia,Soricomorpha,Soricidae,2730,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fae9eb6a6788766f66cd88dd45cd166,0fae9eb6a6788766f66cd88dd45cd166,No,NoDisponible,,,,,,,
16,Cryptotis magna,199555,-96.4475,17.5558333,,False,2,92.89,Mammalia,Soricomorpha,Soricidae,2730,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fffba5a2c78e1ee933bd1ae18cdc967,0fffba5a2c78e1ee933bd1ae18cdc967,No,NoDisponible,,,,,,,
88,Cryptotis magna,199561,-96.4073333,17.5825,,False,2,80.48,Mammalia,Soricomorpha,Soricidae,1831,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=100c619803d4268a6d6240d6c53e4256,100c619803d4268a6d6240d6c53e4256,No,NoDisponible,,,,,,,
70,Cryptotis magna,199511,-96.5070083,17.4285694,,False,0,38.13,Mammalia,Soricomorpha,Soricidae,2750,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=103a1f07b0405736614e7ba3d0ef5698,103a1f07b0405736614e7ba3d0ef5698,No,NoDisponible,,,,,,,
167,Cryptotis magna,208903,-95.3166667,17.1666667,,False,0,22.52,Mammalia,Soricomorpha,Soricidae,267,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=127e77c1abc07b3ab3977ef7a7327763,127e77c1abc07b3ab3977ef7a7327763,Si,NoDisponible,No,Si,Si,,,,
68,Cryptotis magna,199516,-96.3369669,17.3755555,,False,1,69.69,Mammalia,Soricomorpha,Soricidae,1566,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1355f85dd243bfb4bd4264ae811758c3,1355f85dd243bfb4bd4264ae811758c3,No,NoDisponible,,,,,,,
89,Cryptotis magna,199561,-96.4073333,17.5825,,False,2,80.48,Mammalia,Soricomorpha,Soricidae,1831,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=143f35999db0c327f39bb0ec5fe353e5,143f35999db0c327f39bb0ec5fe353e5,No,NoDisponible,,,,,,,
17,Cryptotis magna,199555,-96.4475,17.5558333,,False,2,92.89,Mammalia,Soricomorpha,Soricidae,2730,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=145b37f1b5c90f03783f2fb542416971,145b37f1b5c90f03783f2fb542416971,No,NoDisponible,,,,,,,
18,Cryptotis magna,199555,-96.4475,17.5558333,,False,2,92.89,Mammalia,Soricomorpha,Soricidae,2730,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14fe8e4b47a0daed0f52abb86b1a4d21,14fe8e4b47a0daed0f52abb86b1a4d21,No,NoDisponible,,,,,,,
104,Cryptotis magna,199561,-96.4161111,17.6,,False,2,80.48,Mammalia,Soricomorpha,Soricidae,2001,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15f400cda644b6d42b08a40c88c725e3,15f400cda644b6d42b08a40c88c725e3,No,NoDisponible,,,,,,,
