,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
7,Cryptotis nelsoni,209055,-95.1916669,18.5477777,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1167,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0003ea85640d84f863645d15a65c500a,0003ea85640d84f863645d15a65c500a,No,NoDisponible,,,,,,,
8,Cryptotis nelsoni,209055,-95.1916669,18.5477777,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1167,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=026bf32e4be03a01a076f1155d30e9ed,026bf32e4be03a01a076f1155d30e9ed,No,NoDisponible,,,,,,,
9,Cryptotis nelsoni,209055,-95.1916669,18.5477777,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1167,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=045aed2bda178db6cb25586f58bb1537,045aed2bda178db6cb25586f58bb1537,No,NoDisponible,,,,,,,
34,Cryptotis nelsoni,209055,-95.1952777,18.5511108,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1251,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04e2114385a49f61efc704a95ee9e425,04e2114385a49f61efc704a95ee9e425,No,NoDisponible,,,,,,,
26,Cryptotis nelsoni,209055,-95.1922499,18.5393888,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1042,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05b89535b18d4931b67a76255b7e1a9b,05b89535b18d4931b67a76255b7e1a9b,Si,NoDisponible,No,Si,Si,,,,
27,Cryptotis nelsoni,209055,-95.1922499,18.5393888,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1042,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07f8236d8577629a63f302e7be335944,07f8236d8577629a63f302e7be335944,Si,NoDisponible,No,Si,Si,,,,
35,Cryptotis nelsoni,209055,-95.1952777,18.5511108,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1251,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f4a055cda6f976144c684cc0d247589,0f4a055cda6f976144c684cc0d247589,No,NoDisponible,,,,,,,
10,Cryptotis nelsoni,209055,-95.1916669,18.5477777,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1167,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=110aea78d88ea61873e23e021b4117b7,110aea78d88ea61873e23e021b4117b7,No,NoDisponible,,,,,,,
11,Cryptotis nelsoni,209055,-95.1916669,18.5477777,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1167,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19987fc9bdf81475cd588935037ec2eb,19987fc9bdf81475cd588935037ec2eb,No,NoDisponible,,,,,,,
31,Cryptotis nelsoni,209055,-95.1916388,18.5541669,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1307,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a69cdd407d1a0b2dfbef091d6ae2c8c,1a69cdd407d1a0b2dfbef091d6ae2c8c,No,NoDisponible,,,,,,,
12,Cryptotis nelsoni,209055,-95.1916669,18.5477777,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1167,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b0a64553b0389a85df14832b48f778f,1b0a64553b0389a85df14832b48f778f,No,NoDisponible,,,,,,,
2,Cryptotis nelsoni,209055,-95.1833333,18.551,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1315,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1bafa21af55ccd13ae3809430d9c662c,1bafa21af55ccd13ae3809430d9c662c,No,NoDisponible,,,,,,,
13,Cryptotis nelsoni,209055,-95.1916669,18.5477777,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1167,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=27f8db9b3651038fd44a65d5e4ad97dc,27f8db9b3651038fd44a65d5e4ad97dc,No,NoDisponible,,,,,,,
36,Cryptotis nelsoni,209055,-95.1952777,18.5511108,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1251,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2aaa999ce668c598be4e70754c4c7b9c,2aaa999ce668c598be4e70754c4c7b9c,No,NoDisponible,,,,,,,
14,Cryptotis nelsoni,209055,-95.1916669,18.5477777,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1167,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2b7128a63b4dfbd61f6121f4a800ac47,2b7128a63b4dfbd61f6121f4a800ac47,No,NoDisponible,,,,,,,
37,Cryptotis nelsoni,209055,-95.1952777,18.5511108,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1251,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d810be86d63dde0cd9669ec2a3c236b,2d810be86d63dde0cd9669ec2a3c236b,No,NoDisponible,,,,,,,
38,Cryptotis nelsoni,209055,-95.1952777,18.5511108,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1251,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e34a0ab77bb909001a01a8f39e434c6,2e34a0ab77bb909001a01a8f39e434c6,No,NoDisponible,,,,,,,
54,Cryptotis nelsoni,209055,-95.2166669,18.55,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1073,Terrestre,1894,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3175014a3d192d6f3e9f1dd5aeab8fc3,3175014a3d192d6f3e9f1dd5aeab8fc3,No,NoDisponible,,,,,,,
39,Cryptotis nelsoni,209055,-95.1952777,18.5511108,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1251,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3469ce50a7039ee1ce42f5ecf7fa0a59,3469ce50a7039ee1ce42f5ecf7fa0a59,No,NoDisponible,,,,,,,
15,Cryptotis nelsoni,209055,-95.1916669,18.5477777,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1167,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=34a9531fbe4bd1b44cea9f70a89f7a6f,34a9531fbe4bd1b44cea9f70a89f7a6f,No,NoDisponible,,,,,,,
16,Cryptotis nelsoni,209055,-95.1916669,18.5477777,,False,0,69.04,Mammalia,Soricomorpha,Soricidae,1167,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=38b2f4e5a2615d1cddedc06190792565,38b2f4e5a2615d1cddedc06190792565,No,NoDisponible,,,,,,,
