,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
368,Cuniculus paca,239260,-91.1625,16.8125,,False,4,23.67,Mammalia,Rodentia,Cuniculidae,350,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00400b72d9332ab1106357512ba82bcd,00400b72d9332ab1106357512ba82bcd,No,NoDisponible,,,,,,,
369,Cuniculus paca,239260,-91.1625,16.8125,,False,4,23.67,Mammalia,Rodentia,Cuniculidae,350,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004d2470c74e58a6e2641a827b7e23f6,004d2470c74e58a6e2641a827b7e23f6,No,NoDisponible,,,,,,,
355,Cuniculus paca,239216,-90.8494444,16.1441667,,False,4,26.91,Mammalia,Rodentia,Cuniculidae,190,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01aa675a02c9a19e686e75f3d6cab1df,01aa675a02c9a19e686e75f3d6cab1df,No,NoDisponible,,,,,,,
142,Cuniculus paca,199600,-96.0526994,17.8122169,,False,4,28.79,Mammalia,Rodentia,Cuniculidae,235,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02ca4a3ae8137135490fd191ff36ca6c,02ca4a3ae8137135490fd191ff36ca6c,Si,NoDisponible,No,No,Si,,,,
257,Cuniculus paca,194985,-96.7211111,19.7661111,,False,4,13.35,Mammalia,Rodentia,Cuniculidae,819,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02fc408e88c7939ddba2432c8946f71d,02fc408e88c7939ddba2432c8946f71d,No,NoDisponible,,,,,,,
126,Cuniculus paca,239270,-91.0833333,16.7166667,,False,4,25.69,Mammalia,Rodentia,Cuniculidae,275,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03648546ed970ae2ca4abd515671be05,03648546ed970ae2ca4abd515671be05,No,NoDisponible,,,,,,,
0,Cuniculus paca,261063,-88.464326,19.352797,,False,4,20.65,Mammalia,Rodentia,Cuniculidae,19,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04448ab33cffbdfdb5ca17d5e9518ece,04448ab33cffbdfdb5ca17d5e9518ece,No,NoDisponible,,,,,,,
268,Cuniculus paca,269629,-86.9055556,21.2583333,,False,4,22.32,Mammalia,Rodentia,Cuniculidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05447d8ecb5f99ad5000e2236abf1f44,05447d8ecb5f99ad5000e2236abf1f44,No,NoDisponible,,,,,,,
67,Cuniculus paca,230976,-91.9916667,17.525,,False,4,22.26,Mammalia,Rodentia,Cuniculidae,78,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05a8aeec56b3b1c6e41e2ef3987265c9,05a8aeec56b3b1c6e41e2ef3987265c9,No,NoDisponible,,,,,,,
200,Cuniculus paca,209054,-95.252838,18.5883313,,False,4,27.83,Mammalia,Rodentia,Cuniculidae,682,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05bd5975e50314feb6d0199a56ccabbf,05bd5975e50314feb6d0199a56ccabbf,No,NoDisponible,,,,,,,
