,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
5,Cynomops mexicanus,194523,-96.9014297,16.2222222,,False,0,17.37,Mammalia,Chiroptera,Molossidae,2060,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01acdc495586b64f7d352d7e51e26297,01acdc495586b64f7d352d7e51e26297,Si,NoDisponible,No,No,Si,,,,
11,Cynomops mexicanus,114111,-106.4171111,24.9227778,,False,1,19.27,Mammalia,Chiroptera,Molossidae,588,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=226d01ba07d47beb53803e8706cacfac,226d01ba07d47beb53803e8706cacfac,Si,NoDisponible,No,No,Si,,,,
1,Cynomops mexicanus,131931,-104.3992469,19.47101,,False,2,28.59,Mammalia,Chiroptera,Molossidae,576,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3cef8bb1255657845e6ed27082b78957,3cef8bb1255657845e6ed27082b78957,Si,NoDisponible,No,No,Si,,,,
8,Cynomops mexicanus,256621,-88.6108861,18.2904916,,False,2,26.17,Mammalia,Chiroptera,Molossidae,7,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4864a76ddd9673e074f2d7fce6056b21,4864a76ddd9673e074f2d7fce6056b21,No,NoDisponible,,,,,,,
9,Cynomops mexicanus,256621,-88.6108861,18.2904916,,False,2,26.17,Mammalia,Chiroptera,Molossidae,7,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=48795873f22a4287420e36a7d60acd82,48795873f22a4287420e36a7d60acd82,No,NoDisponible,,,,,,,
2,Cynomops mexicanus,131931,-104.3992469,19.47101,,False,2,28.59,Mammalia,Chiroptera,Molossidae,576,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a96568862841c9e26550b8c2eff8170,4a96568862841c9e26550b8c2eff8170,Si,NoDisponible,No,No,Si,,,,
0,Cynomops mexicanus,230976,-92.0322222,17.4925,,False,2,29.55,Mammalia,Chiroptera,Molossidae,77,Terrestre,2004,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4ff11a650017b9e895c7b48f05b06482,4ff11a650017b9e895c7b48f05b06482,No,NoDisponible,,,,,,,
6,Cynomops mexicanus,169979,-99.4816046,17.31831,,False,2,25.48,Mammalia,Chiroptera,Molossidae,948,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=83d0364a85523bdfa6de249b6cc10f17,83d0364a85523bdfa6de249b6cc10f17,Si,NoDisponible,No,No,No,,,,
3,Cynomops mexicanus,131931,-104.3992469,19.47101,,False,2,28.59,Mammalia,Chiroptera,Molossidae,576,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c0dfed5e453a802c9215288f9d5402dd,c0dfed5e453a802c9215288f9d5402dd,Si,NoDisponible,No,No,Si,,,,
7,Cynomops mexicanus,131930,-104.4855555,19.55,,False,2,26.85,Mammalia,Chiroptera,Molossidae,312,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c9eadecd9e835aaf552c9df3c939cf1e,c9eadecd9e835aaf552c9df3c939cf1e,Si,NoDisponible,No,No,Si,,,,
10,Cynomops mexicanus,256621,-88.6108861,18.2904916,,False,2,26.17,Mammalia,Chiroptera,Molossidae,7,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d1af0713aed55f7941836e947b4fcb40,d1af0713aed55f7941836e947b4fcb40,No,NoDisponible,,,,,,,
12,Cynomops mexicanus,239214,-90.9508333,16.1066667,,False,3,35.05,Mammalia,Chiroptera,Molossidae,145,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e5297be76817785d6040ee8eec18fb62,e5297be76817785d6040ee8eec18fb62,No,NoDisponible,,,,,,,
4,Cynomops mexicanus,131931,-104.3992469,19.47101,,False,2,28.59,Mammalia,Chiroptera,Molossidae,576,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ef4f424bd21e0ab812d24847f2518a9b,ef4f424bd21e0ab812d24847f2518a9b,Si,NoDisponible,No,No,Si,,,,
