,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
23,Dasyprocta punctata,230976,-92.0450019,17.4790519,,False,5,17.95,Mammalia,Rodentia,Dasyproctidae,293,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=015093da965a155424f9ca2c5e79d8d2,015093da965a155424f9ca2c5e79d8d2,Si,NoDisponible,No,No,Si,,,,
12,Dasyprocta punctata,261161,-88.098188,19.762232,,False,5,20.39,Mammalia,Rodentia,Dasyproctidae,29,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=017845af1c67f42e4b67d3e85287ce00,017845af1c67f42e4b67d3e85287ce00,No,NoDisponible,,,,,,,
43,Dasyprocta punctata,252275,-89.3258066,18.3706027,,False,5,16.3,Mammalia,Rodentia,Dasyproctidae,234,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01e5f0fb7a31804c1e4a51fac54947c6,01e5f0fb7a31804c1e4a51fac54947c6,No,NoDisponible,,,,,,,
200,Dasyprocta punctata,248234,-89.7702778,20.3597222,,False,4,9.21,Mammalia,Rodentia,Dasyproctidae,44,Terrestre,1880,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02fd15b4a830e5730b30f434a0b4aca8,02fd15b4a830e5730b30f434a0b4aca8,No,NoDisponible,,,,,,,
156,Dasyprocta punctata,261024,-88.2556472,19.1451566,,False,5,25.63,Mammalia,Rodentia,Dasyproctidae,16,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04a29431a6db9678148c7ee0feef43ce,04a29431a6db9678148c7ee0feef43ce,No,NoDisponible,,,,,,,
51,Dasyprocta punctata,252275,-89.3114425,18.4107277,,False,5,16.3,Mammalia,Rodentia,Dasyproctidae,224,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=054a78a154a18e4ef04ef4794d7f13e5,054a78a154a18e4ef04ef4794d7f13e5,No,NoDisponible,,,,,,,
69,Dasyprocta punctata,247987,-89.8959349,18.3777599,,False,5,13.94,Mammalia,Rodentia,Dasyproctidae,194,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0668507d9b0a2979a4be6c4e25e50ad0,0668507d9b0a2979a4be6c4e25e50ad0,No,NoDisponible,,,,,,,
212,Dasyprocta punctata,230670,-92.3808333,15.0191667,,True,3,-4.2,Mammalia,Rodentia,Dasyproctidae,71,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=083eef56336fbea6faef5a800939bd45,083eef56336fbea6faef5a800939bd45,No,NoDisponible,,,,,,,
89,Dasyprocta punctata,239293,-90.9693889,16.9009722,,False,5,19.76,Mammalia,Rodentia,Dasyproctidae,131,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=093593bfa67492b5a96c75c083775f2d,093593bfa67492b5a96c75c083775f2d,Si,NoDisponible,No,No,Si,,,,
157,Dasyprocta punctata,256583,-89.0352844,18.2682536,,False,5,20.22,Mammalia,Rodentia,Dasyproctidae,201,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=099a4f8314fd30fc7d19bf27cc60950f,099a4f8314fd30fc7d19bf27cc60950f,No,NoDisponible,,,,,,,
